Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",NYK,TOR,L,48,94,36,92,39.1,12,42,28.6,10,11,90.9,9,34,43,27,14,10,2,17,-11
"Apr 08, 2022",TOR,HOU,W,48,117,44,96,45.8,7,29,24.1,22,23,95.7,13,28,41,20,10,13,4,18,2
"Apr 07, 2022",TOR,PHI,W,48,119,45,91,49.5,15,33,45.5,14,18,77.8,12,29,41,22,11,7,4,17,5
"Apr 05, 2022",TOR,ATL,W,48,118,44,101,43.6,9,35,25.7,21,31,67.7,20,40,60,20,8,6,5,14,10
"Apr 03, 2022",TOR,MIA,L,48,109,35,83,42.2,12,39,30.8,27,34,79.4,10,28,38,19,17,12,1,20,-5
"Apr 01, 2022",ORL,TOR,W,48,102,36,86,41.9,13,42,31.0,17,20,85.0,10,31,41,21,10,13,3,14,13
"Mar 30, 2022",TOR,MIN,W,48,125,48,96,50.0,18,36,50.0,11,15,73.3,11,36,47,32,19,9,4,23,23
"Mar 28, 2022",TOR,BOS,W,53,115,46,106,43.4,10,39,25.6,13,18,72.2,16,36,52,16,10,10,11,28,3
"Mar 26, 2022",TOR,IND,W,48,131,51,84,60.7,15,32,46.9,14,19,73.7,9,33,42,34,6,9,3,16,40
"Mar 24, 2022",TOR,CLE,W,48,117,42,89,47.2,16,37,43.2,17,19,89.5,13,27,40,26,9,9,5,22,13
"Mar 21, 2022",CHI,TOR,L,48,99,40,91,44.0,6,32,18.8,13,15,86.7,14,35,49,26,14,5,6,20,-14
"Mar 20, 2022",PHI,TOR,W,48,93,35,93,37.6,7,26,26.9,16,23,69.6,20,36,56,16,9,5,4,16,5
"Mar 18, 2022",TOR,LAL,L,53,123,49,97,50.5,12,37,32.4,13,20,65.0,16,30,46,25,12,8,2,19,-5
"Mar 16, 2022",LAC,TOR,W,48,103,38,83,45.8,11,32,34.4,16,21,76.2,13,30,43,14,11,5,1,12,3
"Mar 14, 2022",LAL,TOR,W,48,114,39,96,40.6,10,37,27.0,26,36,72.2,19,45,64,24,13,8,9,20,11
"Mar 12, 2022",DEN,TOR,W,48,127,48,102,47.1,12,31,38.7,19,25,76.0,23,27,50,28,8,12,6,23,12
"Mar 11, 2022",PHX,TOR,W,48,117,42,94,44.7,14,32,43.8,19,21,90.5,12,36,48,19,17,11,4,19,5
"Mar 09, 2022",SAS,TOR,W,48,119,41,85,48.2,11,30,36.7,26,28,92.9,13,34,47,12,10,7,1,23,15
"Mar 06, 2022",CLE,TOR,L,48,96,37,94,39.4,6,24,25.0,16,26,61.5,14,31,45,17,7,13,3,20,-8
