Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",POR,UTA,W,48,111,37,82,45.1,9,36,25.0,28,38,73.7,15,45,60,23,17,8,6,16,31
"Apr 08, 2022",UTA,PHX,L,48,105,35,88,39.8,11,38,28.9,24,33,72.7,15,29,44,20,11,8,4,18,-6
"Apr 06, 2022",UTA,OKC,W,48,137,49,84,58.3,15,36,41.7,24,32,75.0,16,39,55,29,13,7,10,13,36
"Apr 05, 2022",UTA,MEM,W,53,121,40,96,41.7,12,38,31.6,29,43,67.4,13,48,61,23,17,8,8,21,6
"Apr 02, 2022",GSW,UTA,L,48,107,38,89,42.7,15,46,32.6,16,22,72.7,12,35,47,19,13,8,2,17,-4
"Mar 31, 2022",UTA,LAL,W,48,122,46,90,51.1,15,44,34.1,15,24,62.5,9,32,41,25,8,7,2,20,13
"Mar 29, 2022",LAC,UTA,L,48,115,43,78,55.1,12,31,38.7,17,29,58.6,10,28,38,23,15,5,5,24,-6
"Mar 27, 2022",DAL,UTA,L,48,100,41,89,46.1,12,34,35.3,6,10,60.0,7,29,36,23,6,5,1,20,-14
"Mar 25, 2022",CHA,UTA,L,48,101,38,84,45.2,17,47,36.2,8,11,72.7,9,29,38,25,12,7,2,16,-6
"Mar 23, 2022",BOS,UTA,L,48,97,35,88,39.8,8,36,22.2,19,21,90.5,16,24,40,13,14,8,1,14,-28
"Mar 21, 2022",BKN,UTA,L,48,106,37,83,44.6,14,39,35.9,18,22,81.8,11,26,37,18,14,8,7,16,-8
"Mar 20, 2022",NYK,UTA,W,48,108,34,74,45.9,17,46,37.0,23,29,79.3,9,40,49,16,12,9,11,17,15
"Mar 18, 2022",UTA,LAC,W,48,121,47,97,48.5,16,44,36.4,11,14,78.6,15,44,59,30,12,9,5,18,29
"Mar 16, 2022",UTA,CHI,W,48,125,42,83,50.6,19,39,48.7,22,29,75.9,10,37,47,20,17,8,6,18,15
"Mar 14, 2022",UTA,MIL,L,48,111,37,93,39.8,17,48,35.4,20,24,83.3,13,32,45,21,14,7,4,23,-6
"Mar 12, 2022",UTA,SAC,W,48,134,48,86,55.8,16,41,39.0,22,31,71.0,10,34,44,21,10,4,5,20,9
"Mar 11, 2022",SAS,UTA,L,48,102,37,92,40.2,13,40,32.5,15,23,65.2,16,41,57,20,17,10,8,26,-2
"Mar 09, 2022",UTA,POR,W,48,123,42,81,51.9,17,46,37.0,22,27,81.5,6,44,50,31,9,3,5,23,38
"Mar 07, 2022",DAL,UTA,L,48,103,36,83,43.4,12,31,38.7,19,24,79.2,12,33,45,22,14,5,6,20,-8
"Mar 06, 2022",OKC,UTA,W,48,116,40,89,44.9,23,52,44.2,13,17,76.5,11,37,48,27,11,4,4,21,13
"Mar 04, 2022",NOP,UTA,L,48,90,31,89,34.8,11,41,26.8,17,26,65.4,22,30,52,15,21,7,2,14,-34
"Mar 02, 2022",HOU,UTA,W,53,132,50,91,54.9,15,42,35.7,17,24,70.8,11,38,49,32,19,12,2,24,5
"Feb 27, 2022",PHX,UTA,W,48,118,44,94,46.8,17,40,42.5,13,20,65.0,14,27,41,23,10,7,6,16,4
"Feb 25, 2022",UTA,DAL,W,48,114,40,74,54.1,16,38,42.1,18,22,81.8,9,35,44,22,18,9,4,14,5
"Feb 16, 2022",LAL,UTA,L,48,101,37,79,46.8,11,33,33.3,16,19,84.2,8,33,41,17,13,11,6,22,-5
"Feb 14, 2022",UTA,HOU,W,48,135,49,89,55.1,18,40,45.0,19,22,86.4,13,40,53,34,13,6,5,22,34
"Feb 11, 2022",UTA,ORL,W,48,114,40,89,44.9,13,41,31.7,21,24,87.5,11,39,50,22,16,15,5,14,15
"Feb 09, 2022",UTA,GSW,W,48,111,41,89,46.1,17,51,33.3,12,17,70.6,11,41,52,26,12,3,9,16,26
"Feb 07, 2022",UTA,NYK,W,48,113,39,93,41.9,12,48,25.0,23,27,85.2,14,35,49,19,12,6,6,26,9
"Feb 04, 2022",UTA,BKN,W,48,125,48,85,56.5,17,38,44.7,12,14,85.7,9,41,50,33,18,7,5,16,23
"Feb 02, 2022",UTA,DEN,W,48,108,42,86,48.8,7,29,24.1,17,22,77.3,8,29,37,21,8,8,4,12,4
"Jan 30, 2022",MIN,UTA,L,48,106,38,81,46.9,15,40,37.5,15,21,71.4,9,29,38,23,20,8,4,24,-20
"Jan 28, 2022",MEM,UTA,L,48,109,37,85,43.5,17,46,37.0,18,21,85.7,11,26,37,20,18,10,3,16,-10
"Jan 26, 2022",UTA,PHX,L,48,97,34,79,43.0,12,30,40.0,17,23,73.9,8,31,39,20,16,6,4,28,-8
"Jan 24, 2022",PHX,UTA,L,48,109,40,81,49.4,14,31,45.2,15,22,68.2,7,31,38,16,14,11,3,15,-6
"Jan 23, 2022",GSW,UTA,L,48,92,31,81,38.3,11,35,31.4,19,23,82.6,17,34,51,17,12,7,2,13,-2
"Jan 21, 2022",UTA,DET,W,48,111,36,79,45.6,10,31,32.3,29,34,85.3,7,37,44,22,11,3,7,21,10
"Jan 19, 2022",UTA,HOU,L,48,111,42,89,47.2,10,38,26.3,17,20,85.0,11,38,49,26,9,7,5,16,-5
"Jan 17, 2022",LAL,UTA,L,48,95,31,83,37.3,12,46,26.1,21,24,87.5,8,36,44,21,16,6,6,21,-6
"Jan 16, 2022",DEN,UTA,W,48,125,44,84,52.4,15,39,38.5,22,29,75.9,9,42,51,26,9,8,5,16,23
"Jan 12, 2022",UTA,CLE,L,48,91,34,85,40.0,16,47,34.0,7,11,63.6,4,28,32,11,7,7,2,16,-20
"Jan 10, 2022",DET,UTA,L,48,116,44,86,51.2,11,33,33.3,17,22,77.3,10,30,40,23,16,9,4,16,-10
"Jan 08, 2022",IND,UTA,L,48,113,40,84,47.6,15,35,42.9,18,19,94.7,9,30,39,20,15,6,3,25,-12
"Jan 07, 2022",TOR,UTA,L,48,108,39,81,48.1,17,38,44.7,13,18,72.2,7,33,40,23,21,3,4,21,-14
"Jan 05, 2022",DEN,UTA,W,48,115,43,92,46.7,14,41,34.1,15,18,83.3,8,36,44,22,7,7,4,18,6
"Jan 03, 2022",NOP,UTA,W,48,115,41,85,48.2,19,39,48.7,14,17,82.4,10,33,43,22,15,6,4,24,11
"Jan 01, 2022",UTA,GSW,L,48,116,40,92,43.5,14,44,31.8,22,28,78.6,15,30,45,19,13,7,0,21,-7
"Dec 31, 2021",UTA,MIN,W,48,120,37,78,47.4,11,29,37.9,35,41,85.4,10,39,49,18,18,4,5,20,12
"Dec 29, 2021",POR,UTA,W,48,120,46,87,52.9,8,29,27.6,20,32,62.5,13,33,46,22,11,6,3,20,15
"Dec 27, 2021",SAS,UTA,W,48,110,39,86,45.3,9,31,29.0,23,30,76.7,7,48,55,19,15,9,4,15,6
"Dec 25, 2021",UTA,DAL,W,48,120,40,90,44.4,12,36,33.3,28,37,75.7,13,36,49,24,14,9,6,24,4
"Dec 23, 2021",UTA,MIN,W,48,128,48,90,53.3,16,39,41.0,16,22,72.7,10,35,45,31,15,7,7,17,12
"Dec 20, 2021",UTA,CHA,W,48,112,34,96,35.4,16,53,30.2,28,37,75.7,22,46,68,21,17,4,6,14,10
"Dec 18, 2021",UTA,WAS,L,48,103,35,81,43.2,14,44,31.8,19,30,63.3,8,38,46,17,16,5,6,23,-6
"Dec 17, 2021",UTA,SAS,L,48,126,46,93,49.5,13,37,35.1,21,26,80.8,13,37,50,26,13,5,6,18,-2
"Dec 15, 2021",UTA,LAC,W,48,124,47,89,52.8,15,37,40.5,15,20,75.0,8,36,44,26,10,11,4,18,21
"Dec 11, 2021",WAS,UTA,W,48,123,48,93,51.6,13,39,33.3,14,17,82.4,12,37,49,28,9,5,5,14,25
"Dec 09, 2021",PHI,UTA,W,48,118,43,91,47.3,15,40,37.5,17,24,70.8,16,36,52,22,12,7,5,14,22
"Dec 08, 2021",MIN,UTA,W,48,136,50,88,56.8,25,54,46.3,11,15,73.3,6,42,48,26,15,6,4,20,32
"Dec 05, 2021",CLE,UTA,W,48,109,40,90,44.4,20,48,41.7,9,10,90.0,14,32,46,24,17,8,5,14,1
"Dec 03, 2021",UTA,BOS,W,48,137,45,81,55.6,27,51,52.9,20,23,87.0,9,35,44,26,20,3,3,27,7
"Nov 29, 2021",UTA,POR,W,48,129,47,89,52.8,19,46,41.3,16,23,69.6,8,35,43,30,5,6,3,19,22
"Nov 27, 2021",UTA,NOP,W,48,127,45,80,56.3,20,35,57.1,17,22,77.3,7,34,41,24,18,9,4,25,22
"Nov 26, 2021",UTA,NOP,L,48,97,36,80,45.0,13,33,39.4,12,18,66.7,9,34,43,17,18,6,8,22,-1
"Nov 24, 2021",OKC,UTA,W,48,110,39,86,45.3,15,47,31.9,17,20,85.0,7,36,43,19,10,11,8,15,6
