Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023",CLE,CHA,W,48,106,37,81,45.7,6,32,18.8,26,30,86.7,10,39,49,23,19,8,5,14,11
"Apr 07, 2023",CHA,HOU,L,48,109,38,88,43.2,13,41,31.7,20,27,74.1,7,34,41,22,17,10,9,21,-3
"Apr 04, 2023",CHA,TOR,L,48,100,36,77,46.8,12,31,38.7,16,19,84.2,6,36,42,27,18,3,4,22,-20
"Apr 02, 2023",CHA,TOR,L,48,108,42,85,49.4,15,31,48.4,9,13,69.2,10,27,37,26,18,3,4,11,-20
"Mar 31, 2023",CHA,CHI,L,48,91,35,77,45.5,14,37,37.8,7,10,70.0,4,32,36,27,22,3,5,21,-30
"Mar 28, 2023",OKC,CHA,W,48,137,52,94,55.3,14,35,40.0,19,30,63.3,15,37,52,34,18,6,7,24,3
"Mar 26, 2023",CHA,DAL,W,48,110,39,88,44.3,12,29,41.4,20,24,83.3,14,44,58,27,14,6,2,18,6
"Mar 24, 2023",DAL,CHA,W,48,117,43,89,48.3,11,28,39.3,20,27,74.1,6,37,43,32,8,7,4,17,8
"Mar 23, 2023",NOP,CHA,L,48,96,38,83,45.8,9,37,24.3,11,16,68.8,4,34,38,24,17,8,4,17,-19
"Mar 20, 2023",CHA,IND,W,48,115,41,90,45.6,10,31,32.3,23,32,71.9,10,27,37,26,11,12,6,22,6
"Mar 17, 2023",CHA,PHI,L,48,82,29,86,33.7,5,35,14.3,19,26,73.1,7,28,35,20,14,10,6,16,-39
"Mar 14, 2023",CHA,CLE,L,48,104,43,76,56.6,6,23,26.1,12,15,80.0,6,34,40,28,22,3,8,18,-16
"Mar 12, 2023",CHA,CLE,L,48,108,41,80,51.3,10,21,47.6,16,22,72.7,7,36,43,25,19,8,5,26,-6
"Mar 11, 2023",CHA,UTA,L,48,111,40,98,40.8,17,40,42.5,14,15,93.3,11,32,43,24,7,5,14,15,-8
"Mar 09, 2023",DET,CHA,W,48,113,43,86,50.0,8,24,33.3,19,32,59.4,13,31,44,24,13,11,9,18,10
"Mar 07, 2023",NYK,CHA,W,48,112,42,85,49.4,12,32,37.5,16,21,76.2,10,32,42,27,12,2,5,20,7
"Mar 05, 2023",BKN,CHA,L,48,86,33,88,37.5,8,30,26.7,12,15,80.0,5,44,49,17,10,2,3,19,-16
"Mar 03, 2023",CHA,ORL,L,48,106,38,78,48.7,9,24,37.5,21,25,84.0,8,26,34,25,21,11,4,20,-11
"Mar 01, 2023",CHA,PHX,L,48,91,32,88,36.4,9,33,27.3,18,28,64.3,12,36,48,20,14,3,7,17,-14
"Feb 27, 2023",CHA,DET,W,48,117,43,83,51.8,13,26,50.0,18,22,81.8,7,39,46,24,17,8,3,22,11
"Feb 25, 2023",CHA,MIA,W,48,108,38,88,43.2,10,31,32.3,22,27,81.5,11,37,48,20,15,10,2,22,5
"Feb 24, 2023",MIN,CHA,W,48,121,43,92,46.7,10,28,35.7,25,28,89.3,11,41,52,25,11,10,4,17,8
"Feb 15, 2023",CHA,SAS,W,48,120,43,96,44.8,14,35,40.0,20,29,69.0,15,43,58,26,16,8,12,17,10
"Feb 13, 2023",CHA,ATL,W,48,144,53,84,63.1,20,37,54.1,18,23,78.3,3,32,35,36,17,5,5,19,6
"Feb 11, 2023",CHA,DEN,L,48,105,40,85,47.1,8,32,25.0,17,29,58.6,5,32,37,25,14,11,8,18,-14
"Feb 10, 2023",BOS,CHA,L,48,116,45,93,48.4,8,23,34.8,18,26,69.2,11,36,47,26,13,9,6,18,-11
"Feb 08, 2023",WAS,CHA,L,48,104,39,93,41.9,9,31,29.0,17,21,81.0,12,28,40,23,7,11,5,17,-14
"Feb 05, 2023",CHA,ORL,L,48,113,45,83,54.2,12,33,36.4,11,23,47.8,8,31,39,28,15,8,6,23,-6
"Feb 03, 2023",DET,CHA,L,48,112,40,90,44.4,9,34,26.5,23,30,76.7,8,29,37,22,14,16,2,20,-6
"Feb 02, 2023",CHI,CHA,L,48,98,39,93,41.9,7,35,20.0,13,14,92.9,16,29,45,19,15,6,4,15,-16
"Jan 31, 2023",MIL,CHA,L,48,115,42,111,37.8,11,39,28.2,20,26,76.9,18,44,62,27,11,6,6,24,-9
"Jan 29, 2023",CHA,MIA,W,48,122,45,83,54.2,15,40,37.5,17,22,77.3,11,36,47,25,19,6,3,18,5
"Jan 26, 2023",CHA,CHI,W,48,111,39,84,46.4,7,32,21.9,26,31,83.9,6,46,52,24,16,8,5,19,15
"Jan 24, 2023",PHX,CHA,L,48,97,39,96,40.6,6,25,24.0,13,18,72.2,10,30,40,19,14,10,5,21,-31
"Jan 23, 2023",UTA,CHA,L,48,102,38,85,44.7,2,16,12.5,24,34,70.6,11,31,42,22,15,8,7,23,-18
"Jan 21, 2023",ATL,CHA,W,48,122,45,89,50.6,13,34,38.2,19,22,86.4,6,30,36,28,12,11,2,18,4
"Jan 18, 2023",HOU,CHA,W,48,122,48,96,50.0,9,36,25.0,17,25,68.0,11,26,37,27,10,14,10,20,5
"Jan 16, 2023",CHA,BOS,L,48,118,41,90,45.6,13,31,41.9,23,30,76.7,13,25,38,26,5,7,2,18,-12
