Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023",WAS,HOU,W,48,114,44,90,48.9,6,21,28.6,20,28,71.4,13,38,51,24,15,8,6,15,5
"Apr 07, 2023",CHA,HOU,W,48,112,42,89,47.2,7,21,33.3,21,28,75.0,14,34,48,21,19,11,9,23,3
"Apr 04, 2023",HOU,DEN,W,48,124,47,102,46.1,12,31,38.7,18,24,75.0,20,35,55,23,13,12,3,16,21
"Apr 02, 2023",HOU,LAL,L,48,109,44,102,43.1,13,34,38.2,8,10,80.0,16,28,44,23,10,4,4,18,-25
"Mar 31, 2023",HOU,DET,W,48,121,38,83,45.8,11,31,35.5,34,45,75.6,14,32,46,18,12,9,5,24,6
"Mar 29, 2023",BKN,HOU,L,48,114,46,98,46.9,9,30,30.0,13,21,61.9,20,32,52,21,10,9,2,18,-9
"Mar 27, 2023",NYK,HOU,L,48,115,42,87,48.3,7,26,26.9,24,29,82.8,13,27,40,24,14,6,4,18,-22
"Mar 26, 2023",CLE,HOU,L,48,91,35,80,43.8,6,25,24.0,15,18,83.3,12,24,36,20,19,6,1,22,-17
"Mar 24, 2023",MEM,HOU,L,48,114,47,87,54.0,7,23,30.4,13,21,61.9,10,28,38,25,16,7,3,14,-37
"Mar 22, 2023",MEM,HOU,L,48,125,48,93,51.6,12,33,36.4,17,23,73.9,20,28,48,27,16,6,3,25,-5
"Mar 20, 2023",HOU,GSW,L,48,108,39,93,41.9,10,36,27.8,20,24,83.3,13,28,41,14,18,14,2,14,-13
"Mar 19, 2023",HOU,NOP,L,48,107,31,76,40.8,9,33,27.3,36,38,94.7,8,28,36,15,13,4,2,22,-10
"Mar 17, 2023",HOU,NOP,W,48,114,43,88,48.9,11,32,34.4,17,24,70.8,15,37,52,20,13,9,3,19,2
"Mar 15, 2023",HOU,LAL,W,48,114,47,89,52.8,8,29,27.6,12,19,63.2,16,35,51,22,18,5,3,29,4
"Mar 13, 2023",HOU,BOS,W,48,111,40,90,44.4,11,35,31.4,20,27,74.1,15,33,48,27,11,9,2,21,2
"Mar 11, 2023",HOU,CHI,L,48,111,41,85,48.2,16,34,47.1,13,17,76.5,6,27,33,28,16,10,3,19,-8
"Mar 09, 2023",IND,HOU,L,53,125,49,107,45.8,6,17,35.3,21,29,72.4,20,38,58,18,17,6,6,22,-9
"Mar 07, 2023",HOU,BKN,L,48,96,36,83,43.4,7,26,26.9,17,24,70.8,15,33,48,14,19,6,1,22,-22
"Mar 05, 2023",HOU,SAS,W,48,142,52,85,61.2,13,24,54.2,25,29,86.2,6,38,44,29,12,10,3,20,32
"Mar 04, 2023",SAS,HOU,W,48,122,49,87,56.3,8,23,34.8,16,22,72.7,14,31,45,26,16,9,5,24,12
"Mar 01, 2023",HOU,MEM,L,48,99,36,90,40.0,11,34,32.4,16,25,64.0,17,32,49,17,13,4,5,18,-14
"Feb 28, 2023",HOU,DEN,L,48,112,48,97,49.5,9,31,29.0,7,10,70.0,10,30,40,33,13,5,6,16,-21
"Feb 26, 2023",POR,HOU,L,48,114,45,100,45.0,7,26,26.9,17,25,68.0,18,30,48,24,14,7,2,26,-17
"Feb 24, 2023",GSW,HOU,L,48,101,36,92,39.1,11,35,31.4,18,22,81.8,13,31,44,23,7,12,3,18,-15
"Feb 15, 2023",OKC,HOU,L,48,96,30,89,33.7,10,37,27.0,26,38,68.4,14,33,47,20,18,5,7,33,-37
"Feb 13, 2023",PHI,HOU,L,48,104,35,86,40.7,6,24,25.0,28,31,90.3,15,27,42,17,17,10,2,15,-19
"Feb 10, 2023",MIA,HOU,L,48,95,35,84,41.7,7,30,23.3,18,24,75.0,10,37,47,23,18,11,4,21,-2
"Feb 08, 2023",HOU,SAC,L,48,128,47,86,54.7,10,22,45.5,24,28,85.7,15,29,44,25,19,4,7,21,-2
"Feb 06, 2023",HOU,SAC,L,48,120,44,88,50.0,13,32,40.6,19,24,79.2,11,28,39,27,14,5,4,15,-20
"Feb 04, 2023",OKC,HOU,L,48,121,45,89,50.6,10,30,33.3,21,27,77.8,9,25,34,29,16,4,8,18,-32
"Feb 03, 2023",HOU,TOR,L,48,111,40,80,50.0,7,21,33.3,24,33,72.7,6,34,40,22,13,5,4,26,-6
"Feb 01, 2023",HOU,OKC,W,48,112,41,94,43.6,7,23,30.4,23,31,74.2,24,41,65,20,18,6,12,20,6
"Jan 28, 2023",DET,HOU,W,48,117,44,92,47.8,8,27,29.6,21,27,77.8,16,32,48,20,17,8,4,20,3
"Jan 26, 2023",HOU,CLE,L,48,95,39,76,51.3,5,21,23.8,12,20,60.0,10,36,46,24,22,5,6,20,-18
"Jan 25, 2023",HOU,WAS,L,48,103,42,97,43.3,5,28,17.9,14,20,70.0,17,40,57,29,14,5,10,15,-5
"Jan 23, 2023",HOU,MIN,W,48,119,44,88,50.0,11,30,36.7,20,30,66.7,12,35,47,24,23,11,5,15,5
"Jan 21, 2023",MIN,HOU,L,48,104,38,79,48.1,9,24,37.5,19,33,57.6,15,41,56,24,23,4,6,19,-9
"Jan 18, 2023",HOU,CHA,L,48,117,46,91,50.5,10,32,31.3,15,20,75.0,12,35,47,21,20,4,5,22,-5
"Jan 16, 2023",LAL,HOU,L,48,132,49,100,49.0,11,30,36.7,23,31,74.2,17,31,48,28,8,0,7,25,-8
"Jan 15, 2023",LAC,HOU,L,48,100,38,84,45.2,7,31,22.6,17,23,73.9,10,29,39,22,20,8,6,17,-21
"Jan 13, 2023",SAC,HOU,L,48,114,43,91,47.3,12,37,32.4,16,25,64.0,12,22,34,23,15,10,4,24,-25
"Jan 11, 2023",SAC,HOU,L,48,115,44,96,45.8,16,41,39.0,11,17,64.7,8,40,48,30,14,7,3,23,-20
"Jan 08, 2023",HOU,MIN,L,48,96,38,89,42.7,11,36,30.6,9,15,60.0,12,29,41,26,20,8,7,19,-8
"Jan 05, 2023",HOU,UTA,L,48,114,38,92,41.3,15,42,35.7,23,26,88.5,14,35,49,19,15,4,3,21,-17
"Jan 04, 2023",NOP,HOU,L,48,108,39,88,44.3,12,38,31.6,18,27,66.7,12,31,43,25,13,10,4,22,-11
"Jan 02, 2023",HOU,DAL,L,48,106,38,82,46.3,9,29,31.0,21,29,72.4,8,38,46,21,10,4,4,28,-5
"Dec 31, 2022",HOU,NYK,L,48,88,29,77,37.7,14,46,30.4,16,23,69.6,12,40,52,20,25,4,6,24,-20
"Dec 29, 2022",DAL,HOU,L,48,114,38,86,44.2,12,34,35.3,26,37,70.3,12,36,48,21,13,5,0,23,-15
"Dec 27, 2022",BOS,HOU,L,48,102,38,95,40.0,14,45,31.1,12,14,85.7,13,36,49,24,15,5,2,16,-24
"Dec 26, 2022",CHI,HOU,W,48,133,50,90,55.6,17,44,38.6,16,22,72.7,8,37,45,28,13,7,5,15,15
"Dec 23, 2022",HOU,DAL,L,48,106,37,81,45.7,8,26,30.8,24,28,85.7,12,33,45,26,15,9,3,21,-6
"Dec 21, 2022",HOU,ORL,L,48,110,41,88,46.6,17,43,39.5,11,17,64.7,9,40,49,22,17,6,4,23,-6
"Dec 19, 2022",HOU,SAS,L,48,105,40,94,42.6,5,24,20.8,20,31,64.5,16,25,41,23,11,13,3,16,-19
"Dec 17, 2022",HOU,POR,L,48,95,36,90,40.0,3,29,10.3,20,29,69.0,18,33,51,19,17,7,6,18,-12
"Dec 15, 2022",HOU,MIA,L,48,108,44,94,46.8,9,33,27.3,11,17,64.7,18,33,51,22,15,10,4,19,-3
"Dec 13, 2022",HOU,PHX,W,48,111,34,81,42.0,12,35,34.3,31,34,91.2,17,50,67,16,23,6,9,21,14
"Dec 11, 2022",HOU,MIL,W,48,97,40,91,44.0,6,27,22.2,11,12,91.7,10,39,49,23,12,11,8,17,5
"Dec 08, 2022",SAS,HOU,L,48,109,44,98,44.9,10,29,34.5,11,15,73.3,16,26,42,23,14,3,4,19,-9
"Dec 05, 2022",HOU,PHI,W,58,132,42,94,44.7,14,39,35.9,34,44,77.3,16,35,51,19,21,9,3,27,9
"Dec 03, 2022",GSW,HOU,L,48,101,40,91,44.0,3,28,10.7,18,20,90.0,14,31,45,17,15,6,4,14,-19
"Dec 02, 2022",PHX,HOU,W,48,122,40,81,49.4,8,24,33.3,34,43,79.1,13,28,41,19,17,12,2,22,1
