Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023",PHX,LAC,W,48,119,49,100,49.0,5,23,21.7,16,24,66.7,14,39,53,22,10,3,5,18,5
"Apr 08, 2023",LAC,POR,W,48,136,49,93,52.7,12,35,34.3,26,30,86.7,13,38,51,30,12,7,5,17,11
"Apr 05, 2023",LAC,LAL,W,48,125,43,82,52.4,16,36,44.4,23,27,85.2,5,33,38,23,13,9,4,18,7
"Apr 01, 2023",NOP,LAC,L,48,114,42,85,49.4,11,29,37.9,19,23,82.6,11,26,37,25,13,5,4,29,-8
"Mar 31, 2023",MEM,LAC,L,48,94,34,90,37.8,11,35,31.4,15,18,83.3,12,38,50,26,18,5,8,14,-14
"Mar 29, 2023",MEM,LAC,W,48,141,48,78,61.5,22,37,59.5,23,31,74.2,3,29,32,28,16,8,4,21,9
"Mar 27, 2023",LAC,CHI,W,48,124,48,81,59.3,20,40,50.0,8,16,50.0,6,31,37,41,18,10,4,17,12
"Mar 25, 2023",LAC,NOP,L,48,110,39,75,52.0,15,33,45.5,17,21,81.0,2,29,31,29,20,9,6,14,-21
"Mar 23, 2023",LAC,OKC,W,48,127,47,84,56.0,18,37,48.6,15,20,75.0,8,34,42,34,15,9,5,9,22
"Mar 21, 2023",LAC,OKC,L,48,100,41,86,47.7,6,31,19.4,12,21,57.1,12,34,46,21,14,9,2,21,-1
"Mar 19, 2023",POR,LAC,W,48,117,43,94,45.7,12,28,42.9,19,23,82.6,18,31,49,26,10,11,3,18,15
"Mar 18, 2023",LAC,ORL,L,48,108,42,90,46.7,6,22,27.3,18,24,75.0,13,30,43,23,15,9,3,24,-5
"Mar 15, 2023",LAC,GSW,W,48,134,46,96,47.9,16,34,47.1,26,32,81.3,16,28,44,30,8,11,1,18,8
"Mar 11, 2023",LAC,NYK,W,48,106,42,87,48.3,10,30,33.3,12,16,75.0,7,32,39,22,10,3,4,20,11
"Mar 08, 2023",LAC,TOR,W,48,108,39,71,54.9,6,20,30.0,24,31,77.4,9,35,44,23,17,9,4,18,8
"Mar 05, 2023",LAC,MEM,W,48,135,45,85,52.9,12,29,41.4,33,35,94.3,13,40,53,25,17,6,2,17,6
"Mar 03, 2023",SAC,LAC,L,48,127,47,87,54.0,14,41,34.1,19,27,70.4,6,26,32,31,7,7,3,24,-1
"Mar 02, 2023",GSW,LAC,L,48,91,32,89,36.0,9,43,20.9,18,21,85.7,9,38,47,19,16,5,5,24,-24
"Feb 28, 2023",LAC,MIN,L,48,101,35,83,42.2,11,28,39.3,20,23,87.0,9,35,44,24,25,11,3,17,-7
"Feb 26, 2023",DEN,LAC,L,53,124,44,90,48.9,11,34,32.4,25,30,83.3,6,32,38,24,13,11,5,25,-10
"Feb 24, 2023",LAC,SAC,L,58,175,59,98,60.2,26,45,57.8,31,36,86.1,7,35,42,39,25,8,3,27,-1
"Feb 16, 2023",PHX,LAC,W,48,116,40,82,48.8,11,34,32.4,25,27,92.6,8,35,43,29,14,8,2,19,9
"Feb 14, 2023",LAC,GSW,W,48,134,49,92,53.3,17,36,47.2,19,22,86.4,12,24,36,33,8,5,4,22,10
"Feb 10, 2023",LAC,MIL,L,48,106,42,85,49.4,11,33,33.3,11,14,78.6,3,32,35,17,10,5,7,12,-13
"Feb 08, 2023",LAC,DAL,L,48,104,38,86,44.2,12,33,36.4,16,21,76.2,9,31,40,21,11,10,4,18,-6
"Feb 06, 2023",BKN,LAC,W,48,124,44,92,47.8,12,30,40.0,24,30,80.0,11,35,46,20,9,11,5,19,8
"Feb 04, 2023",NYK,LAC,W,53,134,44,92,47.8,16,37,43.2,30,35,85.7,9,37,46,24,13,8,4,20,6
"Feb 02, 2023",MIL,LAC,L,48,105,39,95,41.1,13,36,36.1,14,20,70.0,9,40,49,15,7,8,4,22,-1
"Jan 31, 2023",CHI,LAC,W,48,108,37,93,39.8,12,44,27.3,22,26,84.6,11,33,44,24,8,15,6,16,5
"Jan 29, 2023",CLE,LAC,L,48,99,37,89,41.6,2,19,10.5,23,27,85.2,15,30,45,17,15,6,0,19,-23
"Jan 28, 2023",ATL,LAC,W,48,120,42,80,52.5,19,39,48.7,17,19,89.5,6,31,37,25,14,5,5,15,7
"Jan 26, 2023",LAC,SAS,W,48,138,52,89,58.4,18,38,47.4,16,21,76.2,6,31,37,26,5,9,9,21,38
"Jan 24, 2023",LAL,LAC,W,48,133,51,84,60.7,19,38,50.0,12,15,80.0,7,40,47,25,15,4,9,20,18
"Jan 22, 2023",DAL,LAC,W,48,112,35,77,45.5,12,28,42.9,30,31,96.8,9,37,46,20,11,6,3,23,14
