Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023",LAL,UTA,W,48,128,47,97,48.5,18,45,40.0,16,21,76.2,10,39,49,28,11,4,7,9,11
"Apr 07, 2023",LAL,PHX,W,48,121,45,92,48.9,18,36,50.0,13,17,76.5,10,44,54,25,16,6,6,12,14
"Apr 05, 2023",LAC,LAL,L,48,118,45,89,50.6,12,29,41.4,16,24,66.7,10,34,44,27,14,4,3,17,-7
"Apr 04, 2023",UTA,LAL,W,53,135,48,96,50.0,12,34,35.3,27,35,77.1,11,33,44,27,12,6,7,21,2
"Apr 02, 2023",HOU,LAL,W,48,134,52,93,55.9,9,30,30.0,21,28,75.0,11,40,51,36,6,4,8,9,25
"Mar 31, 2023",MIN,LAL,W,48,123,45,90,50.0,9,22,40.9,24,30,80.0,15,38,53,28,16,10,5,17,12
"Mar 29, 2023",CHI,LAL,W,48,121,45,86,52.3,7,20,35.0,24,30,80.0,13,32,45,22,16,10,3,14,11
"Mar 26, 2023",LAL,CHI,L,48,108,38,75,50.7,13,36,36.1,19,28,67.9,8,30,38,24,18,5,4,18,-10
"Mar 24, 2023",LAL,OKC,W,48,116,42,91,46.2,12,34,35.3,20,28,71.4,16,37,53,20,11,9,4,14,5
"Mar 22, 2023",LAL,PHX,W,48,122,39,70,55.7,8,17,47.1,36,46,78.3,5,31,36,27,15,7,2,20,11
"Mar 19, 2023",LAL,ORL,W,48,111,36,78,46.2,13,32,40.6,26,32,81.3,9,43,52,25,15,2,9,19,6
"Mar 17, 2023",LAL,DAL,L,48,110,43,84,51.2,5,20,25.0,19,31,61.3,13,29,42,23,12,8,3,18,-1
"Mar 15, 2023",HOU,LAL,L,48,110,34,90,37.8,11,44,25.0,31,37,83.8,11,25,36,21,10,7,3,17,-4
"Mar 14, 2023",NOP,LAL,W,48,123,40,82,48.8,18,39,46.2,25,28,89.3,15,37,52,24,18,8,2,16,15
"Mar 12, 2023",LAL,NYK,L,48,108,43,89,48.3,12,36,33.3,10,17,58.8,10,27,37,24,11,6,2,17,-4
"Mar 10, 2023",LAL,TOR,W,48,122,45,80,56.3,13,30,43.3,19,19,100,5,30,35,28,21,8,8,10,10
"Mar 07, 2023",LAL,MEM,W,48,112,41,90,45.6,7,28,25.0,23,29,79.3,7,50,57,27,15,4,2,18,9
"Mar 05, 2023",LAL,GSW,W,48,113,42,95,44.2,11,33,33.3,18,22,81.8,10,36,46,29,9,3,3,17,8
"Mar 03, 2023",LAL,MIN,L,48,102,36,87,41.4,10,31,32.3,20,24,83.3,11,30,41,23,15,8,2,19,-8
"Mar 01, 2023",OKC,LAL,W,48,123,38,80,47.5,16,35,45.7,31,39,79.5,10,31,41,22,13,8,8,19,6
"Feb 28, 2023",MEM,LAL,L,48,109,38,86,44.2,13,34,38.2,20,23,87.0,14,42,56,22,26,5,10,19,-12
"Feb 26, 2023",DAL,LAL,W,48,111,42,97,43.3,6,34,17.6,21,28,75.0,17,39,56,25,11,9,4,17,3
"Feb 23, 2023",LAL,GSW,W,48,124,42,86,48.8,16,30,53.3,24,34,70.6,10,48,58,30,16,8,3,20,13
"Feb 15, 2023",LAL,NOP,W,48,120,44,83,53.0,10,37,27.0,22,36,61.1,6,37,43,32,11,5,8,23,18
"Feb 13, 2023",POR,LAL,L,48,115,42,95,44.2,12,37,32.4,19,21,90.5,14,42,56,24,13,6,5,16,-12
"Feb 11, 2023",GSW,LAL,W,48,109,40,89,44.9,8,25,32.0,21,26,80.8,10,42,52,19,16,4,4,12,6
"Feb 09, 2023",LAL,MIL,L,48,106,42,89,47.2,7,18,38.9,15,21,71.4,11,32,43,23,12,2,2,19,-9
"Feb 07, 2023",LAL,OKC,L,48,130,49,85,57.6,14,31,45.2,18,26,69.2,6,35,41,27,21,8,3,19,-3
"Feb 04, 2023",NOP,LAL,L,48,126,45,94,47.9,11,32,34.4,25,33,75.8,13,31,44,30,9,4,3,20,-5
"Feb 02, 2023",IND,LAL,W,48,112,42,92,45.7,6,22,27.3,22,31,71.0,13,38,51,29,13,8,5,10,1
"Jan 31, 2023",NYK,LAL,W,53,129,48,93,51.6,11,33,33.3,22,31,71.0,11,33,44,29,14,6,1,23,6
"Jan 30, 2023",BKN,LAL,L,48,104,35,89,39.3,11,29,37.9,23,37,62.2,16,37,53,24,14,1,3,16,-17
"Jan 28, 2023",BOS,LAL,L,53,121,47,105,44.8,12,42,28.6,15,20,75.0,11,36,47,30,12,4,0,23,-4
"Jan 25, 2023",LAL,SAS,W,48,113,40,90,44.4,10,33,30.3,23,30,76.7,11,45,56,25,20,12,9,13,9
