MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023 - MEM @ OKC",L,48,100,40,92,43.5,7,37,18.9,13,18,72.2,11,32,43,25,12,8,4,16,-15
"Apr 07, 2023 - MEM @ MIL",W,48,137,53,93,57.0,20,42,47.6,11,15,73.3,11,33,44,39,12,9,6,20,23
"Apr 05, 2023 - MEM @ NOP",L,53,131,50,104,48.1,12,36,33.3,19,25,76.0,15,34,49,33,14,10,6,25,-7
"Apr 04, 2023 - MEM vs. POR",W,48,119,42,87,48.3,18,48,37.5,17,22,77.3,8,41,49,30,12,5,5,10,10
"Apr 02, 2023 - MEM @ CHI",L,48,107,39,84,46.4,19,43,44.2,10,12,83.3,8,39,47,29,18,1,3,22,-21
"Mar 31, 2023 - MEM vs. LAC",W,48,108,43,96,44.8,9,33,27.3,13,17,76.5,12,39,51,25,15,11,7,16,14
"Mar 29, 2023 - MEM vs. LAC",L,48,132,49,95,51.6,11,32,34.4,23,28,82.1,14,31,45,26,13,8,4,20,-9
"Mar 28, 2023 - MEM vs. ORL",W,48,113,42,88,47.7,12,34,35.3,17,23,73.9,7,42,49,26,17,11,6,17,5
"Mar 26, 2023 - MEM @ ATL",W,48,123,48,89,53.9,13,33,39.4,14,19,73.7,6,33,39,28,11,8,7,22,4
"Mar 24, 2023 - MEM vs. HOU",W,48,151,57,93,61.3,25,42,59.5,12,14,85.7,5,30,35,36,11,12,7,19,37
"Mar 22, 2023 - MEM vs. HOU",W,48,130,45,87,51.7,12,36,33.3,28,33,84.8,12,24,36,27,11,8,4,21,5
"Mar 20, 2023 - MEM vs. DAL",W,48,112,41,89,46.1,10,35,28.6,20,26,76.9,17,33,50,21,11,5,3,18,4
"Mar 18, 2023 - MEM vs. GSW",W,48,133,52,95,54.7,18,38,47.4,11,17,64.7,11,28,39,35,7,5,5,24,14
"Mar 17, 2023 - MEM @ SAS",W,53,126,49,101,48.5,14,38,36.8,14,21,66.7,15,37,52,27,17,13,9,24,6
"Mar 15, 2023 - MEM @ MIA",L,48,119,46,91,50.5,18,46,39.1,9,14,64.3,12,27,39,29,16,6,1,20,-19
"Mar 13, 2023 - MEM @ DAL",W,48,104,38,83,45.8,12,37,32.4,16,19,84.2,7,40,47,23,16,9,3,17,16
"Mar 11, 2023 - MEM vs. DAL",W,48,112,41,86,47.7,10,38,26.3,20,24,83.3,11,34,45,25,11,7,5,16,4
"Mar 09, 2023 - MEM vs. GSW",W,48,131,50,93,53.8,18,40,45.0,13,18,72.2,9,33,42,36,14,6,3,18,21
"Mar 07, 2023 - MEM @ LAL",L,48,103,36,93,38.7,9,37,24.3,22,29,75.9,6,39,45,18,7,6,6,25,-9
"Mar 05, 2023 - MEM @ LAC",L,48,129,50,92,54.3,18,34,52.9,11,15,73.3,2,24,26,32,8,13,3,23,-6
"Mar 03, 2023 - MEM @ DEN",L,48,97,31,84,36.9,11,32,34.4,24,31,77.4,10,30,40,24,11,6,6,24,-16
"Mar 01, 2023 - MEM @ HOU",W,48,113,40,83,48.2,17,41,41.5,16,19,84.2,8,36,44,27,8,6,9,21,14
"Feb 28, 2023 - MEM vs. LAL",W,48,121,51,112,45.5,6,31,19.4,13,17,76.5,14,33,47,25,7,13,6,17,12
"Feb 25, 2023 - MEM vs. DEN",W,48,112,45,95,47.4,15,44,34.1,7,8,87.5,11,39,50,25,12,10,3,13,18
"Feb 23, 2023 - MEM @ PHI",L,48,105,34,87,39.1,7,32,21.9,30,36,83.3,13,36,49,22,11,5,7,27,-5
"Feb 15, 2023 - MEM vs. UTA",W,48,117,43,107,40.2,14,40,35.0,17,25,68.0,17,29,46,24,4,13,9,21,6
"Feb 12, 2023 - MEM @ BOS",L,48,109,42,84,50.0,12,34,35.3,13,21,61.9,3,31,34,24,8,4,5,22,-10
"Feb 10, 2023 - MEM vs. MIN",W,48,128,49,84,58.3,10,25,40.0,20,27,74.1,9,35,44,27,19,12,6,19,21
"Feb 07, 2023 - MEM vs. CHI",W,48,104,39,81,48.1,11,33,33.3,15,21,71.4,5,34,39,22,14,10,7,21,15
"Feb 05, 2023 - MEM vs. TOR",L,48,103,38,78,48.7,10,27,37.0,17,23,73.9,8,36,44,25,20,10,9,16,-3
"Feb 02, 2023 - MEM @ CLE",L,48,113,41,87,47.1,10,23,43.5,21,22,95.5,11,33,44,22,18,8,5,23,-15
"Feb 01, 2023 - MEM vs. POR",L,48,112,41,87,47.1,9,37,24.3,21,28,75.0,12,32,44,28,13,8,7,22,-10
"Jan 29, 2023 - MEM vs. IND",W,48,112,43,89,48.3,9,37,24.3,17,22,77.3,15,26,41,29,9,10,8,21,12
"Jan 27, 2023 - MEM @ MIN",L,48,100,38,93,40.9,8,33,24.2,16,19,84.2,15,32,47,22,21,14,2,12,-11
"Jan 25, 2023 - MEM @ GSW",L,48,120,42,88,47.7,10,31,32.3,26,37,70.3,11,25,36,26,14,10,3,26,-2
"Jan 23, 2023 - MEM @ SAC",L,48,100,40,98,40.8,12,36,33.3,8,10,80.0,10,21,31,28,15,14,3,21,-33
"Jan 22, 2023 - MEM @ PHX",L,48,110,40,92,43.5,11,32,34.4,19,27,70.4,15,37,52,28,20,8,4,22,-2
"Jan 20, 2023 - MEM @ LAL",L,48,121,43,102,42.2,9,29,31.0,26,40,65.0,24,39,63,24,14,6,7,31,-1
"Jan 18, 2023 - MEM vs. CLE",W,48,115,44,97,45.4,11,34,32.4,16,22,72.7,15,27,42,22,8,10,7,19,1
"Jan 16, 2023 - MEM vs. PHX",W,48,136,52,98,53.1,16,37,43.2,16,20,80.0,13,38,51,29,11,8,6,19,30
"Jan 14, 2023 - MEM @ IND",W,48,130,48,87,55.2,12,32,37.5,22,28,78.6,7,38,45,32,16,11,8,21,18
"Jan 11, 2023 - MEM vs. SAS",W,48,135,52,101,51.5,14,22,63.6,17,25,68.0,17,40,57,19,14,6,8,17,6
"Jan 09, 2023 - MEM vs. SAS",W,48,121,45,91,49.5,11,26,42.3,20,35,57.1,11,39,50,26,14,9,7,15,8
"Jan 08, 2023 - MEM vs. UTA",W,48,123,46,102,45.1,15,38,39.5,16,22,72.7,13,26,39,28,10,16,7,19,5
"Jan 05, 2023 - MEM @ ORL",W,48,123,48,92,52.2,12,36,33.3,15,23,65.2,9,40,49,24,13,5,3,22,8
"Jan 04, 2023 - MEM @ CHA",W,48,131,47,94,50.0,9,30,30.0,28,37,75.7,11,48,59,28,14,10,8,16,24
"Jan 01, 2023 - MEM vs. SAC",W,48,118,46,100,46.0,10,32,31.3,16,24,66.7,21,36,57,25,12,11,8,18,10
"Dec 31, 2022 - MEM vs. NOP",W,48,116,47,92,51.1,5,29,17.2,17,22,77.3,13,39,52,26,19,14,11,27,15
"Dec 29, 2022 - MEM @ TOR",W,48,119,48,95,50.5,13,29,44.8,10,14,71.4,17,36,53,37,16,4,4,20,13
"Dec 27, 2022 - MEM vs. PHX",L,48,108,36,91,39.6,8,30,26.7,28,34,82.4,15,25,40,18,15,9,6,23,-17
"Dec 25, 2022 - MEM @ GSW",L,48,109,39,94,41.5,9,39,23.1,22,30,73.3,9,35,44,19,13,5,6,23,-14
"Dec 23, 2022 - MEM @ PHX",W,48,125,45,91,49.5,7,23,30.4,28,38,73.7,19,34,53,30,12,11,5,22,25
"Dec 20, 2022 - MEM @ DEN",L,48,91,36,81,44.4,5,26,19.2,14,21,66.7,7,35,42,25,16,11,7,21,-14
"Dec 17, 2022 - MEM @ OKC",L,48,109,34,90,37.8,12,45,26.7,29,37,78.4,10,43,53,15,10,5,5,20,-6
"Dec 15, 2022 - MEM vs. MIL",W,48,142,56,102,54.9,12,32,37.5,18,23,78.3,14,42,56,30,8,5,7,19,41
"Dec 12, 2022 - MEM vs. ATL",W,48,128,50,83,60.2,13,32,40.6,15,18,83.3,5,44,49,36,23,8,12,17,25
"Dec 09, 2022 - MEM vs. DET",W,48,114,44,91,48.4,9,32,28.1,17,32,53.1,12,36,48,30,14,11,8,19,11
"Dec 07, 2022 - MEM vs. OKC",W,48,123,48,94,51.1,14,38,36.8,13,16,81.3,10,40,50,32,17,13,9,19,21
