Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023",TOR,MIL,L,48,105,38,82,46.3,12,34,35.3,17,21,81.0,7,31,38,28,14,5,2,13,-16
"Apr 07, 2023",MIL,MEM,L,48,114,42,92,45.7,21,49,42.9,9,11,81.8,11,27,38,30,19,5,3,15,-23
"Apr 05, 2023",MIL,CHI,W,48,105,39,92,42.4,18,46,39.1,9,11,81.8,13,40,53,26,13,7,3,13,13
"Apr 04, 2023",WAS,MIL,W,48,140,50,92,54.3,23,42,54.8,17,29,58.6,12,44,56,33,18,6,7,19,12
"Apr 02, 2023",MIL,PHI,W,48,117,46,80,57.5,10,28,35.7,15,21,71.4,7,35,42,28,12,8,5,17,13
"Mar 30, 2023",MIL,BOS,L,48,99,38,101,37.6,14,43,32.6,9,13,69.2,15,30,45,22,13,4,1,16,-41
"Mar 29, 2023",IND,MIL,W,48,149,58,93,62.4,10,25,40.0,23,30,76.7,14,38,52,28,19,5,5,18,13
"Mar 27, 2023",DET,MIL,W,48,126,45,95,47.4,14,45,31.1,22,26,84.6,15,35,50,28,9,5,4,23,9
"Mar 25, 2023",DEN,MIL,L,48,106,39,88,44.3,9,36,25.0,19,21,90.5,4,36,40,26,10,7,2,19,-23
"Mar 24, 2023",UTA,MIL,W,48,144,55,99,55.6,22,50,44.0,12,16,75.0,9,41,50,42,13,6,11,20,28
"Mar 22, 2023",MIL,SAS,W,48,130,51,98,52.0,15,43,34.9,13,24,54.2,10,44,54,24,15,10,4,14,36
"Mar 19, 2023",MIL,TOR,W,48,118,43,82,52.4,16,45,35.6,16,21,76.2,7,38,45,35,12,3,8,13,7
"Mar 16, 2023",MIL,IND,L,48,123,47,89,52.8,11,32,34.4,18,26,69.2,9,35,44,26,12,5,4,16,-16
"Mar 14, 2023",PHX,MIL,W,48,116,40,85,47.1,12,39,30.8,24,37,64.9,13,33,46,24,13,8,6,15,12
"Mar 13, 2023",SAC,MIL,W,48,133,50,86,58.1,15,33,45.5,18,22,81.8,5,38,43,29,13,2,4,18,9
"Mar 11, 2023",GSW,MIL,L,53,116,43,100,43.0,21,51,41.2,9,11,81.8,7,41,48,28,17,9,7,14,-9
"Mar 09, 2023",MIL,BKN,W,48,118,44,104,42.3,19,50,38.0,11,14,78.6,20,41,61,33,16,8,12,14,5
"Mar 07, 2023",ORL,MIL,W,48,134,46,78,59.0,10,28,35.7,32,34,94.1,3,35,38,28,17,5,5,18,11
"Mar 05, 2023",WAS,MIL,W,48,117,39,83,47.0,22,49,44.9,17,22,77.3,7,38,45,30,12,5,6,15,6
"Mar 04, 2023",MIL,PHI,L,48,130,44,83,53.0,17,34,50.0,25,28,89.3,11,32,43,30,13,3,3,23,-3
"Mar 01, 2023",MIL,ORL,W,48,139,49,94,52.1,26,56,46.4,15,19,78.9,8,38,46,29,8,4,1,23,22
"Feb 28, 2023",BKN,MIL,W,48,118,50,102,49.0,14,37,37.8,4,12,33.3,11,44,55,32,17,10,3,21,14
"Feb 26, 2023",MIL,PHX,W,48,104,38,87,43.7,13,45,28.9,15,21,71.4,11,34,45,15,12,4,7,20,3
"Feb 24, 2023",MIL,MIA,W,48,128,47,98,48.0,19,46,41.3,15,19,78.9,10,47,57,27,12,6,1,18,29
"Feb 16, 2023",CHI,MIL,W,48,112,40,88,45.5,18,47,38.3,14,18,77.8,9,43,52,24,9,4,7,16,12
"Feb 14, 2023",MIL,BOS,W,53,131,43,90,47.8,18,42,42.9,27,35,77.1,10,42,52,29,19,6,3,23,6
"Feb 10, 2023",LAC,MIL,W,48,119,45,90,50.0,17,39,43.6,12,16,75.0,9,40,49,28,11,8,4,13,13
"Feb 09, 2023",LAL,MIL,W,48,115,45,99,45.5,12,47,25.5,13,18,72.2,16,35,51,24,11,5,7,20,9
"Feb 06, 2023",POR,MIL,W,48,127,47,87,54.0,16,42,38.1,17,21,81.0,7,48,55,27,16,4,2,27,19
"Feb 04, 2023",MIL,MIA,W,48,123,46,88,52.3,14,40,35.0,17,28,60.7,10,41,51,23,12,6,4,14,8
"Feb 02, 2023",MIL,LAC,W,48,106,39,90,43.3,9,37,24.3,19,27,70.4,8,45,53,16,10,2,0,17,1
"Jan 31, 2023",MIL,CHA,W,48,124,43,105,41.0,15,44,34.1,23,27,85.2,16,50,66,18,12,7,8,21,9
"Jan 29, 2023",MIL,NOP,W,48,135,53,96,55.2,17,43,39.5,12,20,60.0,12,45,57,27,12,7,4,18,25
"Jan 27, 2023",IND,MIL,W,48,141,52,98,53.1,18,43,41.9,19,31,61.3,14,36,50,32,16,11,3,20,10
"Jan 25, 2023",MIL,DEN,W,48,107,37,78,47.4,13,30,43.3,20,28,71.4,7,42,49,16,23,11,7,15,8
"Jan 23, 2023",DET,MIL,W,48,150,55,98,56.1,23,52,44.2,17,24,70.8,13,37,50,38,19,11,6,27,20
"Jan 21, 2023",CLE,MIL,L,48,102,39,86,45.3,14,39,35.9,10,11,90.9,7,29,36,24,16,3,6,17,-12
"Jan 17, 2023",MIL,TOR,W,48,130,46,86,53.5,19,39,48.7,19,21,90.5,6,36,42,24,12,5,5,19,8
"Jan 16, 2023",MIL,IND,W,48,132,48,91,52.7,23,46,50.0,13,15,86.7,9,32,41,32,14,9,1,14,13
"Jan 14, 2023",MIA,MIL,L,48,95,34,84,40.5,19,48,39.6,8,12,66.7,7,25,32,26,10,7,2,13,-16
"Jan 12, 2023",MIA,MIL,L,48,102,35,87,40.2,22,57,38.6,10,15,66.7,8,31,39,20,11,10,2,12,-6
"Jan 11, 2023",ATL,MIL,W,48,114,45,98,45.9,18,48,37.5,6,11,54.5,14,43,57,28,11,6,4,15,9
"Jan 09, 2023",NYK,MIL,W,48,111,39,89,43.8,19,49,38.8,14,18,77.8,12,36,48,27,14,3,5,17,4
"Jan 06, 2023",MIL,CHA,L,48,109,37,84,44.0,20,48,41.7,15,24,62.5,12,33,45,22,17,5,4,18,-29
"Jan 04, 2023",TOR,MIL,W,53,104,35,88,39.8,13,39,33.3,21,30,70.0,13,60,73,26,28,4,4,24,3
"Jan 03, 2023",MIL,WAS,W,48,123,48,100,48.0,11,40,27.5,16,17,94.1,15,34,49,27,12,8,6,14,10
"Jan 01, 2023",MIL,WAS,L,48,95,34,96,35.4,13,49,26.5,14,15,93.3,14,30,44,22,16,11,3,15,-23
"Dec 30, 2022",MIL,MIN,W,48,123,43,93,46.2,14,39,35.9,23,33,69.7,20,48,68,25,21,5,8,25,9
"Dec 28, 2022",CHI,MIL,L,53,113,41,110,37.3,9,44,20.5,22,32,68.8,22,39,61,18,14,7,6,21,-6
"Dec 25, 2022",BOS,MIL,L,48,118,42,84,50.0,13,36,36.1,21,27,77.8,8,31,39,22,15,8,1,16,-21
"Dec 23, 2022",BKN,MIL,L,48,100,37,84,44.0,9,37,24.3,17,22,77.3,13,32,45,17,18,7,1,13,-18
"Dec 21, 2022",CLE,MIL,L,48,106,39,83,47.0,13,30,43.3,15,22,68.2,13,33,46,20,21,7,5,23,-8
"Dec 19, 2022",NOP,MIL,W,48,128,45,81,55.6,13,40,32.5,25,31,80.6,8,36,44,26,18,8,6,21,9
"Dec 17, 2022",MIL,UTA,W,48,123,48,90,53.3,18,38,47.4,9,11,81.8,15,39,54,30,15,5,3,12,26
"Dec 15, 2022",MEM,MIL,L,48,101,35,94,37.2,13,50,26.0,18,27,66.7,11,28,39,22,9,5,1,18,-41
"Dec 13, 2022",MIL,GSW,W,48,128,45,82,54.9,12,29,41.4,26,32,81.3,12,43,55,22,23,8,5,18,17
"Dec 11, 2022",HOU,MIL,L,48,92,33,90,36.7,12,43,27.9,14,18,77.8,13,39,52,18,16,5,6,12,-5
"Dec 09, 2022",DAL,MIL,W,48,106,38,87,43.7,11,32,34.4,19,23,82.6,13,38,51,27,17,5,4,21,1
"Dec 07, 2022",MIL,SAC,W,48,126,46,96,47.9,14,33,42.4,20,24,83.3,17,33,50,34,7,3,2,15,13
"Dec 05, 2022",ORL,MIL,W,48,109,38,85,44.7,13,40,32.5,20,26,76.9,7,38,45,31,17,9,4,20,7
"Dec 03, 2022",CHA,MIL,W,48,105,39,83,47.0,12,32,37.5,15,19,78.9,8,39,47,24,22,5,8,17,9
"Dec 02, 2022",MIL,LAL,L,48,129,50,94,53.2,17,43,39.5,12,15,80.0,10,32,42,29,10,2,5,18,-4
"Nov 30, 2022",NYK,MIL,W,48,109,39,90,43.3,10,35,28.6,21,26,80.8,14,38,52,23,6,3,6,15,6
"Nov 27, 2022",MIL,DAL,W,48,124,48,86,55.8,17,37,45.9,11,15,73.3,8,32,40,28,14,8,5,24,9
"Nov 25, 2022",MIL,CLE,W,48,117,42,83,50.6,15,32,46.9,18,25,72.0,8,35,43,27,13,4,9,22,15
"Nov 23, 2022",MIL,CHI,L,48,113,41,90,45.6,12,38,31.6,19,25,76.0,11,37,48,24,20,5,3,17,-5
"Nov 21, 2022",MIL,POR,W,48,119,47,86,54.7,9,28,32.1,16,25,64.0,10,32,42,31,14,12,8,17,8
"Nov 18, 2022",PHI,MIL,L,48,102,41,90,45.6,12,36,33.3,8,21,38.1,8,34,42,22,13,8,7,18,-8
"Nov 16, 2022",MIL,CLE,W,48,113,41,86,47.7,16,39,41.0,15,27,55.6,13,39,52,26,14,5,6,16,15
"Nov 14, 2022",MIL,ATL,L,48,106,34,82,41.5,6,29,20.7,32,41,78.0,11,35,46,21,17,4,3,26,-15
