Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023",MIA,ORL,L,48,110,38,90,42.2,17,47,36.2,17,24,70.8,13,30,43,29,14,13,1,17,-13
"Apr 07, 2023",BKN,ORL,L,48,84,31,87,35.6,7,38,18.4,15,17,88.2,15,42,57,17,21,6,6,19,-17
"Apr 06, 2023",ORL,CLE,L,48,94,33,83,39.8,13,39,33.3,15,19,78.9,9,30,39,21,22,8,8,11,-24
"Apr 04, 2023",ORL,CLE,L,48,113,45,89,50.6,10,23,43.5,13,17,76.5,13,34,47,25,13,6,1,22,-4
"Apr 02, 2023",ORL,DET,W,48,128,43,75,57.3,17,33,51.5,25,40,62.5,7,34,41,30,16,11,6,26,26
"Mar 31, 2023",WAS,ORL,W,48,116,44,88,50.0,8,24,33.3,20,26,76.9,6,42,48,26,11,2,14,16,7
"Mar 28, 2023",MEM,ORL,L,48,108,41,100,41.0,14,49,28.6,12,15,80.0,8,39,47,24,16,9,8,15,-5
"Mar 26, 2023",ORL,BKN,W,48,119,45,85,52.9,7,22,31.8,22,28,78.6,9,38,47,30,11,7,3,21,13
"Mar 23, 2023",ORL,NYK,W,48,111,40,87,46.0,13,32,40.6,18,21,85.7,8,35,43,25,16,8,7,19,5
"Mar 21, 2023",ORL,WAS,W,48,122,43,80,53.8,12,27,44.4,24,25,96.0,7,35,42,27,16,7,5,21,10
"Mar 19, 2023",LAL,ORL,L,48,105,41,102,40.2,10,38,26.3,13,17,76.5,13,31,44,24,8,8,3,28,-6
"Mar 18, 2023",LAC,ORL,W,48,113,42,84,50.0,10,31,32.3,19,25,76.0,9,36,45,23,18,14,5,22,5
"Mar 16, 2023",PHX,ORL,L,48,113,43,86,50.0,8,28,28.6,19,23,82.6,11,36,47,25,19,7,3,20,-3
"Mar 14, 2023",SAS,ORL,L,48,114,44,97,45.4,10,29,34.5,16,21,76.2,13,29,42,24,9,7,2,16,-18
"Mar 11, 2023",ORL,MIA,W,53,126,48,99,48.5,13,37,35.1,17,20,85.0,15,39,54,34,19,10,10,20,12
"Mar 09, 2023",ORL,UTA,L,48,124,44,94,46.8,16,34,47.1,20,31,64.5,12,24,36,21,10,9,4,16,-7
"Mar 07, 2023",ORL,MIL,L,48,123,50,100,50.0,9,30,30.0,14,19,73.7,10,28,38,24,13,7,0,22,-11
"Mar 05, 2023",ORL,POR,L,48,119,42,84,50.0,11,31,35.5,24,31,77.4,6,32,38,29,11,11,2,25,-3
"Mar 03, 2023",CHA,ORL,W,48,117,46,86,53.5,10,26,38.5,15,19,78.9,13,29,42,21,20,9,4,24,11
"Mar 01, 2023",MIL,ORL,L,48,117,43,94,45.7,9,33,27.3,22,29,75.9,12,38,50,22,13,3,5,18,-22
"Feb 27, 2023",NOP,ORL,W,48,101,36,79,45.6,9,34,26.5,20,26,76.9,11,32,43,21,17,9,1,20,8
"Feb 25, 2023",ORL,IND,L,48,108,35,90,38.9,6,29,20.7,32,38,84.2,15,40,55,16,14,4,8,19,-13
"Feb 23, 2023",ORL,DET,W,48,108,39,95,41.1,12,31,38.7,18,23,78.3,12,34,46,27,14,7,6,19,2
"Feb 14, 2023",TOR,ORL,L,48,113,43,84,51.2,13,31,41.9,14,18,77.8,9,20,29,26,19,6,2,17,-10
"Feb 13, 2023",CHI,ORL,W,48,100,38,81,46.9,8,27,29.6,16,19,84.2,7,35,42,24,18,8,6,19,9
"Feb 11, 2023",ORL,MIA,L,53,103,37,87,42.5,11,29,37.9,18,23,78.3,12,32,44,22,18,12,5,24,-4
"Feb 09, 2023",ORL,DEN,W,48,115,47,97,48.5,9,27,33.3,12,19,63.2,15,32,47,24,10,12,6,16,11
"Feb 07, 2023",ORL,NYK,L,48,98,37,79,46.8,6,25,24.0,18,24,75.0,9,32,41,23,11,4,4,19,-4
"Feb 05, 2023",CHA,ORL,W,48,119,42,91,46.2,8,23,34.8,27,30,90.0,18,34,52,25,12,6,2,18,6
"Feb 03, 2023",MIN,ORL,W,48,127,45,85,52.9,12,23,52.2,25,38,65.8,13,29,42,23,17,11,3,24,7
"Feb 01, 2023",PHI,ORL,L,48,94,33,87,37.9,6,38,15.8,22,29,75.9,12,34,46,12,15,10,4,21,-11
"Jan 30, 2023",PHI,ORL,W,48,119,42,99,42.4,11,29,37.9,24,30,80.0,15,35,50,23,10,11,6,16,10
"Jan 28, 2023",ORL,CHI,L,48,109,41,83,49.4,10,28,35.7,17,24,70.8,6,30,36,29,13,5,0,18,-19
"Jan 27, 2023",MIA,ORL,L,48,105,33,69,47.8,12,34,35.3,27,32,84.4,2,38,40,21,20,5,3,23,-5
"Jan 25, 2023",ORL,IND,W,48,126,46,82,56.1,15,28,53.6,19,25,76.0,9,25,34,34,18,8,7,22,6
"Jan 23, 2023",ORL,BOS,W,48,113,43,84,51.2,11,27,40.7,16,24,66.7,8,32,40,22,11,10,3,12,15
"Jan 21, 2023",WAS,ORL,L,48,118,42,90,46.7,14,34,41.2,20,24,83.3,9,32,41,24,11,3,10,19,-20
"Jan 20, 2023",ORL,NOP,W,48,123,39,75,52.0,15,30,50.0,30,34,88.2,5,37,42,28,15,2,5,18,13
"Jan 15, 2023",DEN,ORL,L,48,116,41,84,48.8,7,29,24.1,27,34,79.4,10,29,39,24,13,7,2,17,-3
"Jan 13, 2023",UTA,ORL,L,48,108,42,96,43.8,14,36,38.9,10,16,62.5,11,29,40,23,15,13,3,25,-4
"Jan 10, 2023",POR,ORL,W,48,109,40,78,51.3,9,24,37.5,20,25,80.0,6,29,35,19,16,10,2,20,3
"Jan 09, 2023",SAC,ORL,L,48,111,41,90,45.6,14,44,31.8,15,20,75.0,9,32,41,24,13,7,7,18,-25
"Jan 07, 2023",GSW,ORL,W,48,115,44,87,50.6,13,32,40.6,14,24,58.3,7,37,44,26,11,12,2,14,14
"Jan 05, 2023",ORL,MEM,L,48,115,39,84,46.4,11,36,30.6,26,30,86.7,7,32,39,23,11,6,3,22,-8
"Jan 04, 2023",ORL,OKC,W,48,126,42,81,51.9,13,33,39.4,29,36,80.6,13,36,49,26,17,6,5,22,11
"Dec 30, 2022",ORL,WAS,L,48,100,42,100,42.0,5,27,18.5,11,16,68.8,8,27,35,24,11,8,2,18,-19
"Dec 28, 2022",DET,ORL,L,48,101,35,85,41.2,5,22,22.7,26,34,76.5,15,32,47,24,13,5,5,26,-20
