Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023",PHX,LAC,L,48,114,42,99,42.4,14,37,37.8,16,22,72.7,12,35,47,29,7,4,3,21,-5
"Apr 07, 2023",LAL,PHX,L,48,107,43,104,41.3,9,36,25.0,12,14,85.7,13,34,47,23,9,7,10,12,-14
"Apr 06, 2023",PHX,DEN,W,48,119,41,79,51.9,17,36,47.2,20,25,80.0,7,26,33,26,10,4,6,16,4
"Apr 04, 2023",PHX,SAS,W,48,115,43,89,48.3,10,33,30.3,19,26,73.1,15,42,57,25,14,7,7,12,21
"Apr 02, 2023",OKC,PHX,W,48,128,46,81,56.8,13,34,38.2,23,28,82.1,5,33,38,31,13,4,6,30,10
"Mar 31, 2023",PHX,DEN,W,48,100,37,88,42.0,10,27,37.0,16,21,76.2,13,38,51,28,16,8,7,16,7
"Mar 29, 2023",PHX,MIN,W,48,107,40,96,41.7,6,20,30.0,21,27,77.8,15,33,48,23,8,11,8,16,7
"Mar 27, 2023",UTA,PHX,W,48,117,43,101,42.6,11,36,30.6,20,22,90.9,18,31,49,31,7,7,7,20,14
"Mar 25, 2023",PHX,PHI,W,48,125,47,93,50.5,15,32,46.9,16,19,84.2,13,32,45,35,8,4,9,22,20
"Mar 24, 2023",SAC,PHX,L,48,127,48,89,53.9,9,29,31.0,22,29,75.9,12,31,43,33,12,2,7,25,-8
"Mar 22, 2023",LAL,PHX,L,48,111,42,90,46.7,12,31,38.7,15,20,75.0,12,27,39,23,17,7,6,31,-11
"Mar 19, 2023",OKC,PHX,L,48,120,44,92,47.8,15,36,41.7,17,24,70.8,9,31,40,31,14,7,9,31,-4
"Mar 16, 2023",PHX,ORL,W,48,116,43,90,47.8,13,35,37.1,17,17,100,7,28,35,26,14,7,5,22,3
"Mar 14, 2023",PHX,MIL,L,48,104,41,95,43.2,8,23,34.8,14,16,87.5,8,33,41,23,11,7,3,26,-12
"Mar 13, 2023",GSW,PHX,L,48,112,46,95,48.4,4,21,19.0,16,22,72.7,17,30,47,25,14,8,4,23,-11
"Mar 11, 2023",PHX,SAC,L,48,119,44,89,49.4,13,44,29.5,18,22,81.8,7,33,40,30,14,11,3,26,-9
"Mar 08, 2023",PHX,OKC,W,48,132,49,94,52.1,20,43,46.5,14,16,87.5,14,40,54,31,15,10,7,17,31
"Mar 05, 2023",DAL,PHX,W,48,130,49,89,55.1,12,34,35.3,20,25,80.0,9,32,41,27,9,5,2,28,4
"Mar 03, 2023",CHI,PHX,W,48,125,42,84,50.0,20,47,42.6,21,25,84.0,13,28,41,29,11,6,7,20,21
"Mar 01, 2023",CHA,PHX,W,48,105,42,89,47.2,9,25,36.0,12,15,80.0,5,43,48,30,13,8,9,22,14
"Feb 26, 2023",MIL,PHX,L,48,101,40,95,42.1,8,24,33.3,13,22,59.1,19,36,55,21,12,4,5,22,-3
"Feb 24, 2023",PHX,OKC,W,48,124,42,90,46.7,14,38,36.8,26,32,81.3,15,39,54,23,11,5,5,22,9
"Feb 16, 2023",PHX,LAC,L,48,107,42,89,47.2,11,31,35.5,12,16,75.0,7,31,38,30,14,10,2,24,-9
"Feb 14, 2023",PHX,SAC,W,48,120,50,88,56.8,7,22,31.8,13,16,81.3,8,29,37,33,15,12,4,17,11
"Feb 10, 2023",IND,PHX,W,48,117,43,93,46.2,10,33,30.3,21,24,87.5,19,34,53,25,17,13,2,24,13
"Feb 09, 2023",ATL,PHX,L,48,107,39,86,45.3,7,30,23.3,22,29,75.9,9,26,35,24,11,14,10,19,-9
"Feb 07, 2023",BKN,PHX,W,48,116,43,92,46.7,9,31,29.0,21,28,75.0,16,32,48,31,15,10,4,24,4
"Feb 04, 2023",DET,PHX,W,48,116,42,75,56.0,11,23,47.8,21,31,67.7,10,36,46,34,17,10,2,23,16
