Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023",POR,GSW,A,48,101,38,95,40.0,9,35,25.7,16,24,66.7,6,24,30,25,14,5,3,9,-56
"Apr 08, 2023",LAC,POR,H,48,125,47,89,52.8,14,32,43.8,17,23,73.9,7,27,34,32,10,8,4,20,-11
"Apr 06, 2023",SAS,POR,H,48,127,51,96,53.1,10,28,35.7,15,18,83.3,8,28,36,34,16,7,14,22,-2
"Apr 04, 2023",MEM,POR,H,48,109,42,97,43.3,14,42,33.3,11,17,64.7,13,36,49,23,10,7,7,18,-10
"Apr 02, 2023",MIN,POR,A,48,107,43,93,46.2,9,30,30.0,12,20,60.0,11,31,42,29,10,12,3,26,2
"Mar 31, 2023",POR,SAC,A,48,114,40,85,47.1,19,38,50.0,15,23,65.2,9,24,33,29,20,9,6,15,-24
"Mar 29, 2023",POR,SAC,A,48,80,30,93,32.3,9,39,23.1,11,12,91.7,8,37,45,18,14,5,6,15,-40
"Mar 27, 2023",POR,NOP,A,48,90,35,90,38.9,7,33,21.2,13,15,86.7,6,23,29,15,12,6,2,16,-34
"Mar 26, 2023",POR,OKC,A,48,112,39,82,47.6,14,32,43.8,20,27,74.1,8,29,37,18,18,5,7,22,-6
"Mar 24, 2023",POR,CHI,A,48,96,37,86,43.0,6,31,19.4,16,18,88.9,8,23,31,23,14,10,5,14,-28
"Mar 22, 2023",UTA,POR,A,48,127,45,93,48.4,13,41,31.7,24,30,80.0,7,36,43,28,9,9,5,24,12
"Mar 19, 2023",POR,LAC,A,48,102,37,82,45.1,6,29,20.7,22,24,91.7,11,29,40,24,15,7,9,14,-15
"Mar 17, 2023",POR,BOS,A,48,112,38,79,48.1,14,38,36.8,22,31,71.0,8,29,37,20,19,12,4,26,-14
"Mar 14, 2023",POR,NYK,A,48,107,38,99,38.4,17,45,37.8,14,18,77.8,11,27,38,22,12,8,3,19,-16
"Mar 12, 2023",NOP,POR,H,48,110,43,88,48.9,10,33,30.3,14,20,70.0,10,36,46,26,19,10,2,21,-17
"Mar 10, 2023",PHI,POR,H,48,119,42,80,52.5,15,36,41.7,20,30,66.7,5,31,36,24,9,6,3,17,-1
"Mar 08, 2023",BOS,POR,H,48,93,30,82,36.6,11,39,28.2,22,27,81.5,6,41,47,18,16,5,2,19,-22
"Mar 06, 2023",DET,POR,A,48,110,38,78,48.7,15,33,45.5,19,25,76.0,5,33,38,28,11,7,6,17,6
"Mar 05, 2023",ORL,POR,A,48,122,39,83,47.0,16,47,34.0,28,32,87.5,9,37,46,27,17,9,5,22,3
"Mar 03, 2023",ATL,POR,H,48,111,41,87,47.1,13,39,33.3,16,20,80.0,9,25,34,22,18,11,7,15,-18
"Mar 01, 2023",POR,NOP,A,48,110,36,81,44.4,11,38,28.9,27,29,93.1,12,29,41,18,14,5,8,18,-11
"Feb 28, 2023",GSW,POR,H,48,105,37,86,43.0,12,39,30.8,19,22,86.4,9,24,33,26,13,8,4,17,-18
"Feb 26, 2023",POR,HOU,H,48,131,42,77,54.5,20,39,51.3,27,35,77.1,6,31,37,20,14,7,7,21,17
