MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023 - SAS @ DAL",W,48,138,51,104,49.0,15,38,39.5,21,30,70.0,13,56,69,31,12,2,3,13,21
"Apr 08, 2023 - SAS vs. MIN",L,48,131,50,95,52.6,13,29,44.8,18,24,75.0,10,35,45,34,13,5,4,16,-20
"Apr 06, 2023 - SAS vs. POR",W,48,129,47,106,44.3,10,35,28.6,25,28,89.3,18,29,47,29,15,9,4,12,2
"Apr 04, 2023 - SAS @ PHX",L,48,94,35,90,38.9,13,40,32.5,11,14,78.6,9,29,38,25,12,7,5,16,-21
"Apr 02, 2023 - SAS @ SAC",W,53,142,52,98,53.1,13,34,38.2,25,29,86.2,14,38,52,31,18,8,3,25,8
"Mar 31, 2023 - SAS @ GSW",L,48,115,42,91,46.2,15,38,39.5,16,23,69.6,14,32,46,27,15,8,4,20,-15
"Mar 29, 2023 - SAS vs. UTA",L,48,117,45,95,47.4,10,35,28.6,17,21,81.0,9,30,39,31,15,10,4,16,-11
"Mar 26, 2023 - SAS @ BOS",L,48,93,36,97,37.1,8,36,22.2,13,18,72.2,3,35,38,22,10,7,0,16,-44
"Mar 24, 2023 - SAS @ WAS",L,48,124,51,101,50.5,13,38,34.2,9,15,60.0,11,30,41,35,5,4,4,21,-12
"Mar 22, 2023 - SAS @ MIL",L,48,94,36,93,38.7,9,39,23.1,13,20,65.0,8,38,46,26,19,7,6,21,-36
"Mar 21, 2023 - SAS @ NOP",L,48,84,30,87,34.5,13,41,31.7,11,19,57.9,10,27,37,22,16,8,3,19,-35
"Mar 19, 2023 - SAS vs. ATL",W,48,126,51,94,54.3,14,28,50.0,10,16,62.5,10,31,41,26,12,9,5,18,8
"Mar 17, 2023 - SAS vs. MEM",L,53,120,39,98,39.8,20,52,38.5,22,29,75.9,16,38,54,31,20,11,4,19,-6
"Mar 15, 2023 - SAS vs. DAL",L,53,128,49,107,45.8,15,34,44.1,15,26,57.7,16,31,47,26,10,7,4,30,-9
"Mar 14, 2023 - SAS vs. ORL",W,48,132,48,85,56.5,22,41,53.7,14,18,77.8,7,40,47,39,15,6,7,17,18
"Mar 12, 2023 - SAS vs. OKC",L,48,90,33,88,37.5,10,36,27.8,14,19,73.7,10,40,50,24,19,3,7,18,-12
"Mar 10, 2023 - SAS vs. DEN",W,48,128,51,94,54.3,13,33,39.4,13,17,76.5,13,37,50,31,19,10,0,20,8
"Mar 05, 2023 - SAS @ HOU",L,48,110,43,93,46.2,11,34,32.4,13,21,61.9,13,22,35,23,15,5,4,20,-32
"Mar 04, 2023 - SAS vs. HOU",L,48,110,38,86,44.2,15,37,40.5,19,20,95.0,13,29,42,24,15,9,3,20,-12
"Mar 02, 2023 - SAS vs. IND",W,48,110,45,98,45.9,10,32,31.3,10,13,76.9,13,37,50,31,17,5,6,14,11
"Feb 28, 2023 - SAS @ UTA",W,48,102,39,91,42.9,8,26,30.8,16,25,64.0,9,36,45,23,14,9,5,22,8
"Feb 25, 2023 - SAS @ UTA",L,48,102,38,97,39.2,9,34,26.5,17,21,81.0,9,32,41,21,10,5,6,21,-16
"Feb 23, 2023 - SAS @ DAL",L,48,116,45,86,52.3,10,25,40.0,16,23,69.6,10,35,45,30,17,4,1,25,-26
"Feb 15, 2023 - SAS @ CHA",L,48,110,41,107,38.3,13,38,34.2,15,20,75.0,20,38,58,24,15,7,6,24,-10
"Feb 13, 2023 - SAS @ CLE",L,48,109,43,85,50.6,8,21,38.1,15,20,75.0,11,24,35,27,18,10,1,21,-8
"Feb 11, 2023 - SAS @ ATL",L,48,106,40,94,42.6,11,37,29.7,15,17,88.2,14,35,49,25,20,9,5,17,-19
"Feb 10, 2023 - SAS @ DET",L,58,131,45,107,42.1,14,42,33.3,27,34,79.4,13,38,51,21,19,7,3,32,-7
"Feb 08, 2023 - SAS @ TOR",L,48,98,35,87,40.2,9,32,28.1,19,27,70.4,7,32,39,24,16,11,4,18,-14
"Feb 06, 2023 - SAS @ CHI",L,48,104,40,90,44.4,8,26,30.8,16,17,94.1,6,32,38,25,18,7,3,23,-24
"Feb 03, 2023 - SAS vs. PHI",L,48,125,52,89,58.4,7,21,33.3,14,15,93.3,9,26,35,32,18,8,0,25,-12
"Feb 01, 2023 - SAS vs. SAC",L,48,109,48,88,54.5,8,24,33.3,5,7,71.4,8,32,40,30,18,5,1,17,-10
"Jan 30, 2023 - SAS vs. WAS",L,48,106,42,97,43.3,7,29,24.1,15,23,65.2,14,29,43,26,10,6,6,20,-21
"Jan 28, 2023 - SAS vs. PHX",L,53,118,48,109,44.0,10,29,34.5,12,17,70.6,17,36,53,32,13,6,4,20,-10
"Jan 26, 2023 - SAS @ LAC",L,48,100,37,82,45.1,8,24,33.3,18,28,64.3,11,31,42,24,14,2,1,18,-38
