MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023 - UTA @ LAL",L,48,117,51,101,50.5,10,35,28.6,5,6,83.3,7,38,45,31,11,4,4,16,-11
"Apr 08, 2023 - UTA vs. DEN",W,48,118,44,100,44.0,11,35,31.4,19,23,82.6,17,42,59,30,16,9,2,18,4
"Apr 06, 2023 - UTA vs. OKC",L,48,98,41,83,49.4,5,31,16.1,11,16,68.8,7,38,45,24,19,5,2,23,-16
"Apr 04, 2023 - UTA vs. LAL",L,53,133,47,90,52.2,15,33,45.5,24,31,77.4,6,35,41,29,14,4,3,28,-2
"Apr 02, 2023 - UTA @ BKN",L,48,110,40,91,44.0,8,32,25.0,22,30,73.3,11,41,52,24,11,5,1,23,-1
"Mar 31, 2023 - UTA @ BOS",L,48,114,46,96,47.9,9,29,31.0,13,14,92.9,13,39,52,23,18,3,7,17,-8
"Mar 29, 2023 - UTA @ SAS",W,48,128,49,90,54.4,12,31,38.7,18,20,90.0,8,37,45,28,16,5,6,17,11
"Mar 27, 2023 - UTA vs. PHX",L,48,103,38,86,44.2,9,36,25.0,18,27,66.7,10,37,47,25,13,2,7,19,-14
"Mar 25, 2023 - UTA @ SAC",L,48,113,47,91,51.6,9,28,32.1,10,16,62.5,11,34,45,30,17,3,7,14,-8
"Mar 24, 2023 - UTA vs. MIL",L,48,116,40,104,38.5,11,40,27.5,25,34,73.5,20,31,51,28,11,6,5,15,-28
"Mar 22, 2023 - UTA vs. POR",L,48,115,39,82,47.6,11,35,31.4,26,36,72.2,7,40,47,24,17,4,5,21,-12
"Mar 20, 2023 - UTA vs. SAC",W,48,128,46,88,52.3,16,36,44.4,20,23,87.0,6,42,48,33,12,3,8,23,8
"Mar 18, 2023 - UTA vs. BOS",W,48,118,42,97,43.3,17,41,41.5,17,22,77.3,17,39,56,29,7,3,5,14,1
"Mar 13, 2023 - UTA @ MIA",L,48,115,43,90,47.8,16,38,42.1,13,18,72.2,16,32,48,31,18,7,4,25,-4
"Mar 11, 2023 - UTA @ CHA",W,48,119,46,103,44.7,9,32,28.1,18,20,90.0,20,40,60,22,11,4,4,17,8
"Mar 09, 2023 - UTA @ ORL",W,48,131,49,88,55.7,13,34,38.2,20,21,95.2,11,31,42,27,18,7,8,26,7
"Mar 07, 2023 - UTA @ DAL",L,48,116,41,92,44.6,15,44,34.1,19,25,76.0,6,41,47,23,16,10,4,23,-4
"Mar 05, 2023 - UTA @ OKC",L,48,119,43,88,48.9,11,37,29.7,22,27,81.5,12,27,39,30,16,5,8,25,-10
"Mar 03, 2023 - UTA @ OKC",L,48,103,38,78,48.7,9,29,31.0,18,23,78.3,10,38,48,24,26,5,14,18,-27
"Feb 28, 2023 - UTA vs. SAS",L,48,94,30,85,35.3,10,34,29.4,24,36,66.7,14,38,52,15,20,8,9,15,-8
"Feb 25, 2023 - UTA vs. SAS",W,48,118,43,92,46.7,10,28,35.7,22,28,78.6,15,41,56,29,16,5,11,16,16
"Feb 23, 2023 - UTA vs. OKC",W,53,120,42,100,42.0,13,48,27.1,23,27,85.2,17,41,58,26,22,8,10,29,1
"Feb 15, 2023 - UTA @ MEM",L,48,111,42,91,46.2,12,36,33.3,15,19,78.9,15,46,61,24,24,2,8,20,-6
"Feb 13, 2023 - UTA @ IND",W,48,123,43,85,50.6,15,33,45.5,22,25,88.0,11,35,46,24,19,5,3,17,6
"Feb 11, 2023 - UTA @ NYK",L,48,120,45,88,51.1,9,32,28.1,21,28,75.0,11,27,38,23,12,3,7,24,-6
"Feb 10, 2023 - UTA @ TOR",W,48,122,47,87,54.0,6,24,25.0,22,29,75.9,9,37,46,31,17,6,6,20,6
"Feb 08, 2023 - UTA vs. MIN",L,48,118,44,105,41.9,12,34,35.3,18,21,85.7,21,29,50,27,8,2,5,12,-25
"Feb 06, 2023 - UTA vs. DAL",L,48,111,41,87,47.1,6,31,19.4,23,26,88.5,10,27,37,21,13,4,4,23,-13
"Feb 03, 2023 - UTA vs. ATL",L,48,108,41,91,45.1,13,44,29.5,13,18,72.2,13,37,50,20,15,4,2,22,-7
"Feb 01, 2023 - UTA vs. TOR",W,48,131,44,83,53.0,17,47,36.2,26,30,86.7,13,36,49,29,16,3,11,17,3
"Jan 28, 2023 - UTA vs. DAL",W,48,108,39,82,47.6,13,36,36.1,17,24,70.8,13,36,49,26,17,9,6,23,8
"Jan 25, 2023 - UTA @ POR",L,48,124,47,90,52.2,20,41,48.8,10,15,66.7,8,27,35,32,13,5,5,18,-10
"Jan 23, 2023 - UTA vs. CHA",W,48,120,41,86,47.7,16,40,40.0,22,26,84.6,9,37,46,25,16,8,4,26,18
"Jan 20, 2023 - UTA vs. BKN",L,48,106,37,88,42.0,16,39,41.0,16,23,69.6,13,33,46,24,11,6,1,18,-11
"Jan 18, 2023 - UTA vs. LAC",W,48,126,45,87,51.7,19,32,59.4,17,22,77.3,9,35,44,26,8,4,7,19,23
"Jan 16, 2023 - UTA @ MIN",W,48,126,45,84,53.6,13,34,38.2,23,28,82.1,14,36,50,25,18,0,5,12,1
"Jan 14, 2023 - UTA vs. PHI",L,48,117,43,90,47.8,12,40,30.0,19,23,82.6,10,38,48,20,12,5,6,24,-1
"Jan 13, 2023 - UTA vs. ORL",W,48,112,36,83,43.4,11,35,31.4,29,40,72.5,17,42,59,15,24,9,11,18,4
"Jan 10, 2023 - UTA vs. CLE",W,48,116,38,87,43.7,10,36,27.8,30,37,81.1,15,39,54,21,16,3,3,17,2
"Jan 08, 2023 - UTA @ MEM",L,48,118,45,88,51.1,10,32,31.3,18,22,81.8,8,38,46,29,21,7,9,18,-5
"Jan 07, 2023 - UTA @ CHI",L,48,118,46,93,49.5,12,41,29.3,14,18,77.8,7,32,39,36,10,6,2,24,-8
"Jan 05, 2023 - UTA @ HOU",W,48,131,46,93,49.5,19,48,39.6,20,21,95.2,9,33,42,33,8,10,5,20,17
"Jan 03, 2023 - UTA vs. SAC",L,48,115,38,88,43.2,13,44,29.5,26,29,89.7,12,32,44,21,16,9,3,19,-2
"Dec 31, 2022 - UTA vs. MIA",L,48,123,35,81,43.2,17,40,42.5,36,44,81.8,16,33,49,23,16,6,3,23,-3
"Dec 30, 2022 - UTA @ SAC",L,48,125,46,84,54.8,8,32,25.0,25,30,83.3,7,30,37,30,13,7,2,20,-1
"Dec 28, 2022 - UTA @ GSW",L,48,107,37,91,40.7,15,46,32.6,18,26,69.2,10,40,50,26,12,3,6,22,-5
"Dec 26, 2022 - UTA @ SAS",L,48,122,39,97,40.2,13,43,30.2,31,37,83.8,16,29,45,20,12,10,3,22,-4
"Dec 22, 2022 - UTA vs. WAS",W,48,120,42,86,48.8,16,35,45.7,20,21,95.2,8,32,40,16,11,5,3,16,8
"Dec 20, 2022 - UTA @ DET",W,48,126,47,93,50.5,20,46,43.5,12,19,63.2,12,31,43,27,12,7,5,22,15
"Dec 19, 2022 - UTA @ CLE",L,48,99,36,93,38.7,10,34,29.4,17,23,73.9,15,20,35,19,14,9,2,22,-23
"Dec 17, 2022 - UTA @ MIL",L,48,97,39,86,45.3,16,47,34.0,3,6,50.0,7,22,29,24,14,5,2,13,-26
"Dec 15, 2022 - UTA vs. NOP",W,53,132,42,92,45.7,18,47,38.3,30,37,81.1,11,33,44,24,16,8,6,25,3
"Dec 13, 2022 - UTA vs. NOP",W,48,121,49,103,47.6,15,47,31.9,8,12,66.7,19,40,59,31,22,4,10,23,21
"Dec 10, 2022 - UTA @ DEN",L,48,110,39,85,45.9,15,41,36.6,17,21,81.0,10,32,42,20,14,5,6,20,-5
"Dec 09, 2022 - UTA vs. MIN",L,48,108,39,90,43.3,13,44,29.5,17,24,70.8,12,28,40,22,11,9,0,20,-10
"Dec 07, 2022 - UTA vs. GSW",W,48,124,46,86,53.5,15,35,42.9,17,21,81.0,9,31,40,26,17,6,7,17,1
"Dec 03, 2022 - UTA vs. POR",L,48,111,38,84,45.2,13,36,36.1,22,28,78.6,10,34,44,20,13,8,4,22,-5
"Dec 02, 2022 - UTA vs. IND",W,48,139,46,83,55.4,15,34,44.1,32,37,86.5,8,39,47,29,26,7,2,28,20
"Nov 30, 2022 - UTA vs. LAC",W,48,125,45,81,55.6,14,32,43.8,21,28,75.0,13,33,46,24,18,4,7,24,13
"Nov 28, 2022 - UTA vs. CHI",L,48,107,41,85,48.2,19,49,38.8,6,15,40.0,9,36,45,30,14,5,4,17,-7
"Nov 26, 2022 - UTA @ PHX",L,48,112,40,79,50.6,13,32,40.6,19,25,76.0,8,32,40,20,12,5,2,19,-1
"Nov 25, 2022 - UTA @ GSW",L,48,118,46,97,47.4,11,45,24.4,15,17,88.2,15,27,42,28,13,12,6,15,-11
"Nov 23, 2022 - UTA vs. DET",L,48,116,41,83,49.4,18,41,43.9,16,19,84.2,7,31,38,31,16,4,7,21,-9
"Nov 21, 2022 - UTA @ LAC",L,48,114,40,89,44.9,12,38,31.6,22,24,91.7,16,29,45,22,17,8,5,18,-7
"Nov 19, 2022 - UTA @ POR",W,48,118,42,91,46.2,14,39,35.9,20,23,87.0,11,31,42,23,13,6,4,20,5
"Nov 18, 2022 - UTA vs. PHX",W,48,134,51,91,56.0,16,31,51.6,16,24,66.7,11,25,36,32,17,6,3,28,1
"Nov 15, 2022 - UTA vs. NYK",L,48,111,36,83,43.4,14,43,32.6,25,30,83.3,15,34,49,29,21,7,5,22,-7
"Nov 13, 2022 - UTA @ PHI",L,48,98,37,94,39.4,11,37,29.7,13,23,56.5,18,32,50,23,18,3,4,17,-7
"Nov 12, 2022 - UTA @ WAS",L,48,112,44,94,46.8,14,40,35.0,10,11,90.9,7,35,42,33,12,4,3,17,-9
"Nov 09, 2022 - UTA @ ATL",W,48,125,44,94,46.8,17,39,43.6,20,24,83.3,13,34,47,27,13,5,6,20,6
"Nov 07, 2022 - UTA vs. LAL",W,48,139,53,95,55.8,16,38,42.1,17,22,77.3,10,31,41,30,15,10,7,23,23
"Nov 06, 2022 - UTA @ LAC",W,48,110,35,75,46.7,15,40,37.5,25,26,96.2,7,35,42,18,21,5,4,15,8
"Nov 04, 2022 - UTA @ LAL",W,48,130,52,103,50.5,17,40,42.5,9,10,90.0,15,33,48,31,8,8,3,22,14
"Nov 02, 2022 - UTA @ DAL",L,48,100,39,84,46.4,10,30,33.3,12,14,85.7,12,28,40,28,17,6,1,17,-3
"Oct 31, 2022 - UTA vs. MEM",W,48,121,42,89,47.2,19,47,40.4,18,22,81.8,11,37,48,26,16,10,6,30,16
"Oct 29, 2022 - UTA vs. MEM",W,48,124,45,87,51.7,19,44,43.2,15,20,75.0,10,24,34,30,20,8,6,17,1
"Oct 28, 2022 - UTA @ DEN",L,48,101,38,91,41.8,10,39,25.6,15,19,78.9,8,30,38,24,10,7,8,30,-16
"Oct 26, 2022 - UTA vs. HOU",W,48,109,38,90,42.2,13,45,28.9,20,30,66.7,11,42,53,28,16,11,5,28,8
"Oct 24, 2022 - UTA @ HOU",L,48,108,44,93,47.3,11,32,34.4,9,16,56.3,18,31,49,23,20,8,10,27,-6
"Oct 23, 2022 - UTA @ NOP",W,53,122,43,98,43.9,13,38,34.2,23,28,82.1,15,29,44,29,17,13,6,20,1
"Oct 21, 2022 - UTA @ MIN",W,53,132,49,111,44.1,20,50,40.0,14,21,66.7,19,35,54,39,13,11,8,23,6
"Oct 19, 2022 - UTA vs. DEN",W,48,123,42,83,50.6,16,38,42.1,23,31,74.2,11,32,43,27,20,10,1,21,21
