Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023",WAS,HOU,L,48,109,41,97,42.3,14,45,31.1,13,21,61.9,14,37,51,28,13,11,5,21,-5
"Apr 07, 2023",WAS,MIA,W,48,114,39,84,46.4,7,33,21.2,29,37,78.4,12,38,50,23,17,4,3,18,6
"Apr 05, 2023",ATL,WAS,L,48,116,45,94,47.9,6,28,21.4,20,26,76.9,12,27,39,23,14,10,9,26,-18
"Apr 04, 2023",WAS,MIL,L,48,128,50,99,50.5,13,27,48.1,15,21,71.4,9,33,42,30,9,7,4,21,-12
"Apr 02, 2023",NYK,WAS,L,48,109,39,79,49.4,16,37,43.2,15,18,83.3,5,33,38,26,19,9,5,18,-9
"Mar 31, 2023",WAS,ORL,L,48,109,41,105,39.0,17,50,34.0,10,12,83.3,15,36,51,24,13,5,5,24,-7
"Mar 28, 2023",WAS,BOS,W,48,130,54,99,54.5,13,37,35.1,9,13,69.2,6,37,43,33,11,7,3,13,19
"Mar 26, 2023",TOR,WAS,L,48,104,38,86,44.2,16,36,44.4,12,20,60.0,12,33,45,25,18,6,2,12,-10
"Mar 24, 2023",WAS,SAS,W,48,136,51,85,60.0,15,30,50.0,19,26,73.1,6,37,43,29,10,3,8,16,12
"Mar 22, 2023",WAS,DEN,L,48,104,44,87,50.6,4,26,15.4,12,16,75.0,10,27,37,20,7,4,4,15,-14
"Mar 21, 2023",ORL,WAS,L,48,112,42,83,50.6,10,32,31.3,18,23,78.3,4,29,33,30,14,7,4,23,-10
"Mar 18, 2023",WAS,SAC,L,48,118,41,91,45.1,13,36,36.1,23,27,85.2,12,34,46,27,10,6,5,18,-14
"Mar 17, 2023",CLE,WAS,L,48,94,35,76,46.1,8,23,34.8,16,20,80.0,6,32,38,22,17,5,6,19,-23
"Mar 14, 2023",WAS,DET,W,48,117,44,85,51.8,7,32,21.9,22,22,100,10,38,48,24,15,9,9,12,20
"Mar 12, 2023",PHI,WAS,L,48,93,34,84,40.5,6,26,23.1,19,23,82.6,6,29,35,19,10,4,5,20,-19
"Mar 10, 2023",WAS,ATL,L,48,107,43,88,48.9,7,27,25.9,14,18,77.8,7,36,43,27,15,8,6,17,-7
"Mar 08, 2023",WAS,ATL,L,48,120,47,83,56.6,12,29,41.4,14,17,82.4,6,33,39,34,19,9,1,16,-2
