Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",PHI,BKN,H,48,86,32,83,38.6,9,34,26.5,13,17,76.5,4,38,42,19,13,8,6,14,-21
"Apr 12, 2024",NYK,BKN,H,48,107,41,82,50.0,11,32,34.4,14,19,73.7,16,29,45,22,14,3,4,19,-4
"Apr 10, 2024",BKN,TOR,H,48,106,38,86,44.2,11,36,30.6,19,24,79.2,14,42,56,25,15,4,15,16,4
"Apr 07, 2024",BKN,SAC,A,48,77,30,86,34.9,7,30,23.3,10,13,76.9,7,39,46,17,17,5,5,14,-30
"Apr 06, 2024",BKN,DET,H,48,113,38,73,52.1,11,27,40.7,26,33,78.8,11,37,48,20,18,3,7,11,10
"Apr 03, 2024",BKN,IND,H,48,115,42,87,48.3,12,32,37.5,19,27,70.4,15,35,50,22,13,4,8,16,4
"Apr 01, 2024",IND,BKN,H,48,111,41,87,47.1,10,26,38.5,19,28,67.9,12,31,43,20,15,3,4,19,-22
"Mar 31, 2024",BKN,LAL,A,48,104,39,92,42.4,12,36,33.3,14,19,73.7,9,29,38,19,13,12,3,17,-12
"Mar 29, 2024",BKN,CHI,H,48,125,43,91,47.3,25,44,56.8,14,22,63.6,12,31,43,26,7,9,3,22,17
"Mar 27, 2024",WAS,BKN,A,53,122,47,98,48.0,10,33,30.3,18,23,78.3,10,35,45,24,8,8,9,16,3
"Mar 25, 2024",TOR,BKN,A,48,96,37,81,45.7,9,39,23.1,13,18,72.2,16,34,50,20,20,3,4,16,8
"Mar 23, 2024",NYK,BKN,H,48,93,34,76,44.7,12,34,35.3,13,15,86.7,8,33,41,26,15,5,6,15,-12
"Mar 21, 2024",MIL,BKN,H,48,108,41,92,44.6,13,44,29.5,13,16,81.3,15,34,49,29,14,7,1,12,-7
"Mar 19, 2024",BKN,NOP,A,48,91,31,84,36.9,12,40,30.0,17,22,77.3,14,28,42,19,14,6,4,13,-13
"Mar 17, 2024",SAS,BKN,H,53,115,47,102,46.1,8,31,25.8,13,19,68.4,11,37,48,29,12,13,5,20,-7
"Mar 16, 2024",IND,BKN,H,48,100,33,77,42.9,10,25,40.0,24,31,77.4,12,33,45,18,21,8,3,18,-21
"Mar 13, 2024",ORL,BKN,H,48,106,38,81,46.9,7,26,26.9,23,27,85.2,8,24,32,21,13,7,4,19,-8
"Mar 10, 2024",CLE,BKN,A,48,120,42,79,53.2,18,35,51.4,18,20,90.0,8,32,40,33,15,7,3,17,19
"Mar 09, 2024",CHA,BKN,H,48,99,36,90,40.0,14,42,33.3,13,17,76.5,16,25,41,22,16,4,2,14,-11
"Mar 07, 2024",DET,BKN,H,48,112,41,84,48.8,17,41,41.5,13,18,72.2,4,24,28,24,14,12,4,17,-6
"Mar 05, 2024",BKN,PHI,H,48,112,41,84,48.8,12,30,40.0,18,24,75.0,10,34,44,25,14,4,7,16,5
"Mar 04, 2024",BKN,MEM,A,48,102,35,79,44.3,15,42,35.7,17,30,56.7,12,21,33,27,13,10,6,20,-4
"Mar 02, 2024",BKN,ATL,H,48,114,41,88,46.6,15,32,46.9,17,22,77.3,12,33,45,28,11,6,8,19,12
"Feb 29, 2024",BKN,ATL,H,48,124,46,90,51.1,22,46,47.8,10,13,76.9,8,35,43,30,10,6,4,16,27
"Feb 27, 2024",ORL,BKN,H,48,81,31,79,39.2,8,31,25.8,11,14,78.6,9,26,35,18,22,10,1,22,-27
"Feb 26, 2024",MEM,BKN,A,48,111,44,90,48.9,15,42,35.7,8,14,57.1,12,34,46,32,10,5,5,24,25
"Feb 24, 2024",MIN,BKN,H,48,86,35,104,33.7,6,35,17.1,10,11,90.9,16,40,56,20,11,7,2,17,-15
"Feb 22, 2024",TOR,BKN,H,48,93,33,80,41.3,11,37,29.7,16,22,72.7,6,33,39,19,20,7,2,24,-28
"Feb 14, 2024",BOS,BKN,H,48,86,31,81,38.3,10,31,32.3,14,15,93.3,6,25,31,27,12,5,1,12,-50
