Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",BOS,WAS,W,48,132,51,89,57.3,16,32,50.0,14,21,66.7,10,38,48,29,17,10,15,13,10
"Apr 12, 2024",BOS,CHA,W,48,131,54,104,51.9,14,41,34.1,9,13,69.2,16,37,53,34,6,12,1,20,33
"Apr 11, 2024",BOS,NYK,L,48,109,40,86,46.5,16,42,38.1,13,16,81.3,10,26,36,25,12,7,12,16,-9
"Apr 09, 2024",MIL,BOS,L,48,91,37,93,39.8,17,52,32.7,0,0,0.0,12,26,38,27,12,11,4,8,-13
"Apr 07, 2024",BOS,POR,W,48,124,49,87,56.3,16,38,42.1,10,13,76.9,5,35,40,34,13,11,8,12,17
"Apr 05, 2024",BOS,SAC,W,48,101,38,89,42.7,12,44,27.3,13,18,72.2,12,39,51,25,8,6,4,11,1
"Apr 03, 2024",BOS,OKC,W,48,135,50,92,54.3,17,40,42.5,18,19,94.7,11,35,46,33,11,7,10,18,35
"Apr 01, 2024",CHA,BOS,W,48,118,43,89,48.3,19,53,35.8,13,16,81.3,11,40,51,28,11,3,3,15,14
"Mar 30, 2024",NOP,BOS,W,48,104,39,82,47.6,15,37,40.5,11,12,91.7,8,43,51,27,13,7,7,13,12
"Mar 28, 2024",ATL,BOS,L,53,122,45,94,47.9,14,36,38.9,18,21,85.7,9,34,43,28,12,7,6,15,-1
