Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",CLE,CHA,A,48,120,46,91,50.5,19,40,47.5,9,11,81.8,10,37,47,36,10,10,9,11,10
"Apr 12, 2024",BOS,CHA,H,48,98,32,76,42.1,15,35,42.9,19,22,86.4,4,29,33,20,20,3,7,15,-33
"Apr 10, 2024",ATL,CHA,A,48,115,40,79,50.6,14,36,38.9,21,22,95.5,5,28,33,25,14,11,2,18,1
"Apr 09, 2024",CHA,DAL,A,48,104,39,89,43.8,10,32,31.3,16,21,76.2,8,31,39,24,12,8,3,16,-26
"Apr 07, 2024",CHA,OKC,A,48,118,45,83,54.2,17,40,42.5,11,14,78.6,7,29,36,29,18,12,9,14,-3
"Apr 05, 2024",CHA,ORL,H,48,124,43,72,59.7,15,30,50.0,23,23,100,4,32,36,29,20,6,4,22,9
"Apr 03, 2024",CHA,POR,A,48,86,32,78,41.0,5,31,16.1,17,22,77.3,2,34,36,22,11,10,8,15,-3
"Apr 01, 2024",CHA,BOS,A,48,104,41,91,45.1,13,37,35.1,9,11,81.8,8,32,40,28,7,3,2,15,-14
"Mar 31, 2024",CHA,LAC,A,48,118,44,88,50.0,23,52,44.2,7,11,63.6,5,26,31,32,9,3,2,25,-12
"Mar 29, 2024",CHA,GSW,A,48,97,34,84,40.5,12,46,26.1,17,24,70.8,12,29,41,23,11,4,2,10,-18
"Mar 27, 2024",CHA,CLE,H,48,118,44,76,57.9,13,33,39.4,17,22,77.3,8,30,38,30,16,8,2,14,7
"Mar 25, 2024",CLE,CHA,H,48,92,34,80,42.5,9,28,32.1,15,18,83.3,6,27,33,22,12,5,4,13,-23
"Mar 23, 2024",ATL,CHA,H,48,91,35,84,41.7,11,39,28.2,10,14,71.4,11,28,39,25,15,3,4,9,-41
"Mar 19, 2024",ORL,CHA,H,48,92,38,79,48.1,9,29,31.0,7,9,77.8,4,26,30,19,17,8,1,13,-20
"Mar 16, 2024",PHI,CHA,H,48,98,37,82,45.1,10,31,32.3,14,18,77.8,12,28,40,21,16,11,4,21,-11
"Mar 15, 2024",CHA,PHX,A,48,96,35,94,37.2,6,37,16.2,20,27,74.1,12,36,48,20,5,6,3,16,-11
"Mar 13, 2024",MEM,CHA,A,48,110,44,82,53.7,13,36,36.1,9,13,69.2,6,29,35,26,20,12,7,11,12
"Mar 11, 2024",DET,CHA,H,48,97,34,88,38.6,13,40,32.5,16,23,69.6,9,31,40,27,13,7,2,16,-17
"Mar 09, 2024",CHA,BKN,H,48,110,44,81,54.3,11,30,36.7,11,15,73.3,9,36,45,26,17,9,3,18,11
"Mar 08, 2024",WAS,CHA,H,48,100,40,100,40.0,9,42,21.4,11,15,73.3,13,35,48,18,7,6,5,19,-12
"Mar 05, 2024",CHA,ORL,A,48,89,33,72,45.8,12,33,36.4,11,11,100,3,28,31,19,19,7,1,19,-12
"Mar 03, 2024",TOR,CHA,H,48,106,43,92,46.7,8,27,29.6,12,16,75.0,11,34,45,24,17,8,6,15,-5
