Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",CLE,CHA,A,48,110,44,93,47.3,16,33,48.5,6,9,66.7,12,31,43,30,14,4,1,8,-10
"Apr 12, 2024",CLE,IND,H,48,129,50,95,52.6,13,32,40.6,16,23,69.6,11,30,41,28,11,9,2,14,9
"Apr 10, 2024",CLE,MEM,H,48,110,37,82,45.1,15,37,40.5,21,29,72.4,12,35,47,27,16,11,10,15,12
"Apr 07, 2024",LAC,CLE,H,48,118,42,88,47.7,11,30,36.7,23,27,85.2,7,29,36,27,11,10,2,16,-2
"Apr 06, 2024",LAL,CLE,H,48,97,39,90,43.3,11,35,31.4,8,12,66.7,11,29,40,24,19,11,3,11,-19
"Apr 03, 2024",PHX,CLE,H,48,101,39,83,47.0,7,26,26.9,16,19,84.2,7,30,37,28,15,9,4,14,-21
"Apr 02, 2024",UTA,CLE,A,48,129,46,85,54.1,16,39,41.0,21,24,87.5,9,32,41,38,15,10,6,14,16
"Mar 31, 2024",DEN,CLE,H,48,101,38,82,46.3,8,25,32.0,17,21,81.0,6,22,28,26,15,10,4,12,-29
"Mar 29, 2024",CLE,PHI,H,48,117,45,82,54.9,16,37,43.2,11,13,84.6,5,32,37,34,14,4,3,17,3
"Mar 27, 2024",CHA,CLE,H,48,111,42,85,49.4,19,44,43.2,8,14,57.1,9,23,32,33,15,7,1,21,-7
"Mar 25, 2024",CLE,CHA,H,48,115,46,86,53.5,17,41,41.5,6,10,60.0,9,38,47,41,14,4,3,15,23
"Mar 24, 2024",MIA,CLE,H,48,84,30,72,41.7,9,29,31.0,15,20,75.0,4,26,30,24,17,3,3,16,-37
"Mar 22, 2024",MIN,CLE,H,48,91,34,81,42.0,7,29,24.1,16,19,84.2,10,31,41,22,12,6,5,14,-13
"Mar 20, 2024",CLE,MIA,A,48,104,35,75,46.7,15,42,35.7,19,22,86.4,6,31,37,30,12,3,2,19,-3
"Mar 18, 2024",IND,CLE,A,48,108,38,80,47.5,12,32,37.5,20,28,71.4,9,30,39,27,14,8,4,18,5
"Mar 16, 2024",HOU,CLE,H,48,103,37,82,45.1,12,38,31.6,17,20,85.0,7,38,45,22,16,6,7,12,-14
"Mar 13, 2024",NOP,CLE,A,48,116,47,92,51.1,20,45,44.4,2,3,66.7,8,38,46,38,12,4,4,18,21
"Mar 11, 2024",CLE,PHX,A,48,111,40,84,47.6,15,46,32.6,16,19,84.2,10,27,37,30,13,9,0,18,-6
"Mar 10, 2024",CLE,BKN,A,48,101,37,76,48.7,14,32,43.8,13,20,65.0,5,26,31,25,12,8,4,17,-19
"Mar 08, 2024",CLE,MIN,H,53,113,38,88,43.2,11,34,32.4,26,36,72.2,10,36,46,27,13,7,8,20,9
"Mar 06, 2024",ATL,CLE,H,48,101,39,89,43.8,10,44,22.7,13,17,76.5,10,32,42,27,15,5,4,16,-11
"Mar 05, 2024",CLE,BOS,H,48,105,39,90,43.3,20,42,47.6,7,11,63.6,8,34,42,28,9,11,3,10,1
"Mar 03, 2024",CLE,NYK,A,48,98,39,87,44.8,17,44,38.6,3,8,37.5,10,29,39,31,11,7,5,11,-9
"Mar 01, 2024",DET,CLE,A,48,110,33,83,39.8,18,41,43.9,26,30,86.7,12,41,53,25,16,7,6,20,10
"Feb 28, 2024",CHI,CLE,H,58,123,45,104,43.3,22,54,40.7,11,19,57.9,5,34,39,37,12,7,11,25,-9
"Feb 27, 2024",CLE,DAL,H,48,121,44,83,53.0,20,40,50.0,13,18,72.2,9,38,47,35,16,2,4,12,2
"Feb 25, 2024",WAS,CLE,A,48,114,42,83,50.6,10,32,31.3,20,27,74.1,6,41,47,35,11,6,6,16,9
"Feb 23, 2024",PHI,CLE,H,48,97,34,80,42.5,8,27,29.6,21,31,67.7,5,38,43,24,11,5,8,15,-7
"Feb 22, 2024",CLE,ORL,A,48,109,39,70,55.7,10,22,45.5,21,26,80.8,7,26,33,31,19,8,5,18,-7
"Feb 14, 2024",CLE,CHI,H,48,108,40,83,48.2,12,37,32.4,16,21,76.2,6,30,36,31,8,6,2,18,3
"Feb 12, 2024",CLE,PHI,A,48,121,44,92,47.8,13,37,35.1,20,25,80.0,15,28,43,33,11,6,8,17,-2
"Feb 10, 2024",TOR,CLE,A,48,119,48,92,52.2,14,41,34.1,9,13,69.2,14,33,47,36,11,5,4,18,24
"Feb 08, 2024",BKN,CLE,A,48,118,43,80,53.8,15,37,40.5,17,17,100,7,41,48,26,17,8,13,18,23
"Feb 07, 2024",WAS,CLE,A,48,114,43,88,48.9,12,35,34.3,16,22,72.7,7,39,46,25,14,4,5,11,8
"Feb 05, 2024",CLE,SAC,H,48,136,51,88,58.0,23,41,56.1,11,17,64.7,5,40,45,36,9,10,5,15,26
"Feb 03, 2024",SAS,CLE,A,48,117,46,97,47.4,13,44,29.5,12,13,92.3,10,41,51,31,10,6,4,19,16
"Feb 01, 2024",MEM,CLE,A,48,108,41,86,47.7,14,35,40.0,12,18,66.7,10,38,48,26,14,6,8,16,7
"Jan 31, 2024",CLE,DET,H,48,128,47,89,52.8,12,35,34.3,22,23,95.7,10,23,33,26,9,13,5,15,7
"Jan 29, 2024",CLE,LAC,H,48,118,42,86,48.8,13,40,32.5,21,26,80.8,11,35,46,28,13,6,3,18,10
"Jan 26, 2024",MIL,CLE,A,48,112,38,92,41.3,14,36,38.9,22,31,71.0,15,36,51,20,13,7,8,22,12
"Jan 24, 2024",MIL,CLE,H,48,116,46,91,50.5,13,38,34.2,11,15,73.3,6,33,39,26,13,5,2,18,-10
"Jan 22, 2024",ORL,CLE,A,48,126,45,80,56.3,20,38,52.6,16,22,72.7,9,30,39,29,12,10,4,20,27
"Jan 20, 2024",ATL,CLE,A,48,116,43,85,50.6,16,43,37.2,14,16,87.5,4,45,49,32,14,7,6,16,21
"Jan 17, 2024",CLE,MIL,H,48,135,55,93,59.1,12,28,42.9,13,19,68.4,11,44,55,36,11,5,3,9,40
"Jan 15, 2024",CLE,CHI,H,48,109,39,95,41.1,20,57,35.1,11,11,100,13,35,48,28,14,9,3,14,18
"Jan 11, 2024",CLE,BKN,H,48,111,32,82,39.0,13,44,29.5,34,43,79.1,12,35,47,16,11,11,6,24,9
"Jan 07, 2024",CLE,SAS,H,48,117,43,88,48.9,16,43,37.2,15,21,71.4,12,32,44,27,16,6,3,16,2
"Jan 05, 2024",CLE,WAS,H,48,114,41,77,53.2,16,33,48.5,16,23,69.6,12,40,52,31,24,9,1,19,24
"Jan 03, 2024",CLE,WAS,H,48,140,54,100,54.0,20,42,47.6,12,16,75.0,18,44,62,37,11,5,8,13,39
"Jan 01, 2024",TOR,CLE,H,48,121,43,89,48.3,12,36,33.3,23,26,88.5,6,37,43,25,9,9,2,29,-3
"Dec 29, 2023",CLE,MIL,A,48,111,49,103,47.6,6,43,14.0,7,9,77.8,7,30,37,28,8,11,7,20,-8
"Dec 27, 2023",DAL,CLE,A,48,113,40,92,43.5,17,43,39.5,16,23,69.6,18,39,57,33,16,7,4,21,3
"Dec 23, 2023",CHI,CLE,A,48,109,39,88,44.3,12,45,26.7,19,26,73.1,15,33,48,28,13,7,4,16,14
"Dec 21, 2023",CLE,NOP,A,48,104,41,87,47.1,17,44,38.6,5,8,62.5,6,29,35,34,12,4,3,13,-19
"Dec 20, 2023",CLE,UTA,H,48,124,45,96,46.9,23,51,45.1,11,16,68.8,14,30,44,34,12,8,3,23,8
"Dec 18, 2023",CLE,HOU,H,53,135,47,97,48.5,19,48,39.6,22,34,64.7,14,24,38,29,12,7,8,25,5
"Dec 16, 2023",CLE,ATL,H,48,127,49,101,48.5,16,42,38.1,13,15,86.7,18,31,49,32,11,8,3,22,8
"Dec 14, 2023",BOS,CLE,H,48,107,40,83,48.2,11,33,33.3,16,17,94.1,9,30,39,21,16,7,1,18,-9
"Dec 12, 2023",BOS,CLE,H,48,113,44,92,47.8,19,45,42.2,6,9,66.7,6,29,35,27,13,6,4,18,-7
"Dec 11, 2023",ORL,CLE,H,48,94,30,85,35.3,9,40,22.5,25,33,75.8,18,30,48,15,14,10,3,23,-10
"Dec 08, 2023",MIA,CLE,A,48,111,40,87,46.0,14,38,36.8,17,26,65.4,12,39,51,21,13,13,2,17,12
"Dec 06, 2023",CLE,ORL,H,48,121,46,86,53.5,14,34,41.2,15,20,75.0,10,35,45,29,17,5,2,27,10
"Dec 02, 2023",DET,CLE,A,48,110,44,89,49.4,10,30,33.3,12,18,66.7,8,35,43,25,11,11,1,18,9
"Nov 30, 2023",CLE,POR,A,48,95,38,89,42.7,7,32,21.9,12,12,100,14,21,35,25,19,12,2,15,-8
"Nov 28, 2023",CLE,ATL,H,48,128,50,93,53.8,13,36,36.1,15,17,88.2,12,43,55,27,17,8,12,20,23
"Nov 26, 2023",CLE,TOR,H,48,105,45,97,46.4,10,31,32.3,5,6,83.3,12,37,49,29,14,2,5,18,3
"Nov 25, 2023",CLE,LAL,A,48,115,43,91,47.3,9,28,32.1,20,23,87.0,7,30,37,30,14,13,4,16,-6
"Nov 22, 2023",CLE,MIA,A,48,96,36,77,46.8,14,30,46.7,10,14,71.4,7,27,34,25,19,5,6,17,-33
"Nov 21, 2023",PHI,CLE,A,53,122,46,94,48.9,9,25,36.0,21,25,84.0,14,42,56,33,16,9,4,21,3
"Nov 19, 2023",CLE,DEN,H,48,121,45,82,54.9,11,27,40.7,20,26,76.9,11,36,47,30,14,6,5,18,12
"Nov 17, 2023",CLE,DET,H,48,108,42,82,51.2,9,21,42.9,15,21,71.4,7,32,39,21,12,9,6,9,8
"Nov 15, 2023",POR,CLE,A,48,109,42,75,56.0,9,30,30.0,16,21,76.2,7,40,47,23,18,5,9,16,14
"Nov 13, 2023",SAC,CLE,H,48,120,45,91,49.5,16,35,45.7,14,17,82.4,14,25,39,24,11,3,1,18,-12
"Nov 11, 2023",GSW,CLE,A,48,118,37,86,43.0,11,30,36.7,33,43,76.7,11,34,45,23,11,13,3,24,8
"Nov 08, 2023",OKC,CLE,H,48,120,42,83,50.6,9,29,31.0,27,37,73.0,11,30,41,26,20,9,5,24,-8
"Nov 05, 2023",CLE,GSW,H,48,115,41,83,49.4,11,37,29.7,22,28,78.6,13,41,54,26,18,8,2,21,11
"Nov 03, 2023",IND,CLE,H,48,116,44,84,52.4,8,28,28.6,20,25,80.0,5,30,35,27,13,10,9,20,-5
"Nov 01, 2023",NYK,CLE,A,48,95,32,74,43.2,12,32,37.5,19,20,95.0,6,40,46,22,18,7,5,27,6
"Oct 31, 2023",CLE,NYK,A,48,91,36,92,39.1,10,38,26.3,9,12,75.0,14,32,46,19,15,6,6,19,-18
"Oct 28, 2023",CLE,IND,A,48,113,43,100,43.0,12,31,38.7,15,24,62.5,19,33,52,29,7,2,6,16,-12
"Oct 27, 2023",CLE,OKC,A,48,105,38,92,41.3,12,45,26.7,17,23,73.9,8,40,48,20,14,10,8,16,-3
"Oct 25, 2023",BKN,CLE,A,48,114,44,94,46.8,17,43,39.5,9,10,90.0,9,29,38,25,10,10,6,23,1
