MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024 - HOU @ LAC",W,48,116,50,103,48.5,11,38,28.9,5,14,35.7,17,42,59,31,18,7,8,13,11
"Apr 12, 2024 - HOU @ POR",W,48,116,44,92,47.8,11,39,28.2,17,20,85.0,10,38,48,25,9,3,5,20,9
"Apr 11, 2024 - HOU @ UTA",L,48,121,40,95,42.1,21,47,44.7,20,22,90.9,16,23,39,22,10,8,6,18,-3
"Apr 09, 2024 - HOU vs. ORL",W,48,118,45,86,52.3,15,35,42.9,13,18,72.2,6,31,37,29,12,8,7,21,12
"Apr 07, 2024 - HOU @ DAL",L,53,136,46,93,49.5,17,41,41.5,27,35,77.1,4,28,32,31,11,11,6,34,-11
"Apr 05, 2024 - HOU vs. MIA",L,48,104,34,90,37.8,14,44,31.8,22,25,88.0,12,33,45,25,9,7,2,13,-15
"Apr 04, 2024 - HOU vs. GSW",L,48,110,36,86,41.9,12,40,30.0,26,30,86.7,12,17,29,23,12,11,1,19,-23
"Apr 02, 2024 - HOU @ MIN",L,48,106,41,92,44.6,14,48,29.2,10,14,71.4,12,25,37,23,15,10,0,23,-7
"Mar 31, 2024 - HOU vs. DAL",L,48,107,39,92,42.4,13,38,34.2,16,19,84.2,12,31,43,22,12,9,3,14,-18
"Mar 29, 2024 - HOU @ UTA",W,48,101,35,91,38.5,13,42,31.0,18,28,64.3,15,30,45,19,10,10,6,18,1
"Mar 27, 2024 - HOU @ OKC",W,53,132,50,104,48.1,15,43,34.9,17,23,73.9,16,34,50,25,16,10,3,24,6
"Mar 25, 2024 - HOU vs. POR",W,48,110,37,93,39.8,12,39,30.8,24,25,96.0,13,32,45,19,9,7,7,16,18
"Mar 23, 2024 - HOU vs. UTA",W,48,147,54,97,55.7,27,49,55.1,12,14,85.7,12,32,44,31,9,7,3,26,28
"Mar 21, 2024 - HOU vs. CHI",W,48,127,47,93,50.5,17,45,37.8,16,20,80.0,13,36,49,27,16,7,6,21,10
"Mar 19, 2024 - HOU @ WAS",W,48,137,47,91,51.6,13,39,33.3,30,36,83.3,12,35,47,25,7,6,11,15,23
"Mar 16, 2024 - HOU vs. CLE",W,48,117,47,98,48.0,15,42,35.7,8,12,66.7,11,37,48,28,10,9,7,19,14
"Mar 14, 2024 - HOU vs. WAS",W,48,135,51,87,58.6,12,28,42.9,21,24,87.5,8,39,47,24,19,7,1,19,16
"Mar 12, 2024 - HOU @ SAS",W,48,103,37,80,46.3,10,32,31.3,19,21,90.5,8,28,36,21,13,10,5,19,2
"Mar 10, 2024 - HOU @ SAC",W,48,112,39,84,46.4,12,29,41.4,22,27,81.5,6,36,42,23,12,8,1,18,8
"Mar 08, 2024 - HOU @ POR",W,48,123,45,94,47.9,14,37,37.8,19,26,73.1,14,33,47,33,7,12,10,15,16
"Mar 06, 2024 - HOU vs. LAC",L,48,116,45,94,47.9,16,37,43.2,10,17,58.8,13,25,38,33,8,6,2,21,-6
"Mar 05, 2024 - HOU vs. SAS",W,48,114,49,105,46.7,9,34,26.5,7,11,63.6,16,35,51,23,7,15,5,15,13
"Mar 02, 2024 - HOU @ PHX",W,48,118,42,96,43.8,16,42,38.1,18,26,69.2,13,36,49,27,13,13,3,22,9
"Feb 29, 2024 - HOU @ PHX",L,48,105,33,99,33.3,11,45,24.4,28,31,90.3,19,39,58,14,13,8,5,29,-5
"Feb 27, 2024 - HOU @ OKC",L,48,95,37,95,38.9,9,39,23.1,12,18,66.7,12,34,46,22,15,5,8,16,-17
"Feb 25, 2024 - HOU vs. OKC",L,48,110,38,93,40.9,16,41,39.0,18,23,78.3,13,37,50,18,18,6,7,16,-13
"Feb 23, 2024 - HOU vs. PHX",W,48,114,37,93,39.8,15,45,33.3,25,34,73.5,17,37,54,25,14,8,5,23,4
"Feb 22, 2024 - HOU @ NOP",L,48,105,36,82,43.9,15,41,36.6,18,28,64.3,12,32,44,27,24,6,5,18,-22
"Feb 14, 2024 - HOU @ MEM",L,48,113,42,102,41.2,11,36,30.6,18,28,64.3,22,34,56,20,9,9,4,25,-8
"Feb 12, 2024 - HOU vs. NYK",W,48,105,36,80,45.0,10,26,38.5,23,33,69.7,12,27,39,22,12,12,3,16,2
"Feb 10, 2024 - HOU @ ATL",L,48,113,44,100,44.0,13,43,30.2,12,19,63.2,16,42,58,22,17,6,6,26,-9
"Feb 09, 2024 - HOU @ TOR",L,48,104,38,85,44.7,15,38,39.5,13,16,81.3,12,36,48,22,22,5,3,20,-3
"Feb 06, 2024 - HOU @ IND",L,48,129,50,97,51.5,12,25,48.0,17,23,73.9,20,28,48,26,15,5,3,16,-3
"Feb 04, 2024 - HOU @ MIN",L,48,90,31,88,35.2,10,30,33.3,18,27,66.7,10,31,41,20,11,10,7,26,-21
"Feb 02, 2024 - HOU vs. TOR",W,48,135,55,93,59.1,11,31,35.5,14,17,82.4,7,42,49,30,15,9,3,20,29
"Jan 31, 2024 - HOU vs. NOP",L,48,99,35,87,40.2,13,44,29.5,16,17,94.1,5,24,29,19,5,11,2,21,-11
"Jan 29, 2024 - HOU vs. LAL",W,48,135,52,98,53.1,12,36,33.3,19,25,76.0,14,42,56,36,15,10,2,19,16
"Jan 27, 2024 - HOU @ BKN",L,48,104,37,94,39.4,10,37,27.0,20,23,87.0,15,40,55,20,17,6,3,29,-2
"Jan 26, 2024 - HOU @ CHA",W,48,138,50,89,56.2,13,33,39.4,25,31,80.6,11,42,53,34,14,7,10,20,34
"Jan 24, 2024 - HOU vs. POR",L,53,131,50,94,53.2,12,36,33.3,19,22,86.4,8,29,37,29,8,8,6,19,-6
"Jan 21, 2024 - HOU vs. BOS",L,48,107,41,94,43.6,10,35,28.6,15,22,68.2,11,38,49,26,15,9,3,17,-9
"Jan 20, 2024 - HOU vs. UTA",W,53,127,50,117,42.7,13,39,33.3,14,22,63.6,23,33,56,27,7,11,10,22,1
"Jan 17, 2024 - HOU @ NYK",L,48,94,35,84,41.7,8,30,26.7,16,19,84.2,6,32,38,23,10,6,9,18,-15
"Jan 15, 2024 - HOU @ PHI",L,48,115,44,88,50.0,8,27,29.6,19,32,59.4,16,30,46,21,13,7,9,23,-9
"Jan 13, 2024 - HOU @ BOS",L,48,113,40,99,40.4,7,30,23.3,26,30,86.7,15,35,50,20,13,10,3,18,-32
"Jan 12, 2024 - HOU @ DET",W,48,112,41,90,45.6,8,30,26.7,22,25,88.0,10,31,41,21,9,8,5,16,2
"Jan 10, 2024 - HOU @ CHI",L,53,119,48,101,47.5,11,45,24.4,12,20,60.0,9,41,50,29,14,9,4,18,-5
"Jan 08, 2024 - HOU @ MIA",L,48,113,37,88,42.0,14,41,34.1,25,28,89.3,12,30,42,20,12,8,4,31,-7
"Jan 06, 2024 - HOU vs. MIL",W,48,112,36,83,43.4,13,34,38.2,27,32,84.4,7,39,46,22,10,7,2,24,4
"Jan 05, 2024 - HOU vs. MIN",L,48,95,36,90,40.0,12,32,37.5,11,15,73.3,7,31,38,18,15,7,2,15,-27
"Jan 03, 2024 - HOU vs. BKN",W,48,112,37,76,48.7,19,39,48.7,19,27,70.4,5,43,48,27,16,5,4,19,11
"Jan 01, 2024 - HOU vs. DET",W,48,136,51,91,56.0,15,35,42.9,19,24,79.2,6,33,39,34,10,11,1,19,23
"Dec 29, 2023 - HOU vs. PHI",L,48,127,49,91,53.8,14,30,46.7,15,21,71.4,14,28,42,30,17,8,6,24,-4
"Dec 27, 2023 - HOU vs. PHX",L,48,113,40,96,41.7,17,41,41.5,16,22,72.7,9,24,33,20,10,11,3,21,-16
"Dec 26, 2023 - HOU vs. IND",L,48,117,47,97,48.5,5,24,20.8,18,22,81.8,15,29,44,19,11,15,2,16,-6
"Dec 23, 2023 - HOU @ NOP",W,48,106,35,82,42.7,9,29,31.0,27,35,77.1,13,31,44,21,12,9,2,20,2
"Dec 22, 2023 - HOU vs. DAL",W,48,122,46,95,48.4,11,38,28.9,19,23,82.6,12,51,63,21,17,7,3,22,26
"Dec 20, 2023 - HOU vs. ATL",L,48,127,44,89,49.4,16,34,47.1,23,23,100,8,29,37,25,9,4,6,23,-7
"Dec 18, 2023 - HOU @ CLE",L,53,130,47,102,46.1,12,33,36.4,24,27,88.9,15,32,47,34,14,9,5,32,-5
"Dec 17, 2023 - HOU @ MIL",L,48,119,45,85,52.9,11,27,40.7,18,21,85.7,6,25,31,26,10,8,4,21,-9
"Dec 15, 2023 - HOU @ MEM",W,48,103,32,88,36.4,11,29,37.9,28,32,87.5,15,36,51,18,11,10,10,19,7
"Dec 13, 2023 - HOU vs. MEM",W,48,117,39,86,45.3,12,32,37.5,27,37,73.0,15,43,58,23,19,6,3,28,13
"Dec 11, 2023 - HOU vs. SAS",W,48,93,32,93,34.4,12,39,30.8,17,20,85.0,15,45,60,20,16,7,2,18,11
"Dec 08, 2023 - HOU @ DEN",W,48,114,35,82,42.7,13,39,33.3,31,42,73.8,11,36,47,21,10,3,3,20,8
"Dec 06, 2023 - HOU vs. OKC",W,48,110,40,83,48.2,15,33,45.5,15,22,68.2,10,43,53,28,21,6,5,16,9
"Dec 02, 2023 - HOU @ LAL",L,48,97,36,89,40.4,11,31,35.5,14,18,77.8,11,43,54,24,17,5,7,23,-10
"Nov 29, 2023 - HOU @ DEN",L,48,124,47,86,54.7,16,41,39.0,14,19,73.7,8,27,35,27,9,3,5,20,-10
"Nov 28, 2023 - HOU @ DAL",L,48,115,42,85,49.4,8,29,27.6,23,29,79.3,10,30,40,33,12,2,6,27,-6
"Nov 24, 2023 - HOU vs. DEN",W,48,105,40,82,48.8,12,29,41.4,13,15,86.7,6,43,49,25,14,9,9,21,19
"Nov 22, 2023 - HOU vs. MEM",W,48,111,40,92,43.5,14,43,32.6,17,20,85.0,6,43,49,22,7,6,6,22,20
"Nov 20, 2023 - HOU @ GSW",L,48,116,44,95,46.3,13,41,31.7,15,19,78.9,15,33,48,28,8,6,3,24,-5
"Nov 19, 2023 - HOU @ LAL",L,48,104,41,84,48.8,14,37,37.8,8,10,80.0,6,28,34,35,18,7,3,25,-1
"Nov 17, 2023 - HOU @ LAC",L,48,100,38,88,43.2,10,31,32.3,14,20,70.0,12,35,47,24,17,6,5,28,-6
"Nov 12, 2023 - HOU vs. DEN",W,48,107,37,87,42.5,10,32,31.3,23,29,79.3,12,33,45,20,9,7,4,16,3
"Nov 10, 2023 - HOU vs. NOP",W,48,104,36,88,40.9,10,35,28.6,22,28,78.6,9,33,42,20,9,9,5,22,3
"Nov 08, 2023 - HOU vs. LAL",W,48,128,51,93,54.8,14,33,42.4,12,19,63.2,14,43,57,26,13,4,4,23,34
"Nov 06, 2023 - HOU vs. SAC",W,48,122,43,75,57.3,15,31,48.4,21,27,77.8,5,34,39,28,11,8,4,19,25
"Nov 04, 2023 - HOU vs. SAC",W,48,107,40,87,46.0,13,36,36.1,14,20,70.0,10,43,53,28,11,4,3,18,18
"Nov 01, 2023 - HOU vs. CHA",W,48,128,44,84,52.4,21,37,56.8,19,23,82.6,7,31,38,35,17,10,2,22,9
