Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",IND,ATL,H,48,157,65,100,65.0,19,36,52.8,8,10,80.0,12,36,48,41,16,10,6,24,42
"Apr 12, 2024",CLE,IND,H,48,120,46,89,51.7,9,32,28.1,19,22,86.4,7,32,39,37,14,7,2,17,-9
"Apr 09, 2024",TOR,IND,A,48,140,54,99,54.5,16,45,35.6,16,23,69.6,15,29,44,33,14,9,8,23,17
"Apr 07, 2024",IND,MIA,H,48,117,44,86,51.2,9,32,28.1,20,21,95.2,4,33,37,27,7,4,6,24,2
"Apr 05, 2024",IND,OKC,H,48,126,46,88,52.3,15,35,42.9,19,21,90.5,8,31,39,30,14,8,5,23,14
"Apr 03, 2024",BKN,IND,H,48,111,46,103,44.7,10,38,26.3,9,11,81.8,19,26,45,27,9,8,9,21,-4
"Apr 01, 2024",IND,BKN,H,48,133,53,103,51.5,13,31,41.9,14,17,82.4,14,33,47,35,10,6,9,21,22
"Mar 29, 2024",IND,LAL,H,48,109,43,89,48.3,10,31,32.3,13,14,92.9,6,40,46,27,10,8,6,14,19
"Mar 27, 2024",CHI,IND,H,48,99,34,85,40.0,13,42,31.0,18,23,78.3,12,28,40,25,13,3,4,23,-26
"Mar 25, 2024",LAC,IND,A,48,133,50,86,58.1,17,28,60.7,16,22,72.7,7,27,34,28,8,7,3,21,17
"Mar 24, 2024",LAL,IND,H,48,145,59,107,55.1,18,36,50.0,9,16,56.3,10,30,40,39,11,6,4,31,-5
"Mar 22, 2024",GSW,IND,A,48,123,48,99,48.5,15,36,41.7,12,16,75.0,12,38,50,32,11,8,10,14,12
"Mar 20, 2024",DET,IND,A,48,122,50,88,56.8,11,29,37.9,11,18,61.1,5,35,40,38,13,13,6,16,19
"Mar 18, 2024",IND,CLE,A,48,103,42,91,46.2,9,38,23.7,10,16,62.5,14,31,45,28,11,8,3,24,-5
"Mar 16, 2024",IND,BKN,H,48,121,50,105,47.6,6,30,20.0,15,16,93.8,17,33,50,21,13,13,4,23,21
"Mar 13, 2024",IND,CHI,A,53,129,46,99,46.5,14,45,31.1,23,28,82.1,9,38,47,30,9,4,6,25,-3
"Mar 12, 2024",OKC,IND,A,48,121,48,89,53.9,9,28,32.1,16,19,84.2,4,39,43,34,9,8,10,11,10
