Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",LAC,HOU,A,48,105,41,104,39.4,8,37,21.6,15,17,88.2,16,35,51,23,12,13,8,14,-11
"Apr 12, 2024",LAC,UTA,A,48,109,43,96,44.8,10,39,25.6,13,19,68.4,20,24,44,23,13,9,7,17,-1
"Apr 10, 2024",LAC,PHX,A,48,108,44,95,46.3,12,36,33.3,8,10,80.0,9,35,44,23,13,9,3,13,-16
"Apr 09, 2024",PHX,LAC,A,48,105,41,87,47.1,12,26,46.2,11,11,100,10,53,63,28,21,5,3,22,13
"Apr 07, 2024",LAC,CLE,H,48,120,41,84,48.8,14,35,40.0,24,24,100,11,37,48,26,16,5,2,22,2
"Apr 05, 2024",LAC,UTA,H,48,131,51,91,56.0,13,35,37.1,16,18,88.9,8,43,51,32,15,9,4,22,29
"Apr 04, 2024",LAC,DEN,H,48,102,34,90,37.8,7,33,21.2,27,32,84.4,7,41,48,22,7,10,2,20,2
"Apr 02, 2024",SAC,LAC,H,48,95,31,76,40.8,11,27,40.7,22,27,81.5,9,29,38,18,16,6,1,21,-14
"Mar 31, 2024",CHA,LAC,A,48,130,43,75,57.3,14,29,48.3,30,34,88.2,7,34,41,28,10,4,5,16,12
"Mar 29, 2024",ORL,LAC,A,48,100,41,85,48.2,8,24,33.3,10,12,83.3,12,29,41,19,17,11,4,17,3
"Mar 27, 2024",PHI,LAC,A,48,108,40,90,44.4,14,36,38.9,14,20,70.0,11,32,43,28,8,8,5,16,1
"Mar 25, 2024",LAC,IND,A,48,116,46,85,54.1,6,20,30.0,18,22,81.8,11,25,36,26,10,4,4,19,-17
"Mar 24, 2024",LAC,PHI,A,48,107,40,83,48.2,10,28,35.7,17,18,94.4,10,27,37,27,14,2,9,11,-14
"Mar 22, 2024",POR,LAC,A,48,125,44,77,57.1,14,33,42.4,23,27,85.2,7,33,40,26,17,8,8,21,8
"Mar 20, 2024",POR,LAC,A,48,116,45,86,52.3,13,31,41.9,13,15,86.7,8,34,42,29,12,15,7,13,13
"Mar 17, 2024",LAC,ATL,A,48,93,28,74,37.8,11,36,30.6,26,29,89.7,10,30,40,17,16,10,5,13,-17
"Mar 15, 2024",NOP,LAC,H,48,104,37,77,48.1,12,33,36.4,18,19,94.7,5,32,37,18,15,6,8,17,-8
"Mar 14, 2024",CHI,LAC,A,48,126,48,80,60.0,20,40,50.0,10,14,71.4,6,29,35,32,10,9,2,16,15
