MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024 - LAL @ NOP",W,48,124,48,87,55.2,11,29,37.9,17,18,94.4,7,32,39,32,15,12,3,13,16
"Apr 12, 2024 - LAL @ MEM",W,48,123,42,81,51.9,13,37,35.1,26,34,76.5,10,29,39,25,19,5,6,17,3
"Apr 09, 2024 - LAL vs. GSW",L,48,120,44,96,45.8,12,35,34.3,20,24,83.3,10,30,40,31,8,8,3,14,-14
"Apr 07, 2024 - LAL vs. MIN",L,48,117,39,84,46.4,11,31,35.5,28,32,87.5,10,31,41,27,15,10,2,14,-10
"Apr 06, 2024 - LAL vs. CLE",W,48,116,45,80,56.3,16,37,43.2,10,16,62.5,6,34,40,30,20,11,11,12,19
"Apr 03, 2024 - LAL @ WAS",W,48,125,46,91,50.5,8,28,28.6,25,29,86.2,11,38,49,21,17,10,4,10,5
"Apr 02, 2024 - LAL @ TOR",W,48,128,52,101,51.5,18,41,43.9,6,12,50.0,13,34,47,38,15,6,8,17,17
"Mar 31, 2024 - LAL @ BKN",W,48,116,42,77,54.5,15,40,37.5,17,22,77.3,6,44,50,24,20,8,6,15,12
"Mar 29, 2024 - LAL @ IND",L,48,90,35,86,40.7,5,30,16.7,15,18,83.3,10,38,48,24,16,3,3,14,-19
"Mar 27, 2024 - LAL @ MEM",W,48,136,45,81,55.6,18,33,54.5,28,35,80.0,4,39,43,31,16,5,4,19,12
"Mar 26, 2024 - LAL @ MIL",W,58,128,42,108,38.9,14,44,31.8,30,32,93.8,15,54,69,30,17,4,8,13,4
"Mar 24, 2024 - LAL vs. IND",W,48,150,50,89,56.2,12,25,48.0,38,43,88.4,8,33,41,28,10,6,7,14,5
"Mar 22, 2024 - LAL vs. PHI",W,48,101,32,73,43.8,12,31,38.7,25,33,75.8,11,43,54,22,21,1,7,16,7
"Mar 18, 2024 - LAL vs. ATL",W,48,136,52,90,57.8,15,36,41.7,17,20,85.0,4,44,48,39,9,6,4,15,31
"Mar 16, 2024 - LAL vs. GSW",L,48,121,47,92,51.1,12,34,35.3,15,18,83.3,8,31,39,32,10,3,4,13,-7
"Mar 13, 2024 - LAL @ SAC",L,48,107,38,78,48.7,14,32,43.8,17,22,77.3,7,31,38,25,14,8,2,12,-13
"Mar 10, 2024 - LAL vs. MIN",W,48,120,44,83,53.0,10,24,41.7,22,29,75.9,14,42,56,29,21,9,4,12,11
"Mar 08, 2024 - LAL vs. MIL",W,48,123,47,90,52.2,16,34,47.1,13,19,68.4,4,34,38,27,5,2,7,16,1
"Mar 06, 2024 - LAL vs. SAC",L,48,120,42,81,51.9,15,32,46.9,21,25,84.0,3,31,34,25,14,4,5,14,-10
"Mar 04, 2024 - LAL vs. OKC",W,48,116,41,80,51.3,16,34,47.1,18,25,72.0,12,43,55,29,21,8,7,15,12
"Mar 02, 2024 - LAL vs. DEN",L,48,114,47,89,52.8,12,29,41.4,8,11,72.7,6,25,31,33,7,5,4,9,-10
"Feb 29, 2024 - LAL vs. WAS",W,53,134,53,101,52.5,8,23,34.8,20,24,83.3,7,38,45,30,11,6,6,16,3
"Feb 28, 2024 - LAL @ LAC",W,48,116,47,86,54.7,14,36,38.9,8,10,80.0,8,31,39,28,17,6,5,12,4
"Feb 25, 2024 - LAL @ PHX",L,48,113,47,90,52.2,15,35,42.9,4,8,50.0,3,31,34,28,12,7,4,14,-10
"Feb 23, 2024 - LAL vs. SAS",W,48,123,49,95,51.6,11,27,40.7,14,18,77.8,10,36,46,28,13,7,4,18,5
"Feb 22, 2024 - LAL @ GSW",L,48,110,43,88,48.9,10,35,28.6,14,21,66.7,10,31,41,28,11,5,9,18,-18
"Feb 14, 2024 - LAL @ UTA",W,48,138,52,91,57.1,14,31,45.2,20,24,83.3,5,32,37,34,10,8,4,13,16
"Feb 13, 2024 - LAL vs. DET",W,48,125,43,84,51.2,14,35,40.0,25,30,83.3,7,40,47,32,16,6,11,14,14
"Feb 09, 2024 - LAL vs. NOP",W,48,139,49,88,55.7,14,31,45.2,27,32,84.4,5,27,32,32,8,5,5,20,17
"Feb 08, 2024 - LAL vs. DEN",L,48,106,41,89,46.1,8,25,32.0,16,22,72.7,10,29,39,27,7,12,10,10,-8
"Feb 05, 2024 - LAL @ CHA",W,48,124,50,89,56.2,8,34,23.5,16,19,84.2,7,41,48,36,17,5,6,12,6
"Feb 03, 2024 - LAL @ NYK",W,48,113,39,80,48.8,12,31,38.7,23,27,85.2,3,35,38,28,5,4,11,16,8
"Feb 01, 2024 - LAL @ BOS",W,48,114,38,94,40.4,19,36,52.8,19,26,73.1,15,37,52,30,7,11,2,8,9
