Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",MEM,DEN,A,48,111,45,100,45.0,8,33,24.2,13,18,72.2,16,27,43,22,13,9,2,18,-15
"Apr 12, 2024",MEM,LAL,A,48,120,43,95,45.3,17,39,43.6,17,21,81.0,16,26,42,19,15,14,2,27,-3
"Apr 10, 2024",CLE,MEM,H,48,98,33,84,39.3,14,32,43.8,18,19,94.7,10,34,44,21,16,10,10,21,-12
"Apr 09, 2024",MEM,SAS,A,48,87,36,104,34.6,6,30,20.0,9,11,81.8,17,32,49,21,8,10,5,13,-15
"Apr 06, 2024",MEM,PHI,A,48,96,36,87,41.4,9,26,34.6,15,21,71.4,15,29,44,21,19,9,2,18,-20
"Apr 05, 2024",MEM,DET,H,48,108,42,90,46.7,10,31,32.3,14,16,87.5,15,34,49,24,21,13,7,14,18
"Apr 03, 2024",MIL,MEM,A,48,111,46,91,50.5,7,23,30.4,12,17,70.6,13,41,54,25,9,5,8,12,10
"Apr 01, 2024",DET,MEM,A,48,110,40,91,44.0,11,33,33.3,19,23,82.6,15,29,44,28,13,11,9,18,2
"Mar 30, 2024",ORL,MEM,H,48,88,31,86,36.0,12,36,33.3,14,17,82.4,13,32,45,25,19,11,7,19,-30
"Mar 27, 2024",MEM,LAL,A,48,124,46,97,47.4,17,43,39.5,15,19,78.9,13,26,39,30,14,10,3,23,-12
"Mar 25, 2024",DEN,MEM,H,48,103,37,94,39.4,11,44,25.0,18,27,66.7,17,23,40,25,17,9,9,15,-25
"Mar 22, 2024",SAS,MEM,A,48,99,33,82,40.2,12,34,35.3,21,31,67.7,9,42,51,18,18,10,4,17,2
"Mar 20, 2024",GSW,MEM,H,48,116,42,96,43.8,18,49,36.7,14,18,77.8,16,29,45,29,12,4,3,15,-21
"Mar 18, 2024",SAC,MEM,H,53,111,37,98,37.8,13,38,34.2,24,30,80.0,15,34,49,22,14,13,7,23,-10
"Mar 16, 2024",MEM,OKC,A,48,112,37,81,45.7,18,44,40.9,20,26,76.9,7,29,36,34,14,7,4,20,-6
"Mar 13, 2024",MEM,CHA,A,48,98,36,85,42.4,16,40,40.0,10,11,90.9,16,30,46,24,24,12,5,19,-12
"Mar 12, 2024",MEM,WAS,H,48,109,42,94,44.7,8,33,24.2,17,21,81.0,17,36,53,27,18,8,7,19,12
"Mar 10, 2024",OKC,MEM,H,48,93,32,78,41.0,11,33,33.3,18,27,66.7,8,31,39,21,16,8,4,14,-31
"Mar 08, 2024",MEM,ATL,A,48,92,30,74,40.5,10,26,38.5,22,30,73.3,10,28,38,21,13,10,11,19,-7
"Mar 06, 2024",PHI,MEM,A,48,115,41,91,45.1,13,37,35.1,20,23,87.0,15,39,54,21,15,3,15,14,6
"Mar 04, 2024",BKN,MEM,A,48,106,38,82,46.3,12,37,32.4,18,22,81.8,15,35,50,26,19,6,3,22,4
"Mar 02, 2024",MEM,POR,A,53,100,30,83,36.1,15,40,37.5,25,33,75.8,9,36,45,21,24,15,9,17,-7
"Mar 01, 2024",MEM,POR,A,48,92,35,79,44.3,9,24,37.5,13,22,59.1,8,22,30,15,23,6,8,17,-30
"Feb 28, 2024",MIN,MEM,H,48,101,36,93,38.7,11,37,29.7,18,20,90.0,17,33,50,23,15,8,5,22,-9
"Feb 26, 2024",MEM,BKN,A,48,86,29,75,38.7,7,26,26.9,21,26,80.8,8,32,40,16,15,6,4,13,-25
"Feb 23, 2024",MEM,LAC,A,48,95,38,91,41.8,8,35,22.9,11,16,68.8,14,27,41,26,13,12,3,17,-6
"Feb 15, 2024",MEM,MIL,H,48,113,44,83,53.0,13,26,50.0,12,19,63.2,7,33,40,30,16,9,3,16,3
"Feb 14, 2024",MEM,HOU,H,48,121,39,79,49.4,15,35,42.9,28,41,68.3,8,38,46,27,11,8,11,20,8
"Feb 12, 2024",MEM,NOP,A,48,87,34,81,42.0,12,44,27.3,7,8,87.5,3,33,36,28,18,7,8,17,-9
"Feb 10, 2024",CHA,MEM,H,48,106,43,92,46.7,16,44,36.4,4,8,50.0,9,23,32,33,12,12,5,13,-9
"Feb 08, 2024",MEM,CHI,A,48,110,42,91,46.2,18,46,39.1,8,13,61.5,9,25,34,26,10,8,4,24,-8
"Feb 06, 2024",NYK,MEM,H,48,113,41,80,51.3,21,37,56.8,10,16,62.5,8,27,35,33,18,4,5,15,-10
"Feb 04, 2024",BOS,MEM,H,48,91,35,92,38.0,11,38,28.9,10,12,83.3,16,30,46,19,20,5,3,15,-40
"Feb 02, 2024",MEM,GSW,A,48,101,35,87,40.2,14,46,30.4,17,24,70.8,9,28,37,30,14,7,4,20,-20
