Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",MIA,TOR,W,48,118,46,87,52.9,9,36,25.0,17,19,89.5,13,33,46,29,19,13,7,16,15
"Apr 12, 2024",MIA,TOR,W,48,125,45,86,52.3,17,41,41.5,18,23,78.3,6,31,37,37,7,7,2,16,22
"Apr 10, 2024",MIA,DAL,L,48,92,33,81,40.7,13,30,43.3,13,13,100,12,34,46,22,18,3,1,16,-19
"Apr 09, 2024",ATL,MIA,W,58,117,42,88,47.7,18,45,40.0,15,21,71.4,5,41,46,29,18,8,3,16,6
"Apr 07, 2024",IND,MIA,L,48,115,39,84,46.4,8,27,29.6,29,32,90.6,8,31,39,21,7,3,2,22,-2
"Apr 05, 2024",HOU,MIA,W,48,119,44,89,49.4,13,36,36.1,18,21,85.7,8,40,48,27,9,8,4,18,15
"Apr 04, 2024",MIA,PHI,L,48,105,39,94,41.5,13,43,30.2,14,16,87.5,16,35,51,24,17,8,4,10,-4
"Apr 02, 2024",MIA,NYK,W,48,109,36,74,48.6,17,38,44.7,20,21,95.2,7,32,39,24,18,5,4,17,10
"Mar 31, 2024",WAS,MIA,W,48,119,40,81,49.4,14,36,38.9,25,29,86.2,6,36,42,22,14,11,8,19,12
"Mar 29, 2024",MIA,POR,W,48,142,54,92,58.7,21,39,53.8,13,18,72.2,6,38,44,41,9,17,4,13,60
"Mar 26, 2024",MIA,GSW,L,48,92,37,92,40.2,8,33,24.2,10,13,76.9,11,28,39,24,9,3,2,9,-21
"Mar 24, 2024",MIA,CLE,W,48,121,43,83,51.8,15,38,39.5,20,23,87.0,9,35,44,29,12,13,0,17,37
"Mar 22, 2024",MIA,NOP,L,48,88,31,86,36.0,13,47,27.7,13,15,86.7,7,27,34,22,6,3,4,9,-23
"Mar 20, 2024",CLE,MIA,W,48,107,38,83,45.8,13,36,36.1,18,19,94.7,7,30,37,19,8,7,2,20,3
"Mar 18, 2024",PHI,MIA,L,48,91,35,89,39.3,12,33,36.4,9,14,64.3,11,38,49,23,15,8,3,13,-7
"Mar 17, 2024",DET,MIA,W,48,104,40,89,44.9,12,35,34.3,12,16,75.0,11,36,47,24,10,7,2,11,3
"Mar 15, 2024",DET,MIA,W,48,108,43,91,47.3,7,34,20.6,15,21,71.4,9,35,44,23,8,14,6,16,13
"Mar 13, 2024",MIA,DEN,L,48,88,34,80,42.5,5,21,23.8,15,18,83.3,8,34,42,18,9,5,2,13,-12
"Mar 10, 2024",MIA,WAS,L,48,108,43,95,45.3,10,33,30.3,12,18,66.7,16,35,51,20,13,9,6,18,-2
"Mar 08, 2024",OKC,MIA,L,48,100,38,82,46.3,11,29,37.9,13,18,72.2,7,36,43,24,11,6,5,16,-7
"Mar 07, 2024",DAL,MIA,L,48,108,40,82,48.8,17,38,44.7,11,17,64.7,2,35,37,30,12,7,2,20,-6
"Mar 05, 2024",MIA,DET,W,48,118,42,85,49.4,14,31,45.2,20,23,87.0,8,34,42,27,9,7,5,14,8
"Mar 02, 2024",MIA,UTA,W,48,126,46,88,52.3,13,34,38.2,21,25,84.0,8,26,34,33,6,6,6,20,6
"Feb 29, 2024",DEN,MIA,L,48,97,35,83,42.2,7,26,26.9,20,24,83.3,9,36,45,21,15,10,1,16,-6
"Feb 27, 2024",POR,MIA,W,48,106,37,70,52.9,14,26,53.8,18,26,69.2,6,28,34,29,20,8,8,19,10
"Feb 26, 2024",SAC,MIA,W,48,121,45,87,51.7,11,30,36.7,20,25,80.0,10,29,39,27,11,12,3,12,11
"Feb 23, 2024",NOP,MIA,W,48,106,38,82,46.3,13,29,44.8,17,25,68.0,10,36,46,20,15,6,11,14,11
"Feb 14, 2024",PHI,MIA,W,48,109,42,88,47.7,11,35,31.4,14,15,93.3,10,33,43,27,13,10,1,17,5
"Feb 13, 2024",MIL,MIA,W,48,123,45,87,51.7,19,40,47.5,14,18,77.8,7,40,47,34,14,10,3,13,26
"Feb 11, 2024",MIA,BOS,L,48,106,40,97,41.2,12,40,30.0,14,15,93.3,14,31,45,21,7,4,2,14,-4
"Feb 07, 2024",MIA,SAS,W,48,116,43,87,49.4,12,38,31.6,18,23,78.3,5,40,45,29,11,8,2,20,12
"Feb 06, 2024",MIA,ORL,W,48,121,47,87,54.0,13,36,36.1,14,18,77.8,11,34,45,31,13,10,3,19,26
"Feb 04, 2024",MIA,LAC,L,48,95,38,91,41.8,8,30,26.7,11,12,91.7,12,33,45,24,10,9,0,19,-8
