Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",ORL,MIL,H,48,88,30,75,40.0,7,27,25.9,21,23,91.3,7,27,34,16,17,10,4,18,-25
"Apr 12, 2024",OKC,MIL,H,48,107,42,85,49.4,11,30,36.7,12,13,92.3,8,34,42,27,19,7,3,15,-18
"Apr 10, 2024",MIL,ORL,H,48,117,43,84,51.2,15,40,37.5,16,20,80.0,10,33,43,27,15,9,4,20,18
"Apr 09, 2024",MIL,BOS,H,48,104,43,81,53.1,17,36,47.2,1,2,50.0,10,39,49,29,18,6,5,4,13
"Apr 07, 2024",MIL,NYK,A,48,109,35,75,46.7,12,34,35.3,27,32,84.4,9,29,38,27,14,3,7,16,-13
"Apr 05, 2024",MIL,TOR,A,48,111,41,94,43.6,12,42,28.6,17,21,81.0,12,33,45,21,13,8,6,24,-6
"Apr 03, 2024",MIL,MEM,A,48,101,38,95,40.0,18,44,40.9,7,12,58.3,13,31,44,26,11,5,10,14,-10
"Apr 02, 2024",WAS,MIL,H,48,113,45,103,43.7,11,48,22.9,12,18,66.7,18,39,57,31,12,8,6,17,-4
"Mar 30, 2024",ATL,MIL,A,48,122,43,78,55.1,8,28,28.6,28,35,80.0,6,34,40,27,12,7,5,18,9
"Mar 28, 2024",NOP,MIL,H,48,100,38,82,46.3,14,39,35.9,10,19,52.6,5,41,46,21,14,1,4,25,-7
"Mar 26, 2024",MIL,LAL,A,58,124,49,119,41.2,15,51,29.4,11,17,64.7,15,46,61,37,14,9,5,26,-4
"Mar 24, 2024",MIL,OKC,H,48,118,49,92,53.3,11,34,32.4,9,14,64.3,15,42,57,33,17,7,5,21,25
"Mar 21, 2024",MIL,BKN,H,48,115,43,91,47.3,16,41,39.0,13,15,86.7,11,29,40,27,10,5,4,17,7
"Mar 20, 2024",BOS,MIL,H,48,119,45,84,53.6,17,35,48.6,12,14,85.7,9,32,41,20,15,3,6,25,-3
"Mar 17, 2024",MIL,PHX,H,48,140,51,94,54.3,24,41,58.5,14,14,100,10,25,35,35,11,11,2,12,11
"Mar 14, 2024",MIL,PHI,H,48,114,39,72,54.2,16,36,44.4,20,24,83.3,6,31,37,29,15,6,4,14,9
"Mar 12, 2024",SAC,MIL,H,48,94,30,82,36.6,7,39,17.9,27,35,77.1,10,34,44,23,13,3,2,18,-35
"Mar 10, 2024",LAC,MIL,A,48,124,43,87,49.4,17,38,44.7,21,27,77.8,7,34,41,28,7,5,6,15,7
"Mar 08, 2024",LAL,MIL,H,48,122,46,93,49.5,16,41,39.0,14,17,82.4,6,37,43,28,8,3,2,17,-1
"Mar 06, 2024",GSW,MIL,H,48,90,34,89,38.2,11,39,28.2,11,15,73.3,6,30,36,19,15,8,5,10,-35
"Mar 04, 2024",MIL,LAC,H,48,113,37,78,47.4,15,38,39.5,24,28,85.7,7,39,46,20,12,8,3,20,7
"Mar 01, 2024",CHI,MIL,A,48,113,37,86,43.0,15,46,32.6,24,32,75.0,11,38,49,22,7,7,4,18,16
