Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",NOP,LAL,A,48,108,41,86,47.7,15,37,40.5,11,14,78.6,10,29,39,26,19,8,1,17,-16
"Apr 12, 2024",GSW,NOP,A,48,114,42,90,46.7,20,38,52.6,10,16,62.5,5,33,38,24,9,11,5,13,5
"Apr 11, 2024",SAC,NOP,A,48,135,49,86,57.0,22,40,55.0,15,18,83.3,5,35,40,35,13,7,2,16,12
"Apr 09, 2024",POR,NOP,A,48,110,36,87,41.4,11,36,30.6,27,29,93.1,13,32,45,25,9,13,2,9,10
"Apr 07, 2024",PHX,NOP,A,48,113,40,85,47.1,16,39,41.0,17,19,89.5,8,34,42,26,14,8,7,17,8
"Apr 05, 2024",NOP,SAS,A,48,109,44,86,51.2,9,29,31.0,12,12,100,11,30,41,28,17,11,2,17,-2
"Apr 03, 2024",NOP,ORL,A,48,108,36,76,47.4,12,29,41.4,24,28,85.7,7,28,35,21,14,9,1,26,-9
"Apr 01, 2024",NOP,PHX,A,48,111,42,89,47.2,11,27,40.7,16,24,66.7,12,25,37,29,9,10,1,17,-13
"Mar 30, 2024",NOP,BOS,A,48,92,34,86,39.5,13,35,37.1,11,18,61.1,10,31,41,22,9,9,3,12,-12
"Mar 28, 2024",NOP,MIL,H,48,107,36,91,39.6,8,32,25.0,27,34,79.4,11,37,48,22,7,11,5,19,7
"Mar 26, 2024",NOP,OKC,A,48,112,39,86,45.3,14,38,36.8,20,23,87.0,5,32,37,26,10,7,2,18,-7
"Mar 24, 2024",DET,NOP,A,48,114,41,81,50.6,11,34,32.4,21,31,67.7,6,35,41,27,10,8,7,22,13
"Mar 22, 2024",MIA,NOP,A,48,111,42,82,51.2,18,36,50.0,9,12,75.0,12,44,56,25,13,3,2,13,23
"Mar 21, 2024",ORL,NOP,H,48,106,42,78,53.8,6,20,30.0,16,21,76.2,3,30,33,24,19,11,1,18,-15
"Mar 19, 2024",BKN,NOP,A,48,104,42,83,50.6,10,34,29.4,10,13,76.9,11,37,48,29,14,7,5,19,13
"Mar 16, 2024",NOP,POR,H,48,126,52,97,53.6,13,33,39.4,9,10,90.0,10,29,39,36,10,8,5,13,19
"Mar 15, 2024",NOP,LAC,H,48,112,42,87,48.3,13,35,37.1,15,20,75.0,9,31,40,28,9,8,2,21,8
"Mar 13, 2024",NOP,CLE,A,48,95,35,80,43.8,4,22,18.2,21,26,80.8,7,36,43,22,12,7,6,13,-21
"Mar 10, 2024",ATL,NOP,A,48,116,43,75,57.3,14,27,51.9,16,22,72.7,4,39,43,32,12,8,7,10,13
"Mar 08, 2024",PHI,NOP,A,48,103,35,79,44.3,11,31,35.5,22,23,95.7,9,39,48,22,14,7,10,18,8
"Mar 05, 2024",TOR,NOP,A,48,139,53,105,50.5,24,49,49.0,9,11,81.8,17,45,62,38,11,9,5,19,41
"Mar 01, 2024",NOP,IND,H,48,129,48,86,55.8,15,32,46.9,18,26,69.2,11,36,47,25,17,9,4,17,27
"Feb 28, 2024",IND,NOP,H,48,114,42,90,46.7,11,29,37.9,19,23,82.6,7,33,40,26,10,2,4,12,-9
"Feb 27, 2024",NYK,NOP,A,48,115,39,77,50.6,18,34,52.9,19,23,82.6,10,34,44,23,15,4,5,21,23
"Feb 25, 2024",NOP,CHI,A,48,106,40,88,45.5,16,41,39.0,10,14,71.4,12,37,49,25,19,5,7,17,-8
"Feb 23, 2024",NOP,MIA,A,48,95,39,104,37.5,7,32,21.9,10,13,76.9,18,36,54,20,11,6,7,19,-11
"Feb 22, 2024",NOP,HOU,H,48,127,50,96,52.1,16,41,39.0,11,18,61.1,9,34,43,35,14,16,6,21,22
"Feb 14, 2024",NOP,WAS,H,48,133,50,89,56.2,10,32,31.3,23,29,79.3,8,31,39,36,10,14,6,21,7
"Feb 12, 2024",MEM,NOP,A,48,96,32,78,41.0,13,35,37.1,19,24,79.2,12,37,49,21,19,12,4,18,9
"Feb 10, 2024",POR,NOP,A,48,93,36,76,47.4,10,27,37.0,11,16,68.8,8,28,36,27,12,9,6,14,9
"Feb 09, 2024",LAL,NOP,H,48,122,46,89,51.7,11,29,37.9,19,23,82.6,10,31,41,28,13,5,7,22,-17
"Feb 07, 2024",LAC,NOP,A,48,117,47,88,53.4,12,32,37.5,11,16,68.8,8,30,38,30,15,13,5,17,11
"Feb 05, 2024",NOP,TOR,H,48,138,53,104,51.0,19,45,42.2,13,13,100,17,34,51,36,7,11,5,13,38
"Feb 02, 2024",SAS,NOP,A,48,114,46,95,48.4,7,26,26.9,15,21,71.4,13,26,39,29,9,14,3,17,1
"Jan 31, 2024",HOU,NOP,A,48,110,41,82,50.0,11,34,32.4,17,24,70.8,12,44,56,20,16,3,6,22,11
"Jan 29, 2024",BOS,NOP,H,48,112,46,91,50.5,10,35,28.6,10,13,76.9,9,31,40,21,12,7,6,14,-6
"Jan 27, 2024",MIL,NOP,H,48,117,40,85,47.1,9,23,39.1,28,36,77.8,9,34,43,20,15,5,3,17,-24
"Jan 26, 2024",NOP,OKC,A,48,83,32,82,39.0,9,36,25.0,10,14,71.4,8,33,41,24,20,9,5,16,-24
"Jan 23, 2024",NOP,UTA,H,48,153,60,104,57.7,23,46,50.0,10,15,66.7,12,45,57,41,9,5,4,24,29
"Jan 19, 2024",NOP,PHX,A,48,109,41,93,44.1,10,42,23.8,17,23,73.9,9,33,42,27,11,4,5,16,-14
"Jan 17, 2024",NOP,CHA,H,48,132,44,88,50.0,25,47,53.2,19,23,82.6,16,34,50,32,13,11,3,14,20
"Jan 15, 2024",DAL,NOP,H,48,120,41,81,50.6,7,23,30.4,31,41,75.6,8,29,37,21,10,9,2,28,-5
"Jan 13, 2024",DAL,NOP,A,48,118,39,79,49.4,12,30,40.0,28,37,75.7,14,30,44,29,11,7,4,20,10
"Jan 12, 2024",DEN,NOP,H,48,113,42,89,47.2,13,33,39.4,16,22,72.7,8,27,35,30,9,9,3,10,-12
"Jan 10, 2024",GSW,NOP,A,48,141,54,94,57.4,19,40,47.5,14,19,73.7,13,34,47,37,11,11,7,19,36
"Jan 07, 2024",SAC,NOP,A,48,133,50,82,61.0,19,35,54.3,14,16,87.5,9,42,51,35,16,2,9,14,33
"Jan 05, 2024",NOP,LAC,A,48,95,33,92,35.9,12,29,41.4,17,23,73.9,14,29,43,22,9,9,5,17,-16
"Jan 03, 2024",MIN,NOP,A,48,117,45,81,55.6,12,26,46.2,15,17,88.2,9,32,41,30,14,7,5,24,11
"Jan 02, 2024",NOP,BKN,H,48,112,41,88,46.6,16,39,41.0,14,18,77.8,17,36,53,23,17,10,9,12,27
"Dec 31, 2023",NOP,LAL,H,48,129,45,87,51.7,17,34,50.0,22,27,81.5,12,35,47,33,13,9,6,22,20
"Dec 28, 2023",NOP,UTA,H,48,112,45,82,54.9,10,27,37.0,12,15,80.0,6,29,35,27,15,10,7,19,7
"Dec 26, 2023",NOP,MEM,A,53,115,42,97,43.3,10,31,32.3,21,33,63.6,10,36,46,18,15,12,6,26,-1
"Dec 23, 2023",NOP,HOU,A,48,104,38,82,46.3,8,31,25.8,20,29,69.0,13,33,46,21,16,9,7,22,-2
"Dec 21, 2023",CLE,NOP,A,48,123,47,86,54.7,15,35,42.9,14,16,87.5,7,33,40,32,9,7,4,15,19
"Dec 19, 2023",NOP,MEM,A,48,113,40,85,47.1,11,25,44.0,22,24,91.7,11,28,39,23,11,4,3,23,-2
"Dec 17, 2023",SAS,NOP,A,48,146,55,98,56.1,22,42,52.4,14,22,63.6,11,40,51,38,15,11,3,19,36
"Dec 15, 2023",CHA,NOP,A,48,112,38,80,47.5,9,27,33.3,27,32,84.4,11,38,49,24,16,4,5,17,5
"Dec 13, 2023",WAS,NOP,A,48,142,50,96,52.1,16,34,47.1,26,30,86.7,10,36,46,30,10,11,3,17,20
"Dec 11, 2023",NOP,MIN,H,48,121,40,82,48.8,10,27,37.0,31,40,77.5,10,37,47,27,14,7,7,20,14
