MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024 - NYK vs. CHI",W,53,120,46,91,50.5,12,32,37.5,16,21,76.2,16,37,53,27,21,7,6,17,1
"Apr 12, 2024 - NYK vs. BKN",W,48,111,38,83,45.8,14,30,46.7,21,25,84.0,8,23,31,21,5,10,3,15,4
"Apr 11, 2024 - NYK @ BOS",W,48,118,49,99,49.5,14,36,38.9,6,10,60.0,17,35,52,24,15,7,4,12,9
"Apr 09, 2024 - NYK @ CHI",W,48,128,46,83,55.4,17,36,47.2,19,20,95.0,6,25,31,31,11,6,4,15,11
"Apr 07, 2024 - NYK @ MIL",W,48,122,45,92,48.9,14,29,48.3,18,22,81.8,13,28,41,25,7,9,6,22,13
"Apr 05, 2024 - NYK @ CHI",L,48,100,36,83,43.4,10,29,34.5,18,24,75.0,9,29,38,22,18,9,2,15,-8
"Apr 04, 2024 - NYK vs. SAC",W,48,120,44,80,55.0,12,28,42.9,20,29,69.0,9,30,39,34,13,9,2,20,11
"Apr 02, 2024 - NYK @ MIA",L,48,99,35,76,46.1,12,34,35.3,17,21,81.0,7,23,30,25,14,11,2,17,-10
"Mar 31, 2024 - NYK vs. OKC",L,48,112,38,92,41.3,13,43,30.2,23,34,67.6,15,31,46,24,11,8,3,19,-1
"Mar 29, 2024 - NYK @ SAS",L,53,126,51,110,46.4,14,37,37.8,10,12,83.3,18,32,50,24,12,10,1,24,-4
"Mar 27, 2024 - NYK @ TOR",W,48,145,55,94,58.5,22,44,50.0,13,16,81.3,15,27,42,37,11,7,8,17,44
"Mar 25, 2024 - NYK vs. DET",W,48,124,45,89,50.6,19,46,41.3,15,22,68.2,12,40,52,30,14,6,6,18,25
"Mar 23, 2024 - NYK vs. BKN",W,48,105,42,97,43.3,15,40,37.5,6,12,50.0,16,31,47,25,10,10,4,15,12
"Mar 21, 2024 - NYK @ DEN",L,48,100,38,79,48.1,11,31,35.5,13,17,76.5,4,27,31,28,10,6,6,18,-13
"Mar 18, 2024 - NYK @ GSW",W,48,119,44,91,48.4,14,37,37.8,17,20,85.0,14,30,44,29,13,6,1,17,7
"Mar 16, 2024 - NYK @ SAC",W,48,98,37,86,43.0,11,39,28.2,13,16,81.3,10,42,52,19,16,8,9,21,7
"Mar 14, 2024 - NYK @ POR",W,48,105,38,87,43.7,6,29,20.7,23,26,88.5,15,35,50,16,15,11,1,18,12
"Mar 12, 2024 - NYK vs. PHI",W,48,106,40,79,50.6,14,40,35.0,12,15,80.0,9,42,51,32,13,4,4,15,27
"Mar 10, 2024 - NYK vs. PHI",L,48,73,26,80,32.5,9,40,22.5,12,16,75.0,16,34,50,19,21,9,5,14,-6
"Mar 08, 2024 - NYK vs. ORL",W,48,98,38,79,48.1,16,33,48.5,6,8,75.0,11,32,43,20,16,7,10,14,24
"Mar 05, 2024 - NYK vs. ATL",L,48,100,38,99,38.4,16,52,30.8,8,11,72.7,17,23,40,27,12,8,6,18,-16
"Mar 03, 2024 - NYK @ CLE",W,48,107,42,86,48.8,16,39,41.0,7,10,70.0,10,37,47,32,12,8,9,13,9
"Feb 29, 2024 - NYK vs. GSW",L,48,99,35,95,36.8,12,39,30.8,17,24,70.8,17,39,56,23,13,7,3,15,-11
"Feb 27, 2024 - NYK vs. NOP",L,48,92,31,83,37.3,14,46,30.4,16,23,69.6,13,25,38,27,13,6,5,20,-23
"Feb 26, 2024 - NYK vs. DET",W,48,113,41,92,44.6,15,39,38.5,16,21,76.2,15,29,44,31,14,9,4,16,2
"Feb 24, 2024 - NYK vs. BOS",L,48,102,37,82,45.1,13,38,34.2,15,16,93.8,15,24,39,21,14,1,3,15,-14
"Feb 22, 2024 - NYK @ PHI",W,48,110,38,79,48.1,15,34,44.1,19,27,70.4,12,33,45,24,18,11,6,13,14
"Feb 14, 2024 - NYK @ ORL",L,48,100,35,84,41.7,11,29,37.9,19,24,79.2,16,18,34,15,12,8,0,11,-18
"Feb 12, 2024 - NYK @ HOU",L,48,103,42,92,45.7,12,36,33.3,7,12,58.3,19,32,51,19,17,4,4,23,-2
"Feb 10, 2024 - NYK vs. IND",L,48,111,40,84,47.6,10,32,31.3,21,23,91.3,5,27,32,16,9,7,4,15,-14
"Feb 08, 2024 - NYK vs. DAL",L,48,108,42,94,44.7,14,37,37.8,10,11,90.9,14,32,46,27,14,5,2,19,-14
"Feb 06, 2024 - NYK vs. MEM",W,48,123,48,86,55.8,11,27,40.7,16,20,80.0,8,29,37,28,10,12,5,12,10
"Feb 03, 2024 - NYK vs. LAL",L,48,105,41,100,41.0,10,35,28.6,13,15,86.7,18,33,51,21,7,1,4,20,-8
"Feb 01, 2024 - NYK vs. IND",W,48,109,41,103,39.8,8,38,21.1,19,25,76.0,24,36,60,15,10,8,7,14,4
"Jan 30, 2024 - NYK vs. UTA",W,48,118,44,94,46.8,13,34,38.2,17,18,94.4,14,31,45,29,6,9,7,16,15
"Jan 29, 2024 - NYK @ CHA",W,48,113,44,84,52.4,12,37,32.4,13,16,81.3,7,35,42,25,9,5,3,16,21
"Jan 27, 2024 - NYK vs. MIA",W,48,125,45,87,51.7,17,33,51.5,18,26,69.2,11,35,46,25,7,6,3,15,16
"Jan 25, 2024 - NYK vs. DEN",W,48,122,45,85,52.9,15,38,39.5,17,20,85.0,12,32,44,26,10,12,3,14,38
"Jan 23, 2024 - NYK @ BKN",W,48,108,40,86,46.5,10,29,34.5,18,19,94.7,11,31,42,21,14,8,8,13,5
"Jan 20, 2024 - NYK vs. TOR",W,48,126,48,88,54.5,14,39,35.9,16,20,80.0,15,46,61,27,22,4,7,20,26
"Jan 18, 2024 - NYK vs. WAS",W,48,113,39,86,45.3,13,38,34.2,22,26,84.6,7,40,47,22,17,6,5,18,4
"Jan 17, 2024 - NYK vs. HOU",W,48,109,39,87,44.8,13,37,35.1,18,22,81.8,12,39,51,24,15,6,5,20,15
"Jan 15, 2024 - NYK vs. ORL",L,48,94,33,83,39.8,13,40,32.5,15,22,68.2,13,28,41,20,10,3,3,20,-4
"Jan 13, 2024 - NYK @ MEM",W,48,106,40,83,48.2,13,38,34.2,13,19,68.4,15,41,56,25,23,11,11,15,12
