Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",ORL,MIL,H,48,113,42,85,49.4,11,35,31.4,18,19,94.7,7,36,43,27,14,11,5,18,25
"Apr 12, 2024",PHI,ORL,H,48,113,43,95,45.3,8,27,29.6,19,25,76.0,10,35,45,25,11,7,7,21,-12
"Apr 10, 2024",MIL,ORL,H,48,99,36,78,46.2,11,30,36.7,16,23,69.6,5,29,34,19,16,6,1,15,-18
"Apr 09, 2024",HOU,ORL,H,48,106,39,86,45.3,7,24,29.2,21,23,91.3,10,32,42,23,15,9,6,15,-12
"Apr 07, 2024",ORL,CHI,H,48,113,42,90,46.7,11,34,32.4,18,19,94.7,10,30,40,24,10,12,4,17,15
"Apr 05, 2024",CHA,ORL,H,48,115,42,94,44.7,9,38,23.7,22,26,84.6,15,22,37,24,10,9,3,19,-9
"Apr 03, 2024",NOP,ORL,A,48,117,41,80,51.3,13,32,40.6,22,30,73.3,7,32,39,27,13,9,2,20,9
"Apr 01, 2024",ORL,POR,H,48,104,36,76,47.4,11,32,34.4,21,27,77.8,9,34,43,26,16,4,6,17,1
"Mar 30, 2024",ORL,MEM,H,48,118,38,78,48.7,22,44,50.0,20,23,87.0,5,38,43,28,17,8,8,16,30
"Mar 29, 2024",ORL,LAC,A,48,97,38,86,44.2,10,29,34.5,11,15,73.3,13,25,38,20,17,10,8,11,-3
"Mar 27, 2024",ORL,GSW,A,48,93,36,85,42.4,10,32,31.3,11,21,52.4,10,29,39,25,11,10,5,13,-8
"Mar 23, 2024",ORL,SAC,A,48,107,42,88,47.7,10,35,28.6,13,18,72.2,12,37,49,27,13,5,3,20,-2
"Mar 21, 2024",ORL,NOP,H,48,121,47,86,54.7,14,36,38.9,13,19,68.4,10,30,40,33,16,12,4,16,15
"Mar 19, 2024",ORL,CHA,H,48,112,44,81,54.3,12,34,35.3,12,13,92.3,10,31,41,32,18,10,6,10,20
"Mar 17, 2024",ORL,TOR,H,48,111,43,85,50.6,11,36,30.6,14,20,70.0,10,29,39,22,15,7,4,16,15
"Mar 15, 2024",TOR,ORL,A,48,113,40,80,50.0,14,31,45.2,19,22,86.4,6,33,39,25,15,7,4,15,10
