Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",PHI,BKN,H,48,107,41,96,42.7,14,44,31.8,11,15,73.3,13,44,57,30,14,8,6,16,21
"Apr 12, 2024",PHI,ORL,H,48,125,42,88,47.7,18,37,48.6,23,28,82.1,8,36,44,22,13,6,6,20,12
"Apr 09, 2024",PHI,DET,H,48,120,44,98,44.9,13,37,35.1,19,23,82.6,16,35,51,29,9,11,8,18,18
"Apr 07, 2024",SAS,PHI,A,58,133,52,114,45.6,12,39,30.8,17,19,89.5,8,38,46,31,12,15,3,20,7
"Apr 06, 2024",MEM,PHI,A,48,116,41,79,51.9,16,39,41.0,18,23,78.3,9,32,41,27,19,12,9,22,20
"Apr 04, 2024",MIA,PHI,A,48,109,43,92,46.7,14,40,35.0,9,11,81.8,8,33,41,28,11,11,7,15,4
"Apr 02, 2024",PHI,OKC,H,48,109,36,78,46.2,14,30,46.7,23,25,92.0,9,33,42,27,18,8,4,20,4
"Mar 31, 2024",TOR,PHI,A,48,135,49,83,59.0,24,43,55.8,13,16,81.3,9,30,39,28,16,6,10,17,15
"Mar 29, 2024",CLE,PHI,H,48,114,42,94,44.7,16,40,40.0,14,17,82.4,16,26,42,28,9,6,7,20,-3
"Mar 27, 2024",PHI,LAC,A,48,107,39,82,47.6,13,33,39.4,16,19,84.2,10,41,51,17,12,3,11,18,-1
"Mar 25, 2024",SAC,PHI,H,48,96,34,82,41.5,11,34,32.4,17,20,85.0,15,32,47,18,15,2,4,25,-12
"Mar 24, 2024",LAC,PHI,A,48,121,48,90,53.3,18,37,48.6,7,9,77.8,12,25,37,32,8,7,10,18,14
"Mar 22, 2024",LAL,PHI,H,48,94,33,96,34.4,8,37,21.6,20,24,83.3,13,29,42,20,9,13,7,23,-7
"Mar 20, 2024",PHX,PHI,H,48,102,41,95,43.2,13,37,35.1,7,18,38.9,13,27,40,33,11,12,7,12,-13
"Mar 18, 2024",PHI,MIA,H,48,98,37,85,43.5,13,36,36.1,11,12,91.7,7,39,46,23,12,7,12,16,7
"Mar 16, 2024",PHI,CHA,H,48,109,36,81,44.4,13,41,31.7,24,25,96.0,10,31,41,25,16,9,4,23,11
"Mar 14, 2024",MIL,PHI,H,48,105,39,79,49.4,17,35,48.6,10,14,71.4,6,24,30,20,13,6,4,18,-9
"Mar 12, 2024",NYK,PHI,H,48,79,30,80,37.5,8,33,24.2,11,16,68.8,7,24,31,17,8,7,4,16,-27
"Mar 10, 2024",NYK,PHI,A,48,79,31,80,38.8,9,30,30.0,8,14,57.1,14,33,47,20,15,9,5,18,6
"Mar 08, 2024",PHI,NOP,A,48,95,35,88,39.8,9,37,24.3,16,20,80.0,13,29,42,21,12,8,7,19,-8
"Mar 06, 2024",PHI,MEM,A,48,109,39,102,38.2,13,35,37.1,18,21,85.7,17,30,47,25,11,11,9,21,-6
"Mar 05, 2024",BKN,PHI,H,48,107,40,82,48.8,12,28,42.9,15,19,78.9,8,30,38,25,12,6,2,24,-5
"Mar 03, 2024",DAL,PHI,A,48,120,40,88,45.5,11,37,29.7,29,31,93.5,13,29,42,26,9,10,5,19,4
"Mar 01, 2024",PHI,CHA,H,48,121,46,96,47.9,19,44,43.2,10,11,90.9,15,33,48,38,7,5,7,17,7
"Feb 27, 2024",BOS,PHI,H,48,99,37,94,39.4,14,42,33.3,11,12,91.7,8,20,28,20,10,6,5,23,-18
"Feb 25, 2024",PHI,MIL,A,48,98,36,97,37.1,16,46,34.8,10,11,90.9,13,28,41,24,10,12,5,18,-21
"Feb 23, 2024",PHI,CLE,H,48,104,40,90,44.4,12,29,41.4,12,15,80.0,9,42,51,20,10,6,7,25,7
"Feb 22, 2024",PHI,NYK,A,48,96,37,84,44.0,10,29,34.5,12,14,85.7,7,31,38,23,18,7,3,23,-14
"Feb 14, 2024",PHI,MIA,A,48,104,41,86,47.7,10,35,28.6,12,16,75.0,6,33,39,29,14,3,1,20,-5
"Feb 12, 2024",CLE,PHI,A,48,123,48,88,54.5,11,26,42.3,16,19,84.2,11,31,42,25,11,5,4,22,2
"Feb 10, 2024",WAS,PHI,A,48,119,48,100,48.0,8,27,29.6,15,23,65.2,13,35,48,28,11,8,4,18,6
