MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024 - SAC vs. POR",W,48,121,43,87,49.4,13,34,38.2,22,27,81.5,13,38,51,29,14,11,6,19,39
"Apr 12, 2024 - SAC vs. PHX",L,48,107,40,91,44.0,14,38,36.8,13,14,92.9,9,26,35,26,7,12,1,19,-1
"Apr 11, 2024 - SAC vs. NOP",L,48,123,46,84,54.8,16,38,42.1,15,20,75.0,5,27,32,26,14,7,0,17,-12
"Apr 09, 2024 - SAC @ OKC",L,48,105,33,96,34.4,20,58,34.5,19,26,73.1,21,35,56,23,17,8,4,22,-7
"Apr 07, 2024 - SAC @ BKN",W,48,107,40,94,42.6,15,48,31.3,12,16,75.0,11,43,54,31,9,8,12,17,30
"Apr 05, 2024 - SAC @ BOS",L,48,100,38,99,38.4,17,51,33.3,7,13,53.8,15,39,54,21,7,4,3,15,-1
"Apr 04, 2024 - SAC @ NYK",L,48,109,42,86,48.8,18,42,42.9,7,12,58.3,9,26,35,26,16,6,3,23,-11
"Apr 02, 2024 - SAC vs. LAC",W,48,109,39,92,42.4,12,42,28.6,19,25,76.0,20,36,56,29,10,10,6,18,14
"Mar 31, 2024 - SAC vs. UTA",W,48,127,45,84,53.6,20,40,50.0,17,23,73.9,13,31,44,34,15,8,6,23,21
"Mar 29, 2024 - SAC vs. DAL",L,48,103,40,92,43.5,15,32,46.9,8,12,66.7,10,35,45,24,11,9,1,22,-4
"Mar 26, 2024 - SAC vs. DAL",L,48,96,35,90,38.9,11,30,36.7,15,19,78.9,11,31,42,27,14,6,5,15,-36
"Mar 25, 2024 - SAC vs. PHI",W,48,108,38,86,44.2,10,38,26.3,22,28,78.6,11,29,40,25,8,6,6,18,12
"Mar 23, 2024 - SAC @ ORL",W,48,109,38,87,43.7,15,40,37.5,18,21,85.7,6,36,42,26,7,6,5,19,2
"Mar 21, 2024 - SAC @ WAS",L,48,102,37,86,43.0,11,39,28.2,17,19,89.5,10,27,37,21,15,12,7,20,-7
"Mar 20, 2024 - SAC @ TOR",W,48,123,48,93,51.6,12,40,30.0,15,18,83.3,18,35,53,32,16,14,6,16,34
"Mar 18, 2024 - SAC vs. MEM",W,53,121,42,94,44.7,11,35,31.4,26,32,81.3,15,44,59,30,19,7,10,25,10
"Mar 16, 2024 - SAC vs. NYK",L,48,91,30,85,35.3,10,37,27.0,21,26,80.8,11,31,42,22,12,7,5,20,-7
"Mar 13, 2024 - SAC vs. LAL",W,48,120,46,88,52.3,19,41,46.3,9,12,75.0,9,35,44,30,14,11,2,19,13
"Mar 12, 2024 - SAC vs. MIL",W,48,129,49,92,53.3,18,40,45.0,13,16,81.3,6,45,51,34,9,11,1,26,35
"Mar 10, 2024 - SAC vs. HOU",L,48,104,39,86,45.3,6,32,18.8,20,23,87.0,7,37,44,24,13,10,5,20,-8
"Mar 07, 2024 - SAC vs. SAS",W,48,131,52,102,51.0,10,32,31.3,17,18,94.4,14,32,46,31,13,8,3,15,2
"Mar 06, 2024 - SAC @ LAL",W,48,130,54,97,55.7,12,31,38.7,10,12,83.3,9,37,46,32,14,8,2,23,10
"Mar 04, 2024 - SAC vs. CHI",L,48,109,41,92,44.6,11,37,29.7,16,18,88.9,20,31,51,29,18,6,6,22,-4
"Mar 01, 2024 - SAC @ MIN",W,53,124,50,100,50.0,11,29,37.9,13,24,54.2,14,31,45,29,8,8,6,29,4
"Feb 28, 2024 - SAC @ DEN",L,48,96,38,95,40.0,12,35,34.3,8,13,61.5,15,28,43,28,14,8,5,14,-21
"Feb 26, 2024 - SAC vs. MIA",L,48,110,45,85,52.9,13,32,40.6,7,12,58.3,11,30,41,30,15,10,5,20,-11
"Feb 25, 2024 - SAC @ LAC",W,48,123,45,91,49.5,15,37,40.5,18,22,81.8,14,27,41,29,10,10,1,15,16
"Feb 22, 2024 - SAC vs. SAS",W,48,127,52,93,55.9,13,33,39.4,10,14,71.4,7,35,42,29,10,5,6,12,5
"Feb 14, 2024 - SAC @ DEN",W,48,102,39,89,43.8,9,33,27.3,15,19,78.9,10,38,48,21,15,7,5,18,4
"Feb 13, 2024 - SAC @ PHX",L,48,125,49,95,51.6,9,31,29.0,18,24,75.0,15,35,50,27,13,8,6,27,-5
"Feb 11, 2024 - SAC @ OKC",L,48,113,44,90,48.9,16,42,38.1,9,13,69.2,10,30,40,32,18,5,5,22,-14
"Feb 09, 2024 - SAC vs. DEN",W,48,135,51,87,58.6,17,34,50.0,16,18,88.9,6,36,42,32,16,11,1,22,29
"Feb 07, 2024 - SAC vs. DET",L,48,120,45,95,47.4,15,44,34.1,15,22,68.2,5,28,33,31,4,7,6,20,-13
"Feb 05, 2024 - SAC @ CLE",L,48,110,43,93,46.2,17,44,38.6,7,12,58.3,10,30,40,28,12,5,1,18,-26
"Feb 03, 2024 - SAC @ CHI",W,48,123,42,84,50.0,15,39,38.5,24,29,82.8,4,36,40,33,17,12,1,18,8
"Feb 02, 2024 - SAC @ IND",W,48,133,51,90,56.7,13,34,38.2,18,28,64.3,9,29,38,26,17,15,3,17,11
"Jan 31, 2024 - SAC @ MIA",L,48,106,41,93,44.1,12,40,30.0,12,18,66.7,12,32,44,26,9,6,3,17,-9
"Jan 29, 2024 - SAC @ MEM",W,48,103,43,84,51.2,11,38,28.9,6,10,60.0,11,40,51,24,19,10,1,17,9
"Jan 27, 2024 - SAC @ DAL",W,48,120,43,80,53.8,11,30,36.7,23,30,76.7,6,33,39,27,14,4,10,20,5
"Jan 25, 2024 - SAC @ GSW",W,48,134,48,91,52.7,22,48,45.8,16,19,84.2,8,26,34,33,10,8,5,21,1
"Jan 22, 2024 - SAC vs. ATL",W,48,122,43,93,46.2,12,38,31.6,24,27,88.9,10,41,51,22,9,8,2,21,15
"Jan 18, 2024 - SAC vs. IND",L,48,121,44,85,51.8,15,37,40.5,18,32,56.3,8,30,38,27,11,7,6,20,-5
"Jan 16, 2024 - SAC @ PHX",L,48,117,46,92,50.0,18,40,45.0,7,12,58.3,5,26,31,34,14,7,4,20,-2
"Jan 14, 2024 - SAC @ MIL",L,53,142,55,105,52.4,17,41,41.5,15,20,75.0,9,38,47,34,9,6,2,19,-1
"Jan 12, 2024 - SAC @ PHI",L,48,93,32,95,33.7,8,38,21.1,21,26,80.8,23,31,54,20,17,6,4,18,-19
"Jan 10, 2024 - SAC @ CHA",W,48,123,46,89,51.7,13,35,37.1,18,23,78.3,14,39,53,24,10,2,8,15,25
"Jan 09, 2024 - SAC @ DET",W,48,131,54,94,57.4,13,33,39.4,10,14,71.4,10,34,44,39,18,8,6,21,21
"Jan 07, 2024 - SAC vs. NOP",L,48,100,38,91,41.8,15,45,33.3,9,12,75.0,8,17,25,28,9,9,2,12,-33
"Jan 05, 2024 - SAC vs. TOR",W,48,135,52,100,52.0,21,38,55.3,10,15,66.7,11,31,42,35,15,4,1,23,5
"Jan 03, 2024 - SAC vs. ORL",W,58,138,51,105,48.6,15,40,37.5,21,31,67.7,18,40,58,36,21,9,3,21,3
"Jan 02, 2024 - SAC vs. CHA",L,48,104,40,92,43.5,14,36,38.9,10,17,58.8,15,33,48,23,21,8,2,23,-7
"Dec 31, 2023 - SAC @ MEM",W,48,123,47,92,51.1,16,33,48.5,13,17,76.5,9,50,59,28,13,2,4,22,31
"Dec 29, 2023 - SAC @ ATL",W,48,117,46,89,51.7,17,45,37.8,8,15,53.3,5,33,38,35,12,9,3,20,7
"Dec 26, 2023 - SAC @ POR",L,48,113,45,93,48.4,10,42,23.8,13,16,81.3,11,29,40,25,12,5,7,16,-17
"Dec 23, 2023 - SAC vs. MIN",L,48,98,37,85,43.5,8,33,24.2,16,21,76.2,8,32,40,23,11,10,2,20,-12
"Dec 22, 2023 - SAC vs. PHX",W,48,120,44,83,53.0,12,38,31.6,20,26,76.9,7,30,37,32,14,7,7,24,15
"Dec 20, 2023 - SAC vs. BOS",L,48,119,43,91,47.3,21,44,47.7,12,23,52.2,12,25,37,29,7,4,8,15,-25
"Dec 18, 2023 - SAC vs. WAS",W,48,143,53,100,53.0,17,43,39.5,20,26,76.9,9,33,42,35,7,8,5,24,12
"Dec 16, 2023 - SAC vs. UTA",W,48,125,46,85,54.1,22,45,48.9,11,15,73.3,8,37,45,36,18,6,2,17,21
