Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",MIA,TOR,H,48,103,38,90,42.2,9,34,26.5,18,21,85.7,13,28,41,23,19,6,3,21,-15
"Apr 12, 2024",MIA,TOR,H,48,103,37,77,48.1,10,31,32.3,19,22,86.4,7,34,41,23,17,1,1,21,-22
"Apr 10, 2024",BKN,TOR,H,48,102,35,94,37.2,16,40,40.0,16,18,88.9,15,30,45,19,10,8,5,22,-4
"Apr 09, 2024",TOR,IND,A,48,123,47,94,50.0,5,21,23.8,24,33,72.7,16,24,40,21,15,8,6,20,-17
"Apr 07, 2024",TOR,WAS,H,48,130,49,96,51.0,11,31,35.5,21,28,75.0,8,41,49,33,14,9,4,26,8
"Apr 05, 2024",MIL,TOR,A,48,117,36,79,45.6,14,36,38.9,31,36,86.1,9,38,47,24,17,9,3,18,6
"Apr 03, 2024",MIN,TOR,H,48,85,33,90,36.7,7,30,23.3,12,14,85.7,10,38,48,19,21,4,6,15,-48
"Apr 02, 2024",TOR,LAL,A,48,111,43,89,48.3,10,32,31.3,15,21,71.4,5,35,40,25,17,11,6,19,-17
"Mar 31, 2024",TOR,PHI,A,48,120,47,90,52.2,11,30,36.7,15,20,75.0,7,23,30,31,12,10,2,14,-15
"Mar 27, 2024",TOR,NYK,A,48,101,39,84,46.4,11,31,35.5,12,13,92.3,11,17,28,31,18,7,4,17,-44
"Mar 25, 2024",TOR,BKN,A,48,88,37,85,43.5,5,27,18.5,9,12,75.0,8,22,30,23,10,10,2,15,-8
"Mar 23, 2024",WAS,TOR,H,48,109,40,94,42.6,8,33,24.2,21,26,80.8,13,29,42,27,12,9,7,20,-3
"Mar 22, 2024",TOR,OKC,A,48,103,40,76,52.6,11,30,36.7,12,17,70.6,5,31,36,34,27,12,3,18,-20
"Mar 20, 2024",TOR,SAC,A,48,89,33,80,41.3,10,31,32.3,13,18,72.2,11,20,31,21,22,11,3,15,-34
"Mar 17, 2024",ORL,TOR,H,48,96,37,84,44.0,8,31,25.8,14,15,93.3,11,26,37,23,18,7,3,18,-15
"Mar 15, 2024",TOR,ORL,A,48,103,38,81,46.9,14,34,41.2,13,20,65.0,9,31,40,24,16,11,4,24,-10
"Mar 13, 2024",DET,TOR,H,48,104,41,93,44.1,9,36,25.0,13,19,68.4,3,34,37,32,11,13,8,20,-9
"Mar 11, 2024",DEN,TOR,H,48,119,47,93,50.5,11,30,36.7,14,17,82.4,11,31,42,30,12,6,4,16,-6
"Mar 09, 2024",POR,TOR,H,53,118,43,91,47.3,16,43,37.2,16,19,84.2,9,34,43,29,20,9,6,18,-10
"Mar 07, 2024",PHX,TOR,H,48,113,43,94,45.7,16,44,36.4,11,15,73.3,9,27,36,30,9,5,2,20,-7
"Mar 05, 2024",TOR,NOP,A,48,98,36,93,38.7,13,44,29.5,13,22,59.1,11,34,45,21,12,6,7,11,-41
"Mar 03, 2024",TOR,CHA,H,48,111,42,91,46.2,13,38,34.2,14,18,77.8,11,34,45,27,16,8,6,16,5
"Mar 01, 2024",TOR,GSW,A,48,105,41,95,43.2,12,45,26.7,11,17,64.7,11,36,47,31,14,9,2,14,-15
"Feb 28, 2024",TOR,DAL,A,48,125,46,98,46.9,13,35,37.1,20,30,66.7,12,32,44,34,12,11,3,21,-11
"Feb 26, 2024",IND,TOR,A,48,130,53,96,55.2,12,28,42.9,12,17,70.6,12,33,45,35,12,4,7,17,8
"Feb 23, 2024",ATL,TOR,A,48,123,50,102,49.0,15,39,38.5,8,8,100,11,36,47,37,12,3,7,20,2
"Feb 22, 2024",TOR,BKN,H,48,121,41,84,48.8,14,31,45.2,25,30,83.3,7,38,45,24,11,10,6,18,28
"Feb 14, 2024",TOR,IND,A,48,125,50,98,51.0,6,26,23.1,19,26,73.1,15,41,56,30,15,6,7,20,-2
"Feb 12, 2024",TOR,SAS,A,48,99,39,98,39.8,8,31,25.8,13,16,81.3,16,31,47,25,19,11,4,20,-23
"Feb 10, 2024",TOR,CLE,A,48,95,35,87,40.2,9,31,29.0,16,23,69.6,12,28,40,22,11,7,3,14,-24
"Feb 09, 2024",TOR,HOU,H,48,107,40,95,42.1,10,33,30.3,17,19,89.5,16,25,41,24,12,14,8,17,3
"Feb 07, 2024",CHA,TOR,A,48,123,43,81,53.1,17,33,51.5,20,24,83.3,7,34,41,30,11,5,3,17,6
"Feb 05, 2024",NOP,TOR,H,48,100,40,84,47.6,10,31,32.3,10,15,66.7,10,28,38,27,18,4,6,12,-38
"Feb 04, 2024",OKC,TOR,H,58,127,48,101,47.5,14,35,40.0,17,21,81.0,11,37,48,38,12,6,5,16,-8
"Feb 02, 2024",HOU,TOR,H,48,106,40,91,44.0,11,33,33.3,15,20,75.0,8,29,37,17,14,11,5,18,-29
"Jan 30, 2024",CHI,TOR,A,48,118,43,83,51.8,14,29,48.3,18,20,90.0,9,29,38,34,20,10,4,20,11
"Jan 28, 2024",ATL,TOR,H,48,125,41,89,46.1,15,31,48.4,28,32,87.5,15,31,46,29,14,12,3,30,-1
"Jan 26, 2024",TOR,LAC,A,48,107,44,96,45.8,6,32,18.8,13,22,59.1,15,30,45,26,11,6,3,18,-20
"Jan 22, 2024",TOR,MEM,A,48,100,35,79,44.3,8,23,34.8,22,23,95.7,12,35,47,31,17,7,8,14,-8
"Jan 20, 2024",NYK,TOR,H,48,100,38,92,41.3,11,34,32.4,13,23,56.5,11,20,31,29,10,10,5,18,-26
"Jan 18, 2024",TOR,CHI,A,48,110,42,83,50.6,10,38,26.3,16,20,80.0,7,31,38,31,14,7,5,18,-6
"Jan 17, 2024",TOR,MIA,H,48,121,45,88,51.1,20,38,52.6,11,18,61.1,13,32,45,34,12,9,4,14,24
"Jan 15, 2024",TOR,BOS,A,48,96,38,95,40.0,4,32,12.5,16,21,76.2,9,43,52,25,7,6,2,21,-9
"Jan 12, 2024",UTA,TOR,H,48,113,35,81,43.2,17,34,50.0,26,37,70.3,8,23,31,25,13,5,8,21,-32
"Jan 10, 2024",LAC,TOR,H,48,120,46,84,54.8,12,30,40.0,16,18,88.9,7,30,37,31,15,4,2,17,-6
"Jan 09, 2024",LAL,TOR,H,48,131,53,94,56.4,17,35,48.6,8,13,61.5,5,32,37,34,12,8,4,26,-1
"Jan 07, 2024",GSW,TOR,A,48,133,55,94,58.5,15,33,45.5,8,14,57.1,9,36,45,38,7,7,6,14,15
"Jan 05, 2024",SAC,TOR,H,48,130,47,87,54.0,13,37,35.1,23,27,85.2,8,29,37,31,14,5,10,20,-5
"Jan 03, 2024",MEM,TOR,A,48,116,41,85,48.2,12,26,46.2,22,27,81.5,7,39,46,25,12,5,6,20,5
"Jan 01, 2024",TOR,CLE,H,48,124,42,87,48.3,11,30,36.7,29,40,72.5,10,37,47,25,11,5,4,22,3
"Dec 30, 2023",DET,TOR,H,48,127,46,91,50.5,12,24,50.0,23,28,82.1,6,27,33,26,8,9,5,27,-2
"Dec 29, 2023",BOS,TOR,H,48,118,44,95,46.3,17,44,38.6,13,20,65.0,9,29,38,29,5,10,6,15,-2
"Dec 27, 2023",WAS,TOR,A,48,132,52,91,57.1,15,38,39.5,13,19,68.4,14,39,53,43,20,12,5,18,30
